id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
12049,3917.05,2876.71,19.473,0.034,1.104,0.075,0.114,0.137,1.755,0.051
12050,1874.34,2360.18,19.496,0.037,1.134,0.06,nan,nan,1.766,0.043
12051,4034.06,1747.4,20.011,0.029,1.572,0.064,nan,nan,2.627,0.033
12052,1446.34,1833.55,18.769,0.27,2.279,0.41,nan,nan,nan,nan
12053,306.026,1860.56,19.48,0.048,1.038,0.063,nan,nan,1.839,0.056
12054,768.731,3700.48,19.454,0.032,0.934,0.047,0.157,0.091,1.632,0.039
12055,3180.16,2494.54,19.442,0.025,0.842,0.033,0.194,0.064,1.494,0.031
12056,3288.89,3159.94,19.579,0.023,1.359,0.044,nan,nan,1.931,0.027
12059,366.076,651.392,19.388,0.043,2.551,0.119,nan,nan,1.656,0.049
12060,2156.41,1575.96,19.464,0.036,0.924,0.051,0.506,0.089,1.679,0.041
12061,485.473,3669.84,19.459,0.036,0.976,0.047,0.297,0.109,1.707,0.041
12063,1020.25,802.491,19.475,0.04,0.863,0.052,nan,nan,1.631,0.047
12064,2992.17,2334.35,19.401,0.031,0.886,0.039,0.315,0.07,1.447,0.038
12065,663.409,366.069,19.508,0.041,0.932,0.058,nan,nan,1.795,0.052
12066,3100.03,742.562,19.924,0.035,1.572,0.065,nan,nan,2.997,0.045
12067,2405.98,1405.12,19.501,0.039,1.241,0.055,nan,nan,1.963,0.045
12068,4030.71,1840.82,19.547,0.022,1.407,0.04,nan,nan,2.077,0.029
12069,2874.4,1767.06,19.447,0.044,0.902,0.055,0.158,0.077,1.618,0.05
12070,2283.04,2040.44,19.475,0.034,1.002,0.05,nan,nan,1.737,0.042
12071,447.472,1083.27,19.556,0.049,0.732,0.068,nan,nan,1.692,0.057
12072,1235.17,197.035,19.424,0.042,1.082,0.058,nan,nan,1.725,0.053
12073,2798.74,4044.99,19.433,0.029,1.088,0.044,0.123,0.083,1.751,0.039
12075,3517.3,75.92,19.511,0.04,0.891,0.057,-0.584,0.616,1.714,0.048
12076,1542.03,2010.98,19.681,0.042,1.186,0.06,nan,nan,2.276,0.048
12077,2234.68,2352.49,19.463,0.027,0.856,0.037,0.591,0.088,1.607,0.033
12078,3706.54,3108.83,19.44,0.017,0.978,0.029,0.2,0.087,1.571,0.026
12079,1013.33,3242.91,19.543,0.031,1.002,0.045,0.588,0.129,1.933,0.038
12080,1355.18,3487.62,19.562,0.028,1.056,0.045,nan,nan,1.908,0.034
12081,1022.66,782.308,19.611,0.042,1.296,0.062,nan,nan,2.087,0.047
12082,1055.15,207.649,19.568,0.046,1.183,0.07,nan,nan,2.008,0.054
12083,598.976,1265.42,19.514,0.043,1.016,0.063,nan,nan,1.802,0.051
12085,4041.66,1090.08,19.478,0.023,0.766,0.036,0.15,0.065,1.522,0.029
12086,1513.47,364.918,19.427,0.05,1.176,0.064,nan,nan,1.856,0.058
12087,4074.86,3766.32,19.443,0.026,0.978,0.042,0.158,0.093,1.621,0.038
12088,3226.63,2056.41,19.403,0.031,0.924,0.039,0.102,0.096,1.477,0.038
12089,2244.04,1810.0,19.85,0.039,1.372,0.072,nan,nan,2.397,0.045
12090,2364.91,1178.8,19.503,0.037,1.197,0.05,nan,nan,1.949,0.042
12091,2753.4,57.7,19.434,0.038,1.077,0.059,0.272,0.104,1.74,0.05
12092,3266.34,1266.78,19.417,0.028,0.855,0.038,0.177,0.071,1.399,0.036
12093,3565.9,3403.27,19.468,0.019,0.895,0.035,0.225,0.07,1.576,0.028
12094,3737.28,1797.08,19.473,0.025,0.835,0.034,-0.098,0.066,1.517,0.033
12095,1154.35,2886.07,20.413,0.072,1.417,0.105,nan,nan,2.884,0.072
12096,2748.26,1701.56,19.42,0.042,0.93,0.054,0.269,0.11,1.569,0.049
12097,510.422,2985.06,19.484,0.042,0.83,0.054,0.453,0.112,1.635,0.05
12098,2319.97,2844.7,19.52,0.035,0.812,0.044,nan,nan,1.667,0.037
12099,566.096,2320.91,19.475,0.042,0.835,0.058,0.255,0.107,1.591,0.053
12100,688.816,4075.29,19.607,0.03,0.941,0.045,nan,nan,1.942,0.036
12101,3203.26,1770.71,19.551,0.036,1.476,0.053,nan,nan,2.118,0.041
12102,2731.82,1475.08,19.48,0.038,0.872,0.049,nan,nan,1.66,0.047
12103,1982.07,2217.43,19.54,0.031,0.711,0.039,0.426,0.099,1.605,0.037
12104,799.238,3270.49,19.511,0.035,0.864,0.048,0.323,0.087,1.75,0.043
12105,830.62,3174.14,19.487,0.038,0.812,0.049,0.321,0.079,1.616,0.048
12107,2497.07,2843.39,19.468,0.03,0.727,0.042,0.071,0.077,1.423,0.036
12108,471.562,3013.98,19.435,0.055,0.986,0.066,0.758,0.117,1.728,0.059
12109,2476.69,455.01,19.435,0.037,1.041,0.052,nan,nan,1.712,0.048
12110,3351.4,3034.91,19.452,0.043,0.999,0.064,0.268,0.106,1.75,0.058
12111,2750.11,196.496,19.396,0.042,1.139,0.059,nan,nan,1.689,0.053
12112,3926.5,3485.77,19.47,0.025,0.89,0.038,-0.118,0.068,1.572,0.031
12113,379.476,1665.84,19.545,0.053,0.703,0.07,nan,nan,1.625,0.061
12114,3594.82,2019.05,19.374,0.027,1.166,0.036,nan,nan,1.719,0.034
12115,1502.59,4077.17,19.753,0.035,1.3,0.067,nan,nan,2.152,0.04
12117,1451.04,3689.75,19.445,0.032,0.803,0.048,0.517,0.081,1.515,0.038
12118,3314.0,2205.54,19.439,0.032,0.823,0.04,0.215,0.074,1.456,0.037
12119,2217.44,124.526,19.504,0.039,1.003,0.058,nan,nan,1.761,0.047
12120,3754.21,2818.5,19.44,0.022,0.925,0.035,0.087,0.085,1.523,0.03
12122,2688.1,497.308,19.39,0.038,1.103,0.051,nan,nan,1.672,0.049
12123,2114.93,3520.29,19.546,0.032,1.238,0.054,nan,nan,2.008,0.042
12125,2201.24,2191.19,19.473,0.033,0.782,0.046,0.345,0.069,1.523,0.041
12127,144.246,3016.55,19.423,0.047,0.964,0.061,0.287,0.099,1.671,0.061
12128,1869.38,4006.7,19.534,0.034,1.353,0.056,nan,nan,1.967,0.041
12129,80.643,2396.95,19.702,0.046,1.192,0.077,nan,nan,2.077,0.051
12130,2489.52,2738.65,19.452,0.03,0.909,0.044,0.314,0.088,1.583,0.036
12131,1979.44,3087.36,19.428,0.037,0.966,0.046,nan,nan,1.617,0.042
12132,2334.13,1488.57,19.425,0.042,1.186,0.058,0.727,0.141,1.768,0.048
12133,3308.93,1344.46,19.366,0.025,0.995,0.034,0.299,0.074,1.443,0.033
12134,2950.03,2062.71,19.479,0.034,1.15,0.05,nan,nan,1.853,0.042
12135,1760.92,2288.26,19.562,0.038,0.856,0.048,nan,nan,1.79,0.041
12136,2088.76,2271.14,19.61,0.034,0.837,0.05,nan,nan,2.043,0.048
12137,2364.45,136.803,19.454,0.041,1.013,0.065,0.202,0.101,1.67,0.051
12138,3828.03,398.581,19.429,0.036,1.031,0.048,0.623,0.102,1.737,0.044
12139,3252.41,1538.28,19.675,0.034,1.362,0.104,nan,nan,1.905,0.037
12140,3105.47,424.202,19.754,0.063,1.548,0.113,nan,nan,2.236,0.071
12141,3436.23,2253.27,19.462,0.03,1.205,0.042,nan,nan,1.826,0.035
12142,3666.02,2757.46,19.45,0.019,0.885,0.032,0.129,0.073,1.476,0.028
12143,1087.64,2016.44,19.436,0.041,0.983,0.057,0.503,0.102,1.681,0.051
12144,3713.16,3642.32,19.414,0.026,1.091,0.037,nan,nan,1.632,0.031
12145,1776.1,3378.07,19.443,0.031,0.943,0.04,0.45,0.104,1.625,0.037
12146,2542.14,316.161,19.55,0.039,1.474,0.061,nan,nan,2.303,0.05
12147,2809.82,2420.29,19.436,0.029,0.92,0.04,nan,nan,1.54,0.037
12148,162.119,2471.63,19.456,0.075,1.263,0.09,nan,nan,1.894,0.078
12149,3154.97,992.742,19.469,0.027,0.972,0.044,0.198,0.088,1.651,0.035
12150,2889.52,2415.39,19.464,0.046,0.91,0.1,0.151,0.119,1.579,0.051
12151,3964.93,1486.82,19.491,0.023,0.986,0.054,0.114,0.093,1.636,0.031
12152,3490.96,681.802,19.451,0.044,1.029,0.062,nan,nan,1.671,0.053
12153,3825.06,1699.69,19.462,0.022,0.89,0.037,0.261,0.08,1.555,0.029
12154,2111.72,2891.02,19.549,0.031,0.938,0.047,nan,nan,1.758,0.035
12155,3839.51,3216.39,19.443,0.017,1.123,0.034,nan,nan,1.598,0.024
12156,963.559,2275.8,19.42,0.045,1.006,0.057,0.707,0.147,1.697,0.054
12157,2871.68,3097.2,19.442,0.023,1.081,0.041,0.332,0.123,1.609,0.029
12158,2075.29,3440.86,19.356,0.034,1.181,0.044,nan,nan,1.95,0.052
12160,2797.59,1028.49,19.422,0.04,1.054,0.053,0.261,0.088,1.728,0.049
12161,1077.7,4075.17,19.508,0.029,0.886,0.047,0.177,0.091,1.658,0.035
12162,2299.39,3764.16,19.429,0.026,0.955,0.035,0.177,0.073,1.573,0.041
12163,2989.31,1012.73,19.411,0.03,1.006,0.039,0.143,0.071,1.654,0.041
12164,3070.15,529.285,19.423,0.032,1.206,0.046,nan,nan,1.83,0.043
12165,1158.47,2627.97,19.48,0.036,0.817,0.045,0.352,0.092,1.533,0.045
12166,243.345,1785.12,19.488,0.048,0.87,0.064,nan,nan,1.616,0.058
12167,3403.02,1887.16,19.495,0.025,0.759,0.035,0.077,0.068,1.46,0.032
12170,1137.95,2255.41,19.489,0.048,0.851,0.061,0.551,0.095,1.691,0.057
12171,2960.14,700.076,19.367,0.035,1.11,0.048,0.184,0.088,1.619,0.046
12172,2110.31,3216.77,19.512,0.036,0.752,0.045,nan,nan,1.537,0.042
12173,665.361,2999.45,19.494,0.036,0.835,0.05,0.281,0.094,1.607,0.046
12174,111.046,427.657,19.482,0.05,0.87,0.065,0.203,0.111,1.613,0.057
12175,1837.23,2322.49,19.531,0.04,0.824,0.051,0.729,0.116,1.7,0.044
12176,1628.31,3524.24,19.554,0.029,1.277,0.043,nan,nan,2.137,0.036
