id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2635,2848.0,125.6,17.403,0.028,0.732,0.05,0.202,0.059,1.165,0.046
2636,1762.71,465.234,17.314,0.044,0.929,0.059,0.292,0.058,1.431,0.05
2637,3184.82,1893.02,17.368,0.023,0.861,0.033,0.301,0.042,1.4,0.033
2639,3943.71,3767.82,17.271,0.019,1.125,0.037,-0.001,0.04,1.215,0.029
2641,2780.11,3026.15,17.21,0.016,1.481,0.03,0.808,0.043,1.956,0.025
2645,1377.53,2036.83,17.237,0.03,1.533,0.044,1.095,0.07,1.888,0.035
2646,1656.42,2657.64,17.272,0.025,0.941,0.033,0.445,0.041,1.368,0.028
2647,366.159,1077.96,17.058,0.037,0.938,0.07,1.803,0.126,1.113,0.042
2648,1439.25,2640.37,17.177,0.023,1.229,0.035,1.323,0.051,1.544,0.027
2649,2128.53,599.189,17.166,0.04,1.173,0.054,1.234,0.061,1.706,0.047
2650,2260.91,2283.99,17.27,0.026,1.02,0.038,0.408,0.043,1.442,0.035
2651,1340.22,175.44,17.089,0.045,1.343,0.063,0.534,0.07,1.434,0.053
2652,3616.4,3601.68,17.246,0.018,1.131,0.031,0.164,0.038,1.341,0.026
2653,2549.54,49.579,17.35,0.029,0.903,0.05,0.105,0.059,1.209,0.045
2654,1135.88,2138.72,17.284,0.033,0.794,0.044,0.549,0.075,1.105,0.04
2655,471.665,1849.23,17.298,0.038,1.623,0.06,1.033,0.079,2.121,0.044
2656,3143.96,1890.46,17.216,0.023,1.046,0.032,1.225,0.048,1.451,0.032
2657,3526.91,2512.49,17.326,0.018,0.98,0.026,0.228,0.037,1.384,0.026
2658,1547.91,2573.91,17.333,0.022,1.44,0.035,0.94,0.152,1.926,0.029
2659,3392.77,1473.19,17.357,0.024,0.84,0.032,0.455,0.036,1.303,0.033
2660,1790.89,3594.97,17.212,0.025,1.01,0.035,0.573,0.052,1.244,0.03
2661,1886.26,713.943,17.335,0.04,0.814,0.054,0.131,0.054,1.226,0.045
