# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5599919892597367808" 12.97263 1.93196 3.09664 0.26935 2.59511 0.34906 0.54
"Gaia EDR3 5599873197711146624" 13.56808 1.21671 2.97409 0.24027 2.51571 0.29201 0.54
"Gaia EDR3 5599918312049410432" 13.66158 0.75583 2.94463 0.25825 2.41672 0.26934 0.54
"Gaia EDR3 5599919548999966080" 13.70387 0.80723 2.94397 0.25723 2.41634 0.26698 0.53
"Gaia EDR3 5599920064395996032" 14.03923 0.95295 2.92043 0.23424 2.36267 0.23356 0.48
"Gaia EDR3 5599918518207814528" 14.07397 0.65778 2.90946 0.22732 2.35722 0.24196 0.52
"Gaia EDR3 5599921748023119104" 14.19945 0.84401 2.89168 0.21250 2.32069 0.22172 0.50
"Gaia EDR3 5599918724366239872" 14.32717 0.80651 2.86257 0.19719 2.28491 0.21082 0.50
"Gaia EDR3 5599917899732613504" 14.49987 0.83131 2.81417 0.17729 2.24425 0.19807 0.51
"Gaia EDR3 5599871101767201408" 14.56913 0.90767 2.79443 0.16874 2.21977 0.19229 0.50
"Gaia EDR3 5599918621287081088" 14.70715 0.81544 2.74568 0.16155 2.17648 0.18840 0.48
"Gaia EDR3 5599912986290078848" 14.71622 0.76283 2.74124 0.16194 2.17562 0.18877 0.45
"Gaia EDR3 5599921748023119360" 14.77895 0.93007 2.72297 0.15398 2.14615 0.19295 0.50
"Gaia EDR3 5599918724366249856" 14.84246 0.91127 2.69881 0.14963 2.13027 0.19035 0.50
"Gaia EDR3 5599919548999967616" 14.86971 0.83906 2.68429 0.15058 2.12949 0.19031 0.47
"Gaia EDR3 5599871342285140224" 14.98183 0.75450 2.63665 0.14224 2.08746 0.18748 0.39
"Gaia EDR3 5599872029480080640" 15.00658 0.91057 2.62917 0.13900 2.06030 0.18741 0.51
"Gaia EDR3 5599922984973859968" 15.05531 0.81497 2.60530 0.13573 2.04366 0.18843 0.40
"Gaia EDR3 5599911886778442368" 15.11243 0.86299 2.58224 0.13044 2.00686 0.18186 0.44
"Gaia EDR3 5599923019333618304" 15.23251 0.77009 2.52943 0.12800 1.96399 0.17618 0.34
"Gaia EDR3 5599918410823219968" 15.28802 0.84432 2.50310 0.12380 1.93806 0.17168 0.36
"Gaia EDR3 5599920133115485056" 15.37525 0.89448 2.46282 0.11855 1.90973 0.16791 0.42
"Gaia EDR3 5599918415128611072" 15.49089 0.79336 2.41203 0.11570 1.86284 0.16223 0.30
"Gaia EDR3 5599920889029663360" 15.50349 0.98870 2.40057 0.11270 1.84750 0.15845 0.56
"Gaia EDR3 5599918724366238080" 15.52405 0.96388 2.39146 0.11105 1.83953 0.15783 0.53
"Gaia EDR3 5599919789518162816" 15.52749 0.91562 2.39149 0.11128 1.83844 0.16156 0.42
"Gaia EDR3 5599919205402556544" 15.52865 0.93907 2.38980 0.11041 1.83755 0.16061 0.48
"Gaia EDR3 5599919411561048960" 15.59741 1.00208 2.35368 0.10637 1.81529 0.15192 0.58
"Gaia EDR3 5599918690006518272" 15.60841 0.93265 2.35128 0.10545 1.81010 0.15593 0.45
"Gaia EDR3 5599922160339965440" 15.62167 0.97786 2.34238 0.10458 1.80683 0.15361 0.55
"Gaia EDR3 5599922916254351360" 15.63363 1.04920 2.33445 0.10438 1.80594 0.14861 0.61
"Gaia EDR3 5599864573416999808" 15.68676 0.95940 2.31099 0.10118 1.78257 0.14959 0.49
"Gaia EDR3 5599923878327068160" 15.69350 0.98143 2.30669 0.10089 1.78022 0.14893 0.55
"Gaia EDR3 5599920957749149952" 15.78475 0.88786 2.26946 0.09444 1.75146 0.14816 0.28
"Gaia EDR3 5599919583359725696" 15.84661 0.91319 2.23727 0.09060 1.72613 0.14981 0.30
"Gaia EDR3 5599919411561044736" 15.85301 1.02281 2.22715 0.08940 1.72331 0.14363 0.61
"Gaia EDR3 5599918346409169792" 15.86929 0.82747 2.23118 0.08998 1.71746 0.15054 0.28
"Gaia EDR3 5599912677052345600" 15.91108 0.81982 2.21174 0.08726 1.69735 0.14724 0.29
"Gaia EDR3 5599919995676561920" 15.96542 0.91302 2.18286 0.08516 1.67339 0.14729 0.25
"Gaia EDR3 5599871342285140480" 15.97855 0.83820 2.18158 0.08572 1.66851 0.14763 0.27
"Gaia EDR3 5599873472588907264" 15.99200 1.05005 2.16001 0.08268 1.67676 0.14277 0.64
"Gaia EDR3 5599871892040949632" 16.01204 0.92693 2.15958 0.08294 1.66811 0.14684 0.25
"Gaia EDR3 5599919823877883648" 16.01327 0.99344 2.15474 0.08277 1.66665 0.14642 0.43
"Gaia EDR3 5599923122412788864" 16.03700 0.96657 2.14671 0.08171 1.65835 0.14663 0.32
"Gaia EDR3 5599919171042835968" 16.04039 0.94606 2.14663 0.08155 1.65771 0.14690 0.27
"Gaia EDR3 5599922710095948160" 16.04467 0.91644 2.14662 0.08137 1.65547 0.14753 0.23
"Gaia EDR3 5599913432966640256" 16.05871 0.94138 2.13922 0.08129 1.65001 0.14569 0.25
"Gaia EDR3 5599923534729614848" 16.11391 1.10741 2.10200 0.07839 1.63214 0.13297 0.69
"Gaia EDR3 5599918586927321856" 16.12186 0.93679 2.10964 0.07919 1.63053 0.14335 0.23
"Gaia EDR3 5599924909119075072" 16.12190 1.14248 2.09695 0.07867 1.63130 0.13165 0.70
"Gaia EDR3 5599918793085723648" 16.13123 1.13290 2.09275 0.07811 1.62518 0.13019 0.70
"Gaia EDR3 5599919583359735168" 16.13357 0.98785 2.10218 0.07860 1.62496 0.14065 0.32
"Gaia EDR3 5599919823877881472" 16.18471 1.03168 2.07573 0.07476 1.60058 0.13115 0.43
"Gaia EDR3 5599918380768882944" 16.19506 1.13446 2.06315 0.07643 1.59733 0.12395 0.69
"Gaia EDR3 5599919892597370624" 16.19860 1.03427 2.06930 0.07530 1.59404 0.12958 0.43
"Gaia EDR3 5599912260429778304" 16.19887 1.00416 2.07172 0.07499 1.59492 0.13119 0.33
"Gaia EDR3 5599919342841941888" 16.24721 1.04375 2.04775 0.07505 1.57314 0.12296 0.43
"Gaia EDR3 5599918483848083200" 16.24828 1.03768 2.04777 0.07496 1.57234 0.12329 0.40
"Gaia EDR3 5599919926957083136" 16.25460 0.91546 2.05434 0.07500 1.57636 0.12672 0.23
"Gaia EDR3 5599919480280905344" 16.29827 1.02060 2.02479 0.07289 1.55605 0.12328 0.31
"Gaia EDR3 5599920030036282240" 16.30764 1.02941 2.02059 0.07269 1.54965 0.12350 0.33
"Gaia EDR3 5599918793085728384" 16.31525 1.02339 2.01719 0.07246 1.54616 0.12335 0.30
"Gaia EDR3 5599919308482205824" 16.32404 1.21111 1.99807 0.07120 1.55061 0.11590 0.71
"Gaia EDR3 5599912367814718464" 16.36906 1.15200 1.98450 0.06901 1.53031 0.11284 0.69
"Gaia EDR3 5599923672168542208" 16.39316 1.05419 1.98389 0.06867 1.51350 0.11497 0.35
"Gaia EDR3 5599871479724092288" 16.39689 1.00964 1.98618 0.06882 1.51031 0.11527 0.23
"Gaia EDR3 5599871823321471872" 16.41802 1.01208 1.97743 0.06861 1.50497 0.11416 0.23
"Gaia EDR3 5599871479724092544" 16.44166 0.96462 1.97161 0.06844 1.49873 0.11480 0.22
"Gaia EDR3 5599919548999968896" 16.45253 1.09875 1.95455 0.06849 1.49945 0.11303 0.47
"Gaia EDR3 5599919136683069184" 16.45399 1.07658 1.95638 0.06836 1.49823 0.11390 0.38
"Gaia EDR3 5599918690006525312" 16.46965 1.01602 1.95485 0.06773 1.49209 0.11335 0.22
"Gaia EDR3 5599919514640642304" 16.47587 1.33332 1.91986 0.06787 1.50830 0.10712 0.67
"Gaia EDR3 5599920614151757184" 16.47612 1.17463 1.93681 0.06909 1.49900 0.10921 0.71
"Gaia EDR3 5599919926957072640" 16.48490 1.04625 1.94560 0.06820 1.48848 0.11254 0.26
"Gaia EDR3 5599919755158447488" 16.48865 1.03704 1.94482 0.06825 1.48709 0.11244 0.24
"Gaia EDR3 5599919205403594880" 16.53044 1.25534 1.90546 0.06557 1.49184 0.10461 0.75
"Gaia EDR3 5599918655646807296" 16.58706 1.04941 1.90202 0.06345 1.45701 0.10575 0.21
"Gaia EDR3 5599919755158448384" 16.60590 1.08638 1.89074 0.06285 1.45116 0.10468 0.28
"Gaia EDR3 5599912711412109056" 16.60701 1.02886 1.89576 0.06289 1.45114 0.10681 0.20
"Gaia EDR3 5599919548999978496" 16.64326 1.11612 1.87417 0.06091 1.44087 0.10676 0.35
"Gaia EDR3 5599872441796900608" 16.65401 1.24418 1.85729 0.06066 1.44987 0.10345 0.75
"Gaia EDR3 5599918690007541504" 16.73463 1.21864 1.83035 0.05838 1.42608 0.10830 0.66
"Gaia EDR3 5599919823877877760" 16.73553 1.13806 1.83755 0.05946 1.41962 0.10963 0.33
"Gaia EDR3 5599918861805160704" 16.76089 1.05602 1.83469 0.05871 1.41021 0.10850 0.18
"Gaia EDR3 5599870792529516160" 16.76106 1.14996 1.82618 0.05818 1.41033 0.10864 0.35
"Gaia EDR3 5599918380768889216" 16.77724 1.08371 1.82665 0.05797 1.40467 0.10905 0.18
"Gaia EDR3 5599918861805165184" 16.78541 1.14685 1.81797 0.05832 1.40221 0.10683 0.32
"Gaia EDR3 5599913840978232576" 16.83033 1.09373 1.80471 0.05732 1.39032 0.10807 0.18
"Gaia EDR3 5599918449488324608" 16.83342 1.13447 1.80042 0.05731 1.38493 0.10760 0.23
