radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
119.436761,0.531,-28.44048,0.383,16.468,0.149,7,17.176,0.157,7,NA,NA,0,16.745,0.103,9,16.079,0.122,9,16.03,0.377,3,NA,NA,0,NA,NA,0
119.43683,0.529,-28.775243,0.354,15.789,0.11,4,16.587,0.051,4,NA,NA,0,15.97,0.082,1,15.581,0.114,1,NA,NA,0,NA,NA,0,NA,NA,0
119.43687,0.773,-28.275359,0.7,16.866,0.002,2,17.828,0.028,2,NA,NA,0,17.173,0.154,5,16.703,0.262,5,NA,NA,0,NA,NA,0,NA,NA,0
119.437147,0.971,-28.476148,0.514,16.074,0.111,6,16.825,0.045,6,NA,NA,0,16.361,0.075,8,15.844,0.058,8,15.625,0.012,2,NA,NA,0,NA,NA,0
119.437197,2.071,-28.885415,2.526,14.189,0.073,12,14.87,0.048,12,NA,NA,0,14.588,0.195,14,13.944,0.101,14,13.698,0.16,14,NA,NA,0,NA,NA,0
119.437264,0.33,-28.244678,0.351,15.908,0.185,10,16.428,0.169,10,NA,NA,0,16.101,0.065,10,15.698,0.065,10,15.269,0.797,5,NA,NA,0,NA,NA,0
119.437264,0.726,-28.169766,0.701,15.589,0.117,9,16.294,0.153,9,NA,NA,0,15.87,0.062,9,15.347,0.118,9,15.077,0.116,7,NA,NA,0,NA,NA,0
119.437407,0.285,-28.907708,0.316,NA,NA,0,NA,NA,0,NA,NA,0,17.626,0.117,1,16.76,0.129,1,NA,NA,0,NA,NA,0,NA,NA,0
119.437472,0.331,-28.874229,0.436,15.674,0.133,12,16.569,0.115,12,NA,NA,0,16.032,0.058,14,15.395,0.099,14,15.245,0.346,10,NA,NA,0,NA,NA,0
119.437506,0.582,-28.453304,0.289,15.813,0.114,10,16.194,0.06,10,NA,NA,0,15.927,0.072,10,15.734,0.099,10,15.673,0.18,4,NA,NA,0,NA,NA,0
119.437538,0.551,-28.919624,0.403,16.494,0.08,2,17.376,0.07,2,NA,NA,0,16.952,0.074,3,16.165,0.096,3,15.681,0.14,1,NA,NA,0,NA,NA,0
119.43774,0.997,-28.468592,0.425,14.807,0.062,10,15.429,0.095,10,NA,NA,0,15.064,0.043,10,14.643,0.038,10,14.509,0.122,10,NA,NA,0,NA,NA,0
119.437853,1.607,-28.380915,0.64,14.486,0.143,9,15.144,0.076,9,NA,NA,0,14.69,0.112,8,14.219,0.139,8,13.962,0.143,8,NA,NA,0,NA,NA,0
