radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.658123,0.316,-28.29801,0.153,14.82,0.102,5,15.258,0.085,5,NA,NA,0,14.962,0.048,5,14.714,0.015,5,14.674,0.082,5,NA,NA,0,NA,NA,0
115.658521,0.251,-28.272972,0.355,16.29,0.06,2,16.929,0.001,2,NA,NA,0,16.503,0.128,2,16.112,0.096,2,15.652,0.139,1,NA,NA,0,NA,NA,0
115.658699,0.244,-28.38467,0.254,15.038,0.074,5,15.954,0.108,5,NA,NA,0,15.422,0.032,5,14.686,0.023,5,14.309,0.057,5,NA,NA,0,NA,NA,0
115.658788,0.355,-28.349719,0.143,11.902,0.07,5,12.173,0.041,5,NA,NA,0,11.944,0.034,5,11.88,0.019,5,11.896,0.044,5,12.052,0.093,2,NA,NA,0
115.659037,0.515,-28.32404,0.213,NA,NA,0,NA,NA,0,NA,NA,0,18.093,0.196,1,17.14,0.168,1,NA,NA,0,NA,NA,0,NA,NA,0
115.659281,0.539,-28.45738,0.379,NA,NA,0,NA,NA,0,NA,NA,0,17.421,0.14,5,16.477,0.085,5,15.983,0.246,3,NA,NA,0,NA,NA,0
115.65941,1.58,-28.278757,1.018,16.261,0.012,2,17.057,0.151,2,NA,NA,0,16.536,0.177,3,15.85,0.179,3,15.433,0.067,3,NA,NA,0,NA,NA,0
115.659456,0.337,-28.303102,0.246,16.595,0.127,3,17.431,0.235,3,NA,NA,0,16.889,0.111,5,16.278,0.029,5,16.012,0.128,4,NA,NA,0,NA,NA,0
115.662907,0.723,-28.474522,0.229,13.367,0.058,5,13.974,0.043,5,NA,NA,0,13.605,0.032,5,13.206,0.022,5,13.021,0.044,5,12.877,0.071,2,NA,NA,0
115.662966,0.43,-28.509385,0.299,NA,NA,0,NA,NA,0,NA,NA,0,17.013,0.064,5,15.673,0.106,5,15.119,0.091,5,NA,NA,0,NA,NA,0
115.66355,0.701,-28.403626,0.319,15.139,0.073,5,16.575,0.105,5,NA,NA,0,15.719,0.026,4,14.631,0.015,4,14.104,0.028,4,14.054,0.295,1,NA,NA,0
115.66363,0.427,-28.242305,0.649,15.666,0.04,5,16.588,0.091,5,NA,NA,0,16.055,0.058,5,15.449,0.069,5,15.186,0.102,4,NA,NA,0,NA,NA,0
115.663652,0.41,-28.271699,0.481,13.943,0.073,5,15.364,0.068,5,NA,NA,0,14.598,0.053,5,13.429,0.014,5,12.862,0.038,5,12.628,0.024,2,NA,NA,0
115.663861,0.361,-28.311434,0.605,16.902,0.199,1,17.901,0.329,1,NA,NA,0,17.409,0.015,2,16.886,0.136,2,16.349,0.242,1,NA,NA,0,NA,NA,0
115.664146,0.708,-28.330554,0.33,16.435,0.06,3,17.197,0.142,3,NA,NA,0,16.746,0.151,5,16.03,0.052,5,15.834,0.17,5,NA,NA,0,NA,NA,0
115.664408,0.289,-28.288993,0.189,16.621,0.196,2,17.543,0.154,2,NA,NA,0,16.918,0.113,4,16.384,0.062,4,16.176,0.137,4,NA,NA,0,NA,NA,0
115.66453,0.282,-28.454366,0.174,14.554,0.057,5,16.153,0.074,5,NA,NA,0,15.292,0.043,5,13.955,0.012,5,13.294,0.056,5,13.179,0.16,2,NA,NA,0
115.665597,0.452,-28.306345,0.286,16.188,0.162,5,16.925,0.095,5,NA,NA,0,16.514,0.084,5,15.942,0.058,5,15.747,0.123,5,NA,NA,0,NA,NA,0
115.665896,0.691,-28.426287,0.384,17.022,0.138,2,17.742,0.12,2,NA,NA,0,17.414,0.208,4,16.683,0.195,4,16.302,0.208,1,NA,NA,0,NA,NA,0
115.666426,0.494,-28.29976,0.232,15.604,0.034,5,16.564,0.107,5,NA,NA,0,16.024,0.051,5,15.4,0.037,5,15.077,0.104,5,NA,NA,0,NA,NA,0
