EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5602124963175179648" -0.141831 0.238234 119.22744494187 -25.67023518306 "" "" "" "" "" "" 18.329388 0.008848 1.155796 0.012269160688490472 18.121 0.016 0.989 0.029 0.294 0.042 1.518 0.025
"Gaia EDR3 5698182112901607680" 0.19686 0.109597 119.60345977374 -25.79879331445 "" "" "" "" "" "" 18.190989 0.010413 1.452473 0.014098719835502798 18.179 0.027 1.151 0.051 1.136 0.077 1.847 0.039
"Gaia EDR3 5602122626693292672" -0.245536 0.138802 119.11215580371 -25.76949751856 "" "" "" "" "" "" 20.322807 0.014865 "" "" 18.241 0.017 0.987 0.032 0.8 0.127 1.534 0.025
"Gaia EDR3 5602122489256768640" -0.20498 0.131304 119.15717597055 -25.77707303824 "" "" "" "" "" "" 21.095852 0.017319 "" "" 18.499 0.039 2.216 0.434 0.42 0.498 2.118 0.039
"Gaia EDR3 5602093764528025088" -0.061623 -0.217136 119.31617108794 -26.12567378507 "" "" "" "" "" "" 18.275871 0.00489 1.602156 0.03356511529847619 18.07 0.031 1.188 0.046 1.219 0.065 1.786 0.057
"Gaia EDR3 5601348879758519680" 0.029182 -0.212518 119.41730767023 -26.12106879085 "" "" "" "" "" "" 18.975002 0.0089 1.412075 0.023618319161193498 18.459 0.031 0.934 0.053 0.498 0.066 1.672 0.039
"Gaia EDR3 5602104617895476096" -0.096357 -0.046619 119.27764076394 -25.95513375814 "" "" "" "" "" "" 18.55724 0.012443 1.829001 0.021424083130906674 18.714 0.024 1.351 0.051 1.335 0.13 2.139 0.029
"Gaia EDR3 5602122725475309440" -0.239446 0.146569 119.11893561187 -25.76174305112 "" "" "" "" "" "" 18.668827 0.008826 1.18701 0.017348963917191134 18.479 0.017 0.934 0.035 0.513 0.131 1.519 0.023
"Gaia EDR3 5602120633829202688" -0.133721 0.116368 119.23629061009 -25.79211060084 "" "" "" "" "" "" 18.340805 0.005548 1.694845 0.020831162737591006 18.422 0.021 1.877 0.038 "" "" 2.043 0.03
"Gaia EDR3 5601345856093888512" 0.209598 -0.227367 119.6182756436 -26.1357341634 "" "" "" "" "" "" 18.83317 0.009297 1.632338 0.07709865052645215 18.515 0.027 1.327 0.06 0.894 0.097 2.08 0.045
"Gaia EDR3 5602096100978596352" -0.2009 -0.185582 119.16110598109 -26.0939649715 "" "" "" "" "" "" 21.011507 0.015474 "" "" 18.513 0.025 1.188 0.042 1.172 0.104 1.803 0.037
"Gaia EDR3 5602098196920590080" -0.124545 -0.134234 119.24618671478 -26.04272204188 "" "" "" "" "" "" 20.881279 0.01561 "" "" 18.503 0.026 0.947 0.04 0.495 0.056 1.5 0.032
"Gaia EDR3 5602100670840427264" 0.012629 -0.109815 119.39885987193 -26.01836821927 "" "" "" "" "" "" 19.00807 0.017054 1.451576 0.02306229424840469 18.75 0.024 1.054 0.041 0.544 0.075 1.73 0.027
"Gaia EDR3 5602124894435782144" -0.131482 0.234172 119.23892234798 -25.67430908134 "" "" "" "" "" "" 21.050772 0.019533 "" "" 19.311 0.02 1.595 0.053 "" "" 3.044 0.027
"Gaia EDR3 5602101456799183872" -0.021526 -0.087587 119.36085701167 -25.99613971033 "" "" "" "" "" "" 20.523037 0.01028 2.014542 0.02087218131868349 18.588 0.033 1.81 0.055 0.637 0.118 2.203 0.051
"Gaia EDR3 5697428328954754048" 0.243373 -0.027446 119.65543599177 -25.93574881929 "" "" "" "" "" "" 21.112778 0.02768 "" "" 18.728 0.056 1.02 0.083 0.587 0.089 1.699 0.064
"Gaia EDR3 5602104239938051328" -0.088448 -0.083023 119.28640637795 -25.99154359553 "" "" "" "" "" "" 19.314621 0.006768 1.329838 0.028835578475210098 18.799 0.023 0.899 0.044 0.421 0.065 1.529 0.029
"Gaia EDR3 5698183830874804608" 0.049687 0.057345 119.44001841604 -25.85119886956 "" "" "" "" "" "" 19.507114 0.01906 "" "" 18.969 0.021 1.042 0.051 0.601 0.102 1.979 0.029
"Gaia EDR3 5602124035457904512" -0.167215 0.152959 119.1991478293 -25.75547730237 "" "" "" "" "" "" 18.934155 0.005731 2.008852 0.050568327567757275 18.993 0.016 1.492 0.034 "" "" 2.417 0.024
"Gaia EDR3 5602103935011242880" 0.033155 0.01273 119.42166273835 -25.89581933118 "" "" "" "" "" "" 20.754547 0.015969 0.894871 0.5907685669786436 18.177 0.231 1.114 0.276 "" "" 0.251 0.242
"Gaia EDR3 5601348123844267648" 0.044251 -0.223938 119.43409618858 -26.1324839708 "" "" "" "" "" "" 19.322456 0.009448 1.45701 0.07843315225719287 18.885 0.033 1.145 0.063 0.789 0.095 1.926 0.047
"Gaia EDR3 5698185308343565184" -0.006206 0.1425 119.37791510469 -25.76605367128 "" "" "" "" "" "" 19.11795 0.011772 1.373888 0.018568904679598094 18.891 0.02 1.106 0.031 0.502 0.224 1.669 0.027
"Gaia EDR3 5697424446304464896" 0.230692 -0.107016 119.64150896447 -26.01534430774 "" "" "" "" "" "" 19.677437 0.01533 1.088469 0.12297487660493911 19.095 0.032 0.665 0.059 0.468 0.073 1.797 0.048
"Gaia EDR3 5698182039872766720" 0.203727 0.10015 119.61110561609 -25.80822898098 "" "" "" "" "" "" 18.863997 0.011395 1.380699 0.027389507078441556 18.983 0.027 1.086 0.059 0.529 0.092 1.776 0.043
"Gaia EDR3 5602093042960342784" -0.195429 -0.220479 119.1671327878 -26.12887110571 "" "" "" "" "" "" 20.90257 0.013663 "" "" 18.924 0.029 1.173 0.046 0.797 0.098 1.784 0.043
"Gaia EDR3 5698187198129564288" 0.083808 0.18476 119.47783382055 -25.72376447028 "" "" "" "" "" "" 20.677765 0.015539 "" "" 19.054 0.016 0.934 0.036 0.292 0.063 1.556 0.025
"Gaia EDR3 5602117644546224256" -0.214233 -0.001717 119.14663210703 -25.91007694019 "" "" "" "" "" "" 20.343864 0.007376 "" "" 19.074 0.023 1.18 0.047 0.634 0.11 1.679 0.028
"Gaia EDR3 5602104175533603840" -0.117656 -0.105243 119.25388718918 -26.01373817112 "" "" "" "" "" "" 20.842035 0.01457 1.995535 0.02586043574652214 18.99 0.031 1.796 0.055 "" "" 2.058 0.046
"Gaia EDR3 5698181322613458944" 0.154649 0.09309 119.55659978091 -25.81536264766 "" "" "" "" "" "" 19.114826 0.011645 1.851191 0.04245743658065098 19.366 0.024 1.397 0.058 "" "" 2.168 0.03
"Gaia EDR3 5602093730154648192" -0.084646 -0.222808 119.29052416323 -26.13133217777 "" "" "" "" "" "" 20.791018 0.015493 "" "" 19.105 0.029 1.282 0.05 "" "" 1.934 0.047
"Gaia EDR3 5602108470483525248" -0.027286 0.12207 119.3545029879 -25.7864814522 "" "" "" "" "" "" 20.486847 0.010159 "" "" 19.168 0.017 0.857 0.029 0.218 0.054 1.525 0.034
"Gaia EDR3 5602095001466324224" -0.088111 -0.144633 119.28672978132 -26.05315394652 "" "" "" "" "" "" 20.763327 0.013939 "" "" 19.747 0.029 1.548 0.066 "" "" 3.062 0.037
"Gaia EDR3 5698180497998764288" 0.171514 0.074013 119.57536606903 -25.83441660227 "" "" "" "" "" "" 19.476849 0.011416 1.27684 0.027958406767911507 19.218 0.025 0.895 0.056 0.547 0.099 1.659 0.035
"Gaia EDR3 5602104312968142336" -0.097053 -0.07497 119.27684019272 -25.98348433972 "" "" "" "" "" "" 19.844986 0.012831 "" "" 19.183 0.026 1.004 0.048 0.453 0.086 1.576 0.038
"Gaia EDR3 5698187954043749888" 0.106613 0.240672 119.50309187684 -25.6678342261 "" "" "" "" "" "" 20.88198 0.018813 "" "" 19.267 0.021 0.959 0.049 0.321 0.093 1.687 0.033
"Gaia EDR3 5601346577656093056" 0.184196 -0.227136 119.58998018676 -26.1355462406 "" "" "" "" "" "" 19.251253 0.009546 1.693178 0.04597468099943707 19.34 0.035 1.352 0.075 0.841 0.19 2.062 0.05
"Gaia EDR3 5601343107316833152" -0.029367 -0.235137 119.35209307763 -26.14368799438 "" "" "" "" "" "" 20.80482 0.013932 "" "" 19.39 0.031 0.948 0.05 0.321 0.097 1.786 0.079
"Gaia EDR3 5697424549384805632" 0.236979 -0.093484 119.64847404103 -26.00179988666 "" "" "" "" "" "" 21.10421 0.023921 "" "" 19.703 0.038 1.324 0.088 "" "" 2.176 0.044
