EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5597766735282858880" 0.184559 -0.228577 119.93220655743 -28.80314779393 "" "" "" "" "" "" 12.728318 0.009441 0.613162 0.004794332174557788 12.681 0.022 0.545 0.041 0.098 0.05 0.509 0.026
"Gaia EDR3 5597770038130630144" 0.149185 -0.187721 119.89177088434 -28.76234841952 "" "" "" "" "" "" 13.511626 0.003848 0.550361 0.0048058899279946055 13.196 0.01 0.383 0.018 -0.384 0.021 0.467 0.019
"Gaia EDR3 5597793540189511808" 0.207578 0.13594 119.95765398393 -28.43858865431 "" "" "" "" "" "" 13.649233 0.004317 1.13298 0.005024139826875841 13.28 0.007 0.964 0.015 0.739 0.016 0.948 0.016
"Gaia EDR3 5597794394873631232" 0.038393 0.081871 119.76527421456 -28.49285538136 "" "" "" "" "" "" 14.783321 0.003813 1.376146 0.005842088667591412 14.523 0.015 1.088 0.022 0.843 0.019 1.232 0.021
"Gaia EDR3 5597768629372578048" 0.108502 -0.206791 119.84538475292 -28.78146797747 "" "" "" "" "" "" 15.361382 0.013684 0.986322 0.005009919161024457 15.229 0.01 0.769 0.016 0.308 0.015 0.835 0.015
"Gaia EDR3 5597769316574493952" 0.069765 -0.207272 119.80118865964 -28.78198251964 "" "" "" "" "" "" 17.62297 0.017067 "" "" 15.259 0.016 0.493 0.024 0.112 0.022 0.658 0.025
"Gaia EDR3 5597776841358798336" 0.222071 -0.088204 119.97467438478 -28.66270254608 "" "" "" "" "" "" 15.349406 0.009276 0.811101 0.005014579244562798 15.314 0.009 0.599 0.019 0.395 0.022 0.691 0.016
"Gaia EDR3 5597797010523071232" 0.200188 0.218805 119.94907160259 -28.35573838205 "" "" "" "" "" "" 15.148607 0.00518 1.061243 0.005049100513952956 15.34 0.014 0.871 0.02 0.209 0.017 0.898 0.023
"Gaia EDR3 5597790104207502592" 0.128211 0.00478 119.86757710734 -28.56987473076 "" "" "" "" "" "" 15.931543 0.004323 0.995882 0.009429675339055952 15.694 0.009 0.755 0.014 0.194 0.014 0.911 0.012
"Gaia EDR3 5597781995318035840" -0.055262 -0.159097 119.65856724534 -28.73381586127 "" "" "" "" "" "" 15.615872 0.007831 1.282369 0.005176006182376524 15.777 0.005 1.009 0.01 0.439 0.013 1.119 0.016
"Gaia EDR3 5597784984616818432" 0.054991 -0.006289 119.78421177791 -28.58100805344 "" "" "" "" "" "" 15.90067 0.004658 1.445125 0.005313812284979589 16.029 0.009 1.18 0.012 1.212 0.014 1.344 0.012
