EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5599863473905357568" 0.025469 -0.219618 116.22985154358 -28.59264823424 "" "" "" "" "" "" 16.53421 0.003002 1.337466 0.03282000976538551 16.045 0.04 1.032 0.058 0.863 0.058 1.253 0.062
"Gaia EDR3 5599854196766039040" 0.246413 -0.202725 116.48143799062 -28.57547097437 "" "" "" "" "" "" 17.914978 0.004009 "" "" 16.216 0.03 1.139 0.054 0.176 0.068 1.206 0.055
"Gaia EDR3 5599870960024544896" 0.104728 -0.051236 116.31992949656 -28.42421734762 "" "" "" "" "" "" 16.679258 0.004107 1.393423 0.006425601606075497 16.401 0.027 1.012 0.04 1.122 0.049 1.377 0.03
"Gaia EDR3 5599865020093593344" -0.022824 -0.147253 116.17486914943 -28.52028389529 "" "" "" "" "" "" 16.568918 0.008575 1.319956 0.0062660226619443374 16.579 0.033 0.937 0.043 0.409 0.042 1.333 0.039
"Gaia EDR3 5599929478965429504" -0.233824 0.041052 115.93520071071 -28.33172380649 "" "" "" "" "" "" 16.739481 0.009101 1.387491 0.0066631945791789686 16.831 0.017 1.081 0.032 0.495 0.051 1.372 0.024
"Gaia EDR3 5601375371115187456" 0.199336 0.092126 116.42720016352 -28.28072041477 "" "" "" "" "" "" 17.013079 0.005678 1.273931 0.006839648017259368 16.839 0.03 0.978 0.046 0.481 0.052 1.251 0.032
"Gaia EDR3 5599874159783661824" 0.149619 0.052309 116.37080760883 -28.32061850188 "" "" "" "" "" "" 16.930925 0.010438 1.339898 0.008037292890022113 16.95 0.023 0.953 0.036 0.525 0.046 1.299 0.027
"Gaia EDR3 5599927039423296896" -0.009905 0.240659 116.18961304573 -28.13237322881 "" "" "" "" "" "" 16.145864 0.010293 2.324573 0.006075973173081 16.889 0.023 1.581 0.035 0.993 0.049 2.348 0.036
"Gaia EDR3 5599919067964635520" 0.045267 0.011722 116.25228711643 -28.36130106874 "" "" "" "" "" "" 17.208399 0.015566 1.340921 0.00795496077928735 17.136 0.019 0.91 0.027 0.859 0.044 1.267 0.027
"Gaia EDR3 5599916555397494016" -0.176429 -0.01941 116.00029187177 -28.39229662593 "" "" "" "" "" "" 17.43543 0.010637 1.450304 0.009636085200951681 17.253 0.021 0.979 0.03 0.463 0.035 1.47 0.03
