# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5538150257058978432" 13.69021 2.58894 2.88714 0.38663 2.45181 0.38344 0.49
"Gaia EDR3 5538151012973220480" 14.61028 1.75786 2.88839 0.38786 2.45824 0.38318 0.52
"Gaia EDR3 5538151012973229824" 15.79452 1.95932 2.86710 0.37482 2.38431 0.36785 0.41
"Gaia EDR3 5538151047332948608" 15.92930 0.89962 2.73286 0.33299 2.30704 0.31664 0.57
"Gaia EDR3 5538151012973228672" 16.00156 0.86544 2.72425 0.33145 2.28914 0.30916 0.57
"Gaia EDR3 5538149982181067904" 16.06097 1.78772 2.84614 0.35701 2.32633 0.33418 0.47
"Gaia EDR3 5538151047332941184" 16.09145 1.83449 2.84604 0.35845 2.32370 0.33670 0.43
"Gaia EDR3 5538151008672648320" 16.19941 0.91042 2.70117 0.31980 2.24536 0.28869 0.55
"Gaia EDR3 5538150360138149888" 16.27021 1.87108 2.82237 0.34887 2.29099 0.31995 0.40
"Gaia EDR3 5538151012973220736" 16.31328 0.87623 2.68270 0.31163 2.21527 0.28456 0.54
"Gaia EDR3 5538151012973218304" 16.45593 0.75147 2.65352 0.30293 2.17525 0.27802 0.52
"Gaia EDR3 5538149982181967488" 16.47973 1.76415 2.77324 0.31934 2.21740 0.29810 0.44
"Gaia EDR3 5538151150412144384" 16.52836 1.80618 2.76896 0.31960 2.20249 0.29664 0.42
"Gaia EDR3 5538150390193248896" 16.60894 0.80009 2.62332 0.28769 2.12491 0.25631 0.51
"Gaia EDR3 5538151047332956288" 16.63311 0.95166 2.62031 0.28572 2.10669 0.24897 0.51
"Gaia EDR3 5538150257058978944" 16.64992 0.72303 2.61193 0.28599 2.11949 0.25888 0.50
"Gaia EDR3 5538151287851135360" 16.97276 0.98054 2.52459 0.25312 2.00492 0.23701 0.52
"Gaia EDR3 5538150291418706304" 17.05590 0.76632 2.49483 0.24894 1.99191 0.22875 0.46
"Gaia EDR3 5538150287113992704" 17.13877 0.77388 2.46803 0.24281 1.96390 0.21886 0.45
"Gaia EDR3 5538150188339499008" 17.13904 0.81680 2.46827 0.24248 1.95884 0.21710 0.47
"Gaia EDR3 5538150188339493504" 17.21236 0.89229 2.44287 0.23709 1.92202 0.22378 0.51
"Gaia EDR3 5538151081692712960" 17.24848 0.84405 2.42929 0.23484 1.90821 0.22079 0.48
"Gaia EDR3 5538151047332952832" 17.38033 0.82042 2.38120 0.22526 1.87015 0.21255 0.43
"Gaia EDR3 5538151081692698496" 17.39025 0.88289 2.37852 0.22493 1.86575 0.21195 0.48
"Gaia EDR3 5538151214826992512" 17.55951 0.90503 2.30698 0.21333 1.78327 0.20328 0.48
"Gaia EDR3 5538149535504486912" 17.58098 0.91912 2.29739 0.21108 1.77347 0.20003 0.49
"Gaia EDR3 5538150355833509888" 17.60440 0.81887 2.28748 0.20926 1.77074 0.19720 0.41
"Gaia EDR3 5538149531199686272" 17.65087 0.86126 2.26821 0.20684 1.75477 0.19474 0.43
"Gaia EDR3 5538150218394491904" 17.67958 1.29275 2.24307 0.20762 1.71370 0.19354 0.54
"Gaia EDR3 5538150291418699904" 17.75515 0.81065 2.22433 0.20157 1.71336 0.19221 0.38
"Gaia EDR3 5538151043028251392" 17.77684 0.89161 2.21426 0.20028 1.70294 0.19048 0.44
"Gaia EDR3 5538151012969617152" 17.78487 0.97093 2.20983 0.19991 1.69725 0.19083 0.54
"Gaia EDR3 5538151111747766912" 17.84756 1.43718 2.16740 0.20078 1.64983 0.17903 0.54
"Gaia EDR3 5538151008668500352" 17.85274 0.95511 2.18189 0.19693 1.67590 0.18896 0.52
"Gaia EDR3 5538150394494208256" 17.89091 0.81036 2.16791 0.19379 1.66685 0.18830 0.35
"Gaia EDR3 5538150252754254720" 17.91302 0.94275 2.15547 0.19327 1.65371 0.18961 0.49
"Gaia EDR3 5538150287113989760" 17.96993 0.79503 2.13293 0.19000 1.63974 0.19175 0.34
"Gaia EDR3 5538151047332948480" 17.97216 0.76848 2.13269 0.18968 1.64063 0.19083 0.35
"Gaia EDR3 5538151146109541376" 17.98545 0.84082 2.12508 0.18874 1.62674 0.18790 0.35
"Gaia EDR3 5538149599919227392" 18.04336 0.92796 2.09916 0.18612 1.60361 0.18477 0.44
"Gaia EDR3 5538148740927795584" 18.05553 0.99153 2.09202 0.18607 1.60076 0.18420 0.53
"Gaia EDR3 5538149806077671808" 18.05563 1.53117 2.06327 0.19362 1.57908 0.18040 0.55
"Gaia EDR3 5538150321473738496" 18.06021 0.81424 2.09528 0.18420 1.60018 0.18547 0.33
"Gaia EDR3 5538150291415066752" 18.09934 0.92035 2.07571 0.18419 1.58898 0.18170 0.41
"Gaia EDR3 5538150252754209920" 18.13122 0.84348 2.06372 0.18287 1.58410 0.17935 0.34
"Gaia EDR3 5538150257058987520" 18.22435 0.89262 2.01906 0.17952 1.54432 0.17963 0.36
"Gaia EDR3 5538150252754195456" 18.25269 0.95836 2.00348 0.17960 1.52861 0.17685 0.43
"Gaia EDR3 5538149806077698432" 18.28759 1.80901 1.92946 0.19386 1.47714 0.16386 0.54
"Gaia EDR3 5538150188335889152" 18.30410 1.04692 1.97462 0.17794 1.50453 0.17139 0.55
"Gaia EDR3 5538149496842073728" 18.30913 1.04042 1.97206 0.17781 1.50381 0.17248 0.54
"Gaia EDR3 5538151146107498112" 18.31247 0.81333 1.98056 0.17547 1.51148 0.17295 0.32
"Gaia EDR3 5538151047329264384" 18.32467 0.97385 1.96890 0.17559 1.49894 0.17157 0.43
"Gaia EDR3 5538150527637518080" 18.33641 0.86420 1.96828 0.17319 1.50072 0.17088 0.32
"Gaia EDR3 5538148779591118592" 18.33831 0.85955 1.96790 0.17330 1.50063 0.17094 0.32
"Gaia EDR3 5538150291415016704" 18.34858 0.82415 1.96491 0.17301 1.49919 0.16913 0.31
"Gaia EDR3 5538150115315255552" 18.35113 0.89218 1.96171 0.17336 1.49394 0.16983 0.33
"Gaia EDR3 5538150394494213888" 18.37324 0.89850 1.95145 0.17170 1.48913 0.16801 0.34
"Gaia EDR3 5538151111747752192" 18.39712 1.07111 1.93237 0.17200 1.47695 0.16555 0.57
"Gaia EDR3 5538150291415032832" 18.40012 0.83824 1.94346 0.17125 1.48300 0.16872 0.31
"Gaia EDR3 5538150321473737984" 18.42842 1.17374 1.91371 0.17051 1.46818 0.16252 0.65
"Gaia EDR3 5538150394494216320" 18.45452 0.91895 1.91659 0.16882 1.46255 0.16695 0.33
"Gaia EDR3 5538150287113993216" 18.45961 0.98843 1.91144 0.16930 1.45684 0.16663 0.42
"Gaia EDR3 5538150291415027200" 18.46518 0.82227 1.91590 0.16751 1.45976 0.16692 0.31
"Gaia EDR3 5538151077387983360" 18.49770 1.32556 1.87242 0.17159 1.44763 0.15740 0.63
"Gaia EDR3 5538149531199694592" 18.50785 0.91330 1.89405 0.16767 1.44097 0.16256 0.32
"Gaia EDR3 5538151047329313536" 18.51454 0.99828 1.88850 0.16659 1.44370 0.15935 0.41
"Gaia EDR3 5538151219131617152" 18.53745 1.05521 1.87483 0.16716 1.43429 0.16152 0.50
"Gaia EDR3 5538149771717897984" 18.53785 0.98793 1.87860 0.16710 1.43283 0.15993 0.39
"Gaia EDR3 5538151184771866496" 18.54675 1.31378 1.85174 0.17158 1.43070 0.15486 0.64
"Gaia EDR3 5538151322207201664" 18.56059 0.99692 1.86819 0.16673 1.42745 0.16145 0.40
"Gaia EDR3 5538151012969602944" 18.58460 0.96566 1.85924 0.16555 1.42237 0.15919 0.35
"Gaia EDR3 5538151111747759488" 18.60462 1.05608 1.84600 0.16508 1.41563 0.15855 0.47
"Gaia EDR3 5538151012973227520" 18.67067 1.04230 1.81858 0.16254 1.39116 0.15848 0.42
"Gaia EDR3 5538150428857617664" 18.68645 1.45511 1.77759 0.16622 1.38563 0.14990 0.61
"Gaia EDR3 5538151283546434176" 18.70621 1.01073 1.80530 0.16073 1.37847 0.15656 0.37
"Gaia EDR3 5538150257055354624" 18.75597 0.90006 1.79060 0.15719 1.36806 0.15815 0.30
"Gaia EDR3 5538149806077678720" 18.75936 0.94677 1.78732 0.15771 1.36708 0.15578 0.31
"Gaia EDR3 5538151043028272768" 18.77953 0.91968 1.78084 0.15672 1.36330 0.15702 0.30
"Gaia EDR3 5538151081692704128" 18.78946 0.95052 1.77502 0.15724 1.36015 0.15442 0.31
"Gaia EDR3 5538151390930454784" 18.80609 1.00050 1.76624 0.15552 1.35423 0.15339 0.34
"Gaia EDR3 5538151081692708736" 18.80762 1.89679 1.69097 0.16526 1.32852 0.15045 0.55
"Gaia EDR3 5538151077388006144" 18.87028 1.08636 1.73419 0.15240 1.33131 0.14995 0.42
"Gaia EDR3 5538150733790659200" 18.88541 0.98301 1.73333 0.15180 1.32811 0.15193 0.31
"Gaia EDR3 5538151489704981888" 18.90789 1.02113 1.72205 0.15020 1.32124 0.15132 0.34
"Gaia EDR3 5538151180467257472" 18.90918 0.96915 1.72459 0.15020 1.32169 0.15122 0.31
"Gaia EDR3 5538150291415037696" 18.95243 1.19570 1.69627 0.14930 1.31669 0.14677 0.55
"Gaia EDR3 5538151283546461952" 18.95377 1.64192 1.65887 0.15599 1.30317 0.14827 0.58
"Gaia EDR3 5538149496839939072" 18.95745 1.11546 1.69847 0.14839 1.31208 0.14656 0.43
"Gaia EDR3 5538151008675074432" 18.96598 1.82934 1.63531 0.15757 1.29045 0.14764 0.56
"Gaia EDR3 5538148775285448960" 18.97714 1.66850 1.64792 0.15556 1.29367 0.14913 0.58
"Gaia EDR3 5538151111747750656" 18.98420 1.26843 1.67957 0.14981 1.30683 0.14688 0.62
"Gaia EDR3 5538149496839960704" 19.00517 1.19516 1.67795 0.14929 1.30069 0.15044 0.53
"Gaia EDR3 5538150291415052928" 19.01622 0.95274 1.68616 0.14564 1.29690 0.14999 0.30
"Gaia EDR3 5538150119616283904" 19.01841 1.23868 1.66962 0.14879 1.29577 0.14594 0.58
"Gaia EDR3 5538150287113970688" 19.03226 1.20075 1.66759 0.14767 1.29229 0.14820 0.53
"Gaia EDR3 5538149806084229888" 19.04363 0.95965 1.67627 0.14581 1.29002 0.15070 0.30
"Gaia EDR3 5538151283546478208" 19.05046 1.64570 1.62171 0.15002 1.27696 0.14472 0.58
"Gaia EDR3 5538151043030320000" 19.07022 0.97031 1.66627 0.14533 1.28354 0.14879 0.30
"Gaia EDR3 5538151111747795072" 19.09699 1.35290 1.63103 0.14670 1.27409 0.14426 0.64
"Gaia EDR3 5538151111747757184" 19.15286 1.08235 1.62910 0.13972 1.26254 0.14584 0.35
"Gaia EDR3 5538151012969607936" 19.16443 1.01084 1.62896 0.13949 1.26059 0.14578 0.31
"Gaia EDR3 5538150218394473472" 19.16555 1.00340 1.62901 0.13931 1.26101 0.14542 0.31
"Gaia EDR3 5538150218394492160" 19.20213 1.34491 1.59196 0.13957 1.24738 0.14160 0.62
"Gaia EDR3 5538151111747779712" 19.22784 1.37123 1.57879 0.13894 1.24276 0.14061 0.62
"Gaia EDR3 5538149874797180800" 19.23256 1.12819 1.59607 0.13875 1.24074 0.14591 0.37
"Gaia EDR3 5538149531199718528" 19.26755 1.18577 1.58165 0.13749 1.22885 0.13998 0.41
"Gaia EDR3 5538149531201817600" 19.28763 1.11564 1.57800 0.13633 1.22264 0.14045 0.35
"Gaia EDR3 5538150257055345408" 19.31577 0.96686 1.57776 0.13635 1.21992 0.14096 0.31
