# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5597788695466525184" 11.04618 -0.57900 11.50739 1.60774 8.53722 1.55076 0.45
"Gaia EDR3 5597788248789911424" 11.49190 -0.51400 11.36984 1.53921 8.52202 1.55153 0.48
"Gaia EDR3 5597785122054026240" 11.49294 -0.53400 11.36925 1.53918 8.52052 1.54725 0.47
"Gaia EDR3 5597787595954892416" 11.83847 -0.52500 11.01924 1.37559 8.28976 1.41892 0.46
"Gaia EDR3 5597784361828633984" 11.98554 -0.46700 10.83140 1.34040 8.09651 1.33591 0.48
"Gaia EDR3 5597787630314634496" 12.41088 -0.42400 10.00518 1.14534 7.34926 1.12903 0.47
"Gaia EDR3 5597787458516318336" 12.48769 -0.41300 9.80643 1.05643 7.13406 1.09355 0.46
"Gaia EDR3 5597787527235426816" 12.49868 -0.41500 9.78423 1.05495 7.09652 1.09489 0.46
"Gaia EDR3 5597783365396223744" 12.61075 -0.29900 9.46434 0.99175 6.68563 0.99851 0.50
"Gaia EDR3 5597787626003777152" 12.65518 -0.48600 9.38537 0.99047 6.63066 0.99632 0.40
"Gaia EDR3 5597788695466525312" 12.76737 -0.49200 9.12524 0.97626 6.50887 0.97742 0.37
"Gaia EDR3 5597786015406944384" 13.11364 -0.43800 8.30541 1.03623 5.84861 0.86860 0.44
"Gaia EDR3 5597789142143112320" 13.40208 -0.44800 7.54641 0.88029 5.20839 0.77641 0.29
"Gaia EDR3 5597788283149647872" 13.46619 -0.37200 7.39267 0.88026 5.08517 0.72885 0.48
"Gaia EDR3 5597787939552274560" 13.53184 -0.29300 7.22473 0.83931 4.95164 0.66047 0.62
"Gaia EDR3 5597788248789912960" 13.61813 -0.39600 7.03035 0.80531 4.82280 0.62408 0.37
"Gaia EDR3 5597784331780327040" 13.64892 -0.34600 6.94741 0.80452 4.75953 0.61656 0.54
"Gaia EDR3 5597787492875693952" 13.75774 -0.39000 6.66671 0.75808 4.57361 0.57374 0.33
"Gaia EDR3 5597787561595527168" 14.08024 -0.34900 5.90650 0.56669 4.00043 0.45317 0.28
"Gaia EDR3 5597788248789914240" 14.09969 -0.30100 5.85988 0.55655 3.97434 0.45913 0.46
"Gaia EDR3 5597787870832799616" 14.22484 -0.10900 5.56032 0.52130 3.78859 0.47111 0.62
"Gaia EDR3 5597784469210897792" 14.33552 -0.15300 5.33361 0.50917 3.65578 0.46967 0.65
"Gaia EDR3 5597787870832800384" 14.37541 -0.23400 5.27443 0.50041 3.60855 0.47398 0.54
"Gaia EDR3 5597782991750357248" 14.45172 1.29300 4.68043 0.52794 3.16477 0.47504 0.52
"Gaia EDR3 5597788691161543040" 14.54798 -0.11300 4.90938 0.48239 3.38962 0.44001 0.69
"Gaia EDR3 5597787767753599104" 14.64179 -0.18700 4.77770 0.49009 3.29014 0.46169 0.55
"Gaia EDR3 5597788729826269312" 14.68678 -0.23300 4.70861 0.48176 3.25645 0.46601 0.32
"Gaia EDR3 5597788523658814592" 14.73800 -0.36100 4.65072 0.48317 3.22938 0.46428 0.30
"Gaia EDR3 5597787870832800896" 14.78750 -0.22100 4.52462 0.47779 3.13155 0.46823 0.30
"Gaia EDR3 5600791289922228736" 14.88235 -0.03000 4.29715 0.45925 2.97437 0.45088 0.69
"Gaia EDR3 5597789073423635840" 14.91558 -0.26600 4.30553 0.46098 2.97778 0.44708 0.22
"Gaia EDR3 5597788523667845760" 14.95552 -0.20200 4.22353 0.45220 2.93194 0.44106 0.25
"Gaia EDR3 5597788935984701184" 14.99728 -0.18100 4.15757 0.44577 2.89376 0.43499 0.29
"Gaia EDR3 5597787561595529472" 15.09107 -0.19900 4.01933 0.42952 2.82524 0.42698 0.19
"Gaia EDR3 5597788764185998208" 15.10712 -0.05700 3.96501 0.43001 2.78660 0.43254 0.67
"Gaia EDR3 5597787733393855104" 15.24516 -0.17200 3.79110 0.43722 2.66864 0.42787 0.19
"Gaia EDR3 5597788042631479808" 15.25270 -0.05700 3.76099 0.44496 2.62746 0.42280 0.56
"Gaia EDR3 5597783953822931840" 15.25875 -0.06200 3.75310 0.44680 2.62277 0.42151 0.54
"Gaia EDR3 5600789881172980736" 15.27930 -0.04300 3.71241 0.44828 2.59053 0.41778 0.60
"Gaia EDR3 5597787900882757760" 15.31187 -0.15700 3.69119 0.44951 2.58641 0.41254 0.20
"Gaia EDR3 5597788042631482624" 15.33527 0.23000 3.55163 0.45146 2.47154 0.39860 0.63
