# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5602103625772671104" 13.25900 1.24000 3.14253 0.21019 2.58860 0.29037 0.51
"Gaia EDR3 5602103453974007680" 14.50400 0.36000 2.97019 0.19824 2.55632 0.28655 0.56
"Gaia EDR3 5602103385254566272" 14.77800 0.31100 2.96304 0.19957 2.52434 0.28025 0.55
"Gaia EDR3 5602107233545204480" 15.18700 1.22800 3.14396 0.20034 2.55265 0.28156 0.48
"Gaia EDR3 5602103896341417216" 15.40400 0.24500 2.94149 0.18366 2.42400 0.25489 0.52
"Gaia EDR3 5602103522693490304" 15.44300 0.30000 2.93878 0.18209 2.41608 0.25404 0.52
"Gaia EDR3 5602103900650584192" 15.49400 0.33300 2.93501 0.17953 2.40741 0.25216 0.51
"Gaia EDR3 5602103488333753984" 15.59900 0.18200 2.90535 0.17032 2.36182 0.24639 0.50
"Gaia EDR3 5602103419614269824" 15.60700 0.25500 2.90500 0.16969 2.35965 0.24596 0.50
"Gaia EDR3 5602103076016928384" 15.71800 0.28600 2.88727 0.16410 2.32662 0.24219 0.49
"Gaia EDR3 5602103453973992320" 15.80200 0.23000 2.85974 0.16273 2.28674 0.23588 0.49
"Gaia EDR3 5602103453973998208" 15.84200 0.23800 2.84995 0.16018 2.27673 0.23505 0.48
"Gaia EDR3 5602101839066394752" 15.88200 1.40900 3.10601 0.20087 2.42836 0.29862 0.26
"Gaia EDR3 5602103453974008448" 15.94200 0.34700 2.83056 0.15022 2.24352 0.22957 0.48
"Gaia EDR3 5602104794003895040" 16.00600 0.40000 2.80581 0.14888 2.21546 0.22575 0.49
"Gaia EDR3 5602103935010306560" 16.07800 0.27800 2.77500 0.14776 2.18504 0.22595 0.46
"Gaia EDR3 5602106546351107584" 16.27200 0.44200 2.69998 0.13750 2.10992 0.20964 0.49
"Gaia EDR3 5602106340192073216" 16.28300 0.32700 2.69032 0.13617 2.10224 0.21043 0.43
"Gaia EDR3 5602106718149182592" 16.29500 0.32500 2.68504 0.13495 2.09500 0.20924 0.43
"Gaia EDR3 5602103900650587264" 16.29700 0.31400 2.68431 0.13484 2.09523 0.20923 0.43
"Gaia EDR3 5602101942145525632" 16.31200 0.38600 2.67812 0.13367 2.09112 0.20973 0.45
"Gaia EDR3 5602103419614270720" 16.32200 0.33100 2.67247 0.13308 2.08832 0.20940 0.42
"Gaia EDR3 5602107061747178624" 16.32400 0.31100 2.67033 0.13257 2.08561 0.20890 0.41
"Gaia EDR3 5602103488333757696" 16.41100 0.42000 2.64096 0.12983 2.05038 0.19668 0.47
"Gaia EDR3 5602103419614276352" 16.41500 0.38300 2.63797 0.12979 2.05046 0.19829 0.43
"Gaia EDR3 5602106477630988800" 16.41600 0.37900 2.63803 0.12915 2.05034 0.19737 0.44
"Gaia EDR3 5602103522693484800" 16.42200 0.27000 2.63377 0.12899 2.05015 0.19873 0.43
"Gaia EDR3 5602103453973991680" 16.43800 0.30600 2.62622 0.12984 2.04112 0.19805 0.37
"Gaia EDR3 5602103453974000128" 16.45900 0.27600 2.61689 0.12976 2.03603 0.19680 0.38
"Gaia EDR3 5602103660132392832" 16.49900 0.39500 2.60258 0.12364 2.02279 0.19223 0.46
"Gaia EDR3 5602103831931094016" 16.52500 0.42800 2.58928 0.12322 2.00594 0.18813 0.48
"Gaia EDR3 5602103213455842432" 16.53000 0.30600 2.58611 0.12349 2.00305 0.19083 0.37
"Gaia EDR3 5602103488333772160" 16.54700 0.51400 2.57960 0.12166 1.99453 0.18709 0.51
"Gaia EDR3 5602103419614291072" 16.57400 0.34400 2.56739 0.12138 1.98175 0.18520 0.36
"Gaia EDR3 5602103900650582656" 16.60400 0.33000 2.55323 0.11932 1.97120 0.18316 0.36
"Gaia EDR3 5602103247815557248" 16.69900 0.30500 2.50849 0.11700 1.93218 0.17985 0.40
"Gaia EDR3 5602103900650580224" 16.72100 0.41400 2.50122 0.11481 1.93145 0.17744 0.46
"Gaia EDR3 5602103488333764864" 16.89200 0.36500 2.41899 0.11203 1.86242 0.17347 0.37
"Gaia EDR3 5602103106066990080" 16.91200 0.37600 2.40809 0.11104 1.85452 0.17387 0.37
"Gaia EDR3 5602103831931109248" 16.96400 0.37400 2.38054 0.10994 1.83592 0.16768 0.37
"Gaia EDR3 5602107577142637824" 17.01800 0.41000 2.35415 0.10607 1.81070 0.16247 0.35
"Gaia EDR3 5602102217028456448" 17.03100 0.41600 2.34620 0.10689 1.80935 0.16335 0.45
"Gaia EDR3 5602103969370033280" 17.04200 0.46800 2.34203 0.10619 1.80394 0.16131 0.47
"Gaia EDR3 5602106340192067712" 17.12600 0.40300 2.30182 0.10485 1.76719 0.15877 0.37
"Gaia EDR3 5602103484024433920" 17.13100 0.38800 2.30004 0.10403 1.76852 0.15885 0.40
"Gaia EDR3 5602103247815568256" 17.16600 0.40000 2.28095 0.10437 1.75385 0.15508 0.37
"Gaia EDR3 5602103453973990784" 17.17400 0.39900 2.27693 0.10369 1.74995 0.15545 0.37
"Gaia EDR3 5602106301522791424" 17.21500 0.43700 2.25454 0.10159 1.73577 0.15150 0.36
"Gaia EDR3 5602103831931097344" 17.30900 0.34200 2.20990 0.09334 1.71425 0.15337 0.37
"Gaia EDR3 5602103522693487616" 17.38500 0.40200 2.17630 0.09359 1.68216 0.15233 0.29
"Gaia EDR3 5602103969370030976" 17.39900 0.52100 2.16848 0.09232 1.68050 0.15177 0.44
"Gaia EDR3 5602103415304732672" 17.48500 0.49200 2.12948 0.08774 1.64414 0.14920 0.36
"Gaia EDR3 5602103453974004352" 17.51000 0.47300 2.12018 0.08720 1.63753 0.14894 0.37
"Gaia EDR3 5602103419600066304" 17.52500 0.47600 2.11317 0.08789 1.63022 0.14799 0.37
"Gaia EDR3 5602106477636010752" 17.55000 0.49700 2.09977 0.08800 1.61541 0.14400 0.35
"Gaia EDR3 5602103866290830976" 17.56700 0.60100 2.08840 0.09114 1.61194 0.13956 0.55
