EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5597794193024612992,0.095349,0.06503,119.83009652644,-28.50965991711,0.1591,0.0528,-2.134,0.042,3.21,0.049,16.789623,0.002858,1.134626,0.007073563529084899,17.094,0.009,0.822,0.013,0.293,0.014,1.031,0.013
Gaia EDR3 5597790104216033408,0.129885,0.011819,119.86947324042,-28.56283399663,0.3758,0.0483,-2.389,0.042,2.897,0.049,16.759703,0.002821,1.239165,0.04078703973077722,17.094,0.01,0.911,0.016,0.325,0.018,1.099,0.014
Gaia EDR3 5597768388861747200,0.11366,-0.235212,119.85130543224,-28.80988389468,0.4517,0.0564,-3.175,0.048,4.56,0.057,16.822613,0.002808,1.140802,0.0073289989084458175,17.094,0.012,0.938,0.023,0.332,0.026,0.988,0.021
Gaia EDR3 5597790722691352192,0.102688,0.00088,119.83852016009,-28.57380328704,0.1105,0.052,-1.923,0.046,3.6,0.051,16.878078,0.002817,0.921377,0.008478021290371946,17.095,0.01,0.652,0.015,0.43,0.015,0.82,0.013
Gaia EDR3 5600799364460591488,-0.067735,0.213906,119.64461622958,-28.36080548574,0.1195,0.0534,-2.015,0.046,2.948,0.057,16.842157,0.002809,1.118944,0.00706922860006663,17.095,0.009,0.784,0.017,0.459,0.021,0.977,0.015
Gaia EDR3 5597773611541580544,0.247836,-0.12501,120.00413679429,-28.69945081889,0.1381,0.0493,-2.387,0.044,2.382,0.049,16.776304,0.002803,1.123478,0.0069275209129962215,17.095,0.014,0.823,0.028,0.575,0.04,1.035,0.023
Gaia EDR3 5597411356820668544,-0.15933,-0.065524,119.54004786551,-28.64013620534,0.3217,0.0537,-1.232,0.045,3.215,0.055,16.849646,0.002817,1.071692,0.007733592761453113,17.096,0.007,0.781,0.011,0.19,0.011,0.965,0.011
Gaia EDR3 5597792337598673280,0.21662,0.109802,119.9679977867,-28.4647085307,,,,,,,16.960266,0.004014,1.897835,0.00855817971299972,17.096,0.008,1.505,0.014,1.08,0.017,1.827,0.017
Gaia EDR3 5597405275147124736,-0.105449,-0.247557,119.60123083979,-28.82223690016,0.1905,0.0606,-0.568,0.054,1.372,0.064,16.861776,0.002862,0.979891,0.018845700305374698,17.096,0.019,0.784,0.031,0.427,0.046,0.918,0.039
Gaia EDR3 5597788523667844736,-0.046009,-0.004409,119.66919789762,-28.57913176805,0.3707,0.0717,-4.013,0.06,1.063,0.066,16.675358,0.002905,1.523773,0.006683394646435297,17.097,0.01,1.227,0.019,0.717,0.023,1.358,0.013
Gaia EDR3 5597790963209490944,0.118938,0.035032,119.85698019488,-28.5396338308,-0.0382,0.0718,-2.246,0.062,2.7,0.07,16.838009,0.002901,1.103626,0.007567435761207358,17.098,0.009,0.776,0.015,0.39,0.015,0.988,0.014
Gaia EDR3 5597411047583026176,-0.158541,-0.100133,119.54088744658,-28.67474640074,0.2055,0.0553,-0.612,0.044,0.258,0.057,16.83495,0.002815,1.117304,0.00770493517169353,17.099,0.008,0.828,0.012,0.297,0.012,1.01,0.013
Gaia EDR3 5597787836473068800,-0.014446,-0.005963,119.70513897977,-28.58069549796,0.136,0.0521,-2.36,0.046,2.886,0.051,16.927595,0.002846,0.880491,0.01646382777485236,17.099,0.012,0.635,0.016,0.222,0.014,0.799,0.02
