EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5601173885609795584,-0.051889,-0.090179,118.38628573606,-27.04503400586,1.6943,0.0159,-4.893,0.014,3.848,0.017,10.692999,0.002765,0.119952,0.004721647593796047,10.653,0.033,0.014,0.042,0.074,0.031,0.515,0.045
Gaia EDR3 5601927394671610752,-0.102623,0.015757,118.32943162564,-26.93906307424,0.4428,0.0191,-3.487,0.016,3.465,0.019,11.634275,0.002767,0.105743,0.0047192398752341465,11.678,0.036,-0.028,0.051,-0.437,0.039,0.499,0.045
Gaia EDR3 5601926428288584960,-0.040746,-0.003528,118.39883173715,-26.958386983,1.0626,0.0218,-6.543,0.018,3.663,0.022,11.345052,0.002775,-0.001026,0.0047342020446956,11.371,0.029,-0.109,0.048,-0.077,0.047,0.402,0.04
Gaia EDR3 5601174224896021120,0.012952,-0.114951,118.45909132878,-27.06981716252,3.4184,0.05,5.757,0.042,4.426,0.053,11.263366,0.002769,0.699574,0.004726613269562045,11.363,0.025,0.397,0.042,0.046,0.041,1.039,0.044
Gaia EDR3 5601958971272466176,0.188503,0.184935,118.65567631552,-26.76977491857,0.9014,0.0226,-4.194,0.019,4.943,0.022,10.830575,0.002763,-0.053584,0.004727618427919072,11.089,0.068,-0.116,0.089,1.531,0.141,0.405,0.08
Gaia EDR3 5601175191279794048,0.01484,-0.07478,118.46120544208,-27.02964628209,0.8109,0.0163,-3.407,0.014,5.029,0.017,11.780591,0.002763,0.135859,0.004802000104123281,11.809,0.033,-0.034,0.047,0.118,0.038,0.532,0.04
Gaia EDR3 5601175186971315456,0.016162,-0.075792,118.46268961806,-27.0306576562,0.3589,0.014,-2.206,0.012,2.852,0.015,11.840209,0.002769,0.360149,0.00474641011713063,11.961,0.027,0.124,0.034,,,0.814,0.034
Gaia EDR3 5601166841865912192,-0.135965,-0.21262,118.29172087042,-27.16740397609,2.0454,0.1147,-3.84,0.09,0.95,0.113,11.905471,0.002764,0.644946,0.004717657045610671,11.988,0.063,0.415,0.091,0.099,0.083,1.011,0.077
Gaia EDR3 5601923889978618368,-0.133733,-0.12573,118.29434552894,-27.08051713642,1.4554,0.0126,-6.512,0.01,5.072,0.012,11.972726,0.002759,0.788215,0.004727618427919072,12.016,0.032,0.585,0.036,0.197,0.027,1.038,0.043
Gaia EDR3 5601175942882933120,0.013778,-0.019449,118.46000562596,-26.9743149911,0.7984,0.107,-2.17,0.073,2.806,0.124,13.203263,0.00291,0.396639,0.005112817227321939,12.706,0.049,0.091,0.066,0.158,0.051,,
Gaia EDR3 5601919251413721984,-0.209232,-0.105151,118.20959339436,-27.05982323753,0.7624,0.0137,-2.669,0.01,1.812,0.013,12.122189,0.002778,0.45851,0.004837269581075671,12.1,0.02,0.413,0.052,,,0.744,0.036
Gaia EDR3 5601198418464599424,0.098015,-0.029568,118.55453486284,-26.9843919077,0.2469,0.0129,-2.661,0.01,3.676,0.014,12.707894,0.002776,0.397367,0.01015311306939896,12.765,0.056,0.103,0.077,-0.346,0.063,0.768,0.072
Gaia EDR3 5601201643967224576,0.159804,0.105347,118.6236583045,-26.84940721007,2.4318,0.0104,-5.884,0.008,-20.107,0.01,12.154433,0.002759,0.752828,0.004718046735673566,12.388,0.044,0.482,0.07,0.278,0.066,1.078,0.062
Gaia EDR3 5601932273753954304,-0.108246,0.152809,118.3232711125,-26.80200624098,0.7468,0.0383,-3.539,0.03,2.896,0.038,12.818932,0.002767,0.155265,0.00472646506387173,12.859,0.025,0.058,0.033,0.029,0.03,0.432,0.044
Gaia EDR3 5601928219305411456,-0.197134,-0.058078,118.22327131039,-27.01277215229,0.4276,0.0937,-2.563,0.079,2.731,0.092,12.828782,0.002767,0.34722,0.00473125786657206,12.811,0.018,0.212,0.029,-0.212,0.031,0.708,0.045
Gaia EDR3 5601952374202727296,0.102004,0.104777,118.5588748775,-26.85004373959,0.7137,0.0167,2.342,0.013,1.262,0.018,11.231048,0.002772,1.309739,0.004729631275268718,11.605,0.038,1.102,0.057,1.305,0.048,1.559,0.046
Gaia EDR3 5601194192216736256,0.183215,-0.092891,118.65025951926,-27.04760859238,0.9843,0.06,-3.952,0.048,5.396,0.063,12.305111,0.002767,0.614922,0.004719859002131313,12.45,0.08,0.249,0.117,0.252,0.103,0.937,0.088
Gaia EDR3 5601952644768944128,0.086656,0.13216,118.54164932861,-26.82267375791,0.7158,0.0134,-2.344,0.011,1.084,0.015,12.547751,0.002764,0.15215,0.004741832662589434,12.621,0.042,0.071,0.06,0.065,0.051,0.544,0.046
Gaia EDR3 5601201888798056064,0.132004,0.113713,118.59248855637,-26.84107704677,0.8328,0.0165,-2.379,0.013,-2.175,0.019,11.523724,0.002766,1.291149,0.004725213751778854,11.941,0.046,1.022,0.051,1.341,0.028,1.565,0.055
Gaia EDR3 5601195704045210752,0.157821,-0.027826,118.62164485147,-26.98258246945,0.9049,0.0124,-4.728,0.01,4.071,0.012,12.691335,0.00276,0.378039,0.004767267666074562,12.759,0.067,0.222,0.078,0.127,0.043,0.674,0.073
Gaia EDR3 5601930555767529472,-0.096361,0.047582,118.33648653523,-26.90724383438,0.4633,0.013,-1.508,0.01,1.37,0.013,12.862726,0.002762,0.392227,0.004727635032444869,12.929,0.018,0.189,0.023,-0.008,0.022,0.701,0.037
Gaia EDR3 5601199792854081280,0.114991,0.039304,118.57350586325,-26.91550375401,0.9095,0.0129,-3.477,0.01,2.179,0.014,12.748687,0.00276,0.358137,0.004735204325052932,12.89,0.045,0.076,0.057,0.225,0.042,0.703,0.057
Gaia EDR3 5601918834786414720,-0.209474,-0.146854,118.20923436529,-27.10152540143,0.9807,0.0112,-0.61,0.009,1.953,0.011,12.645938,0.00276,0.65872,0.004751218896241258,12.742,0.047,0.452,0.054,-0.064,0.035,0.998,0.051
Gaia EDR3 5601928013146870400,-0.063418,0.060539,118.37343628562,-26.89431048115,0.5545,0.0138,0.019,0.011,1.945,0.016,12.848289,0.002761,0.457916,0.0047314649951151495,12.918,0.023,0.257,0.031,0.149,0.031,0.752,0.04
Gaia EDR3 5601924199215998080,-0.133262,-0.107844,118.29489815373,-27.0626318121,0.5661,0.0138,-2.975,0.011,2.355,0.014,12.942256,0.002762,0.524489,0.004732225058046162,12.916,0.019,0.34,0.023,0.101,0.026,0.809,0.032
