#	X	Y	V	Verr	BV	BVerr	UB	UBerr	VI	VIerr
id      x       y       V       eV      BV      eBV     UB      eUB     VI      eVI
1	918.107	3203.75	7.737	0.054	1.289	0.120	INDEF	INDEF	INDEF	INDEF
3	1420.17	3291.94	9.771	0.009	1.464	0.018	1.751	0.017	INDEF	INDEF
2	2649.15	3061.04	9.771	0.018	1.029	0.024	0.897	0.019	INDEF	INDEF
4	3791.94	1447.38	9.923	0.009	1.313	0.013	1.299	0.011	INDEF	INDEF
5	866.478	3584.2	9.949	0.006	1.012	0.017	0.752	0.018	INDEF	INDEF
6	1649.69	2225.55	10.006	0.006	1.401	0.011	1.575	0.014	INDEF	INDEF
7	800.521	1816.2	10.215	0.011	1.357	0.016	1.559	0.013	1.313	0.027
8	2952.1	1025.31	10.573	0.008	0.621	0.014	0.159	0.014	0.614	0.020
9	3309.84	2876.99	10.591	0.012	1.728	0.020	0.605	0.018	INDEF	INDEF
10	1880.61	3571.74	10.628	0.008	0.323	0.013	-0.617	0.012	0.401	0.011
11	505.371	2846.92	10.725	0.006	0.102	0.012	0.052	0.012	0.052	0.014
12	2043.12	3742.91	10.752	0.009	1.313	0.022	1.465	0.022	1.219	0.011
13	2726.96	3646.04	10.776	0.012	0.055	0.032	0.042	0.035	0.079	0.016
14	1232.67	649.524	10.865	0.009	0.114	0.019	0.084	0.019	0.052	0.022
15	2958.55	1037.93	10.895	0.009	0.627	0.015	0.166	0.013	0.593	0.022
16	3707.88	1916.19	10.923	0.011	0.316	0.014	-0.601	0.018	0.43	0.018
17	1454.43	599.568	10.955	0.010	-0.058	0.020	-0.214	0.019	-0.08	0.013
18	3692.55	2360.16	10.969	0.010	0.039	0.015	0.04	0.023	0.038	0.014
19	2312.84	3284.78	11.123	0.013	1.301	0.017	1.341	0.013	1.258	0.018
20	1801.14	2608.74	11.131	0.013	0.448	0.022	0.036	0.021	0.464	0.021
21	4098.99	438.677	11.148	0.012	0.21	0.022	0.177	0.020	0.194	0.034
22	73.121	519.678	11.166	0.031	1.448	0.058	1.825	0.059	1.459	0.034
23	2818.19	2551.54	11.177	0.016	1.337	0.025	1.323	0.021	1.308	0.017
24	460.986	710.114	11.179	0.008	0.294	0.032	INDEF	INDEF	0.564	0.012
25	2354.84	3169.92	11.184	0.014	0.303	0.019	-0.585	0.019	0.407	0.016
26	1582.58	2503.5	11.186	0.009	0.388	0.016	-0.555	0.018	0.487	0.016
27	3489.97	1993.42	11.189	0.011	0.169	0.014	-0.408	0.014	0.218	0.016
28	2269.69	76.125	11.193	0.009	0.58	0.024	0.334	0.024	0.784	0.013
29	1638.32	2293.25	11.199	0.007	0.038	0.011	0.05	0.016	2.00E-03	0.016
30	3061.5	996.165	11.221	0.010	1.071	0.016	0.909	0.014	1.01	0.020
31	4016.44	3000.18	11.259	0.038	0.449	0.067	INDEF	INDEF	INDEF	INDEF
32	2514.44	3015.25	11.28	0.014	0.562	0.019	0.223	0.017	0.609	0.017
33	2105.02	585.225	11.289	0.008	0.304	0.014	-0.571	0.016	0.34	0.016
34	2292.57	2282.95	11.312	0.019	0.508	0.028	-0.579	0.027	0.822	0.023
35	4001.09	2970.49	11.328	0.011	0.521	0.037	0.181	0.043	0.603	0.013
36	832.211	2165.58	11.35	0.011	0.892	0.014	0.64	0.008	0.86	0.014
37	1602.9	595.073	11.603	0.013	1.532	0.022	1.504	0.025	1.547	0.015
38	2934.72	746.961	11.629	0.008	0.179	0.019	0.118	0.019	0.088	0.023
39	376.688	627.275	11.64	0.016	0.25	0.046	-0.489	0.062	0.322	0.018
40	1940.4	2177.82	11.642	0.011	0.385	0.016	-0.514	0.015	0.472	0.014
41	1483.31	2096.55	11.649	0.009	0.346	0.016	-0.534	0.015	0.451	0.018
42	2134.64	2934.91	11.654	0.008	0.256	0.013	0.129	0.012	0.357	0.011
43	3713.89	971.57	11.795	0.010	0.517	0.016	0.083	0.014	0.513	0.016
44	2704.38	526.939	11.81	0.007	0.083	0.016	0.098	0.017	0.018	0.019
45	2544.48	2364.46	11.855	0.014	0.627	0.022	0.078	0.019	0.671	0.022
46	3456.39	2767.17	11.86	0.009	0.397	0.017	0.052	0.018	0.473	0.014
47	2368.18	1747.61	11.896	0.012	1.201	0.018	0.961	0.016	1.118	0.018
48	4045.8	1262.09	11.954	0.007	0.209	0.014	0.145	0.015	0.175	0.028
49	2041.63	520.752	11.957	0.010	0.509	0.015	0.063	0.013	0.539	0.020
50	771.465	750.15	11.974	0.013	0.248	0.020	0.235	0.016	0.303	0.017
51	2014.89	4006.38	11.984	0.011	1.116	0.021	1	0.021	1.054	0.015
52	1984.7	1917.51	11.994	0.012	0.333	0.019	-0.525	0.016	0.442	0.016
53	3333.03	1126.41	12.003	0.012	1.317	0.015	1.156	0.009	1.361	0.015
54	997.548	20.471	12.058	0.017	0.856	0.048	0.261	0.059	0.733	0.021
55	3664.1	3133.41	12.072	0.006	0.431	0.033	0.084	0.036	0.498	0.009
56	2033.31	3680.73	12.088	0.010	0.332	0.017	-0.507	0.015	0.387	0.012
57	3741.13	697.336	12.115	0.012	0.46	0.019	0.081	0.016	0.489	0.021
58	2671.55	3308.59	12.134	0.011	0.776	0.016	0.403	0.016	0.945	0.014
59	4.195	2635.98	12.141	0.020	0.537	0.032	0.121	0.030	0.563	0.025
60	1582.76	583.202	12.162	0.014	0.243	0.024	0.066	0.021	0.253	0.016
61	2172.02	3497.84	12.166	0.011	0.14	0.016	0.045	0.014	0.131	0.013
62	1669.77	1717.03	12.19	0.009	0.395	0.022	-0.467	0.023	0.584	0.016
63	1283.62	3657.21	12.192	0.010	0.305	0.026	-0.466	0.026	0.369	0.017
64	3822.76	1634.38	12.217	0.010	1.199	0.013	1.152	0.011	1.137	0.018
65	2282.82	15.413	12.255	0.006	1.429	0.020	1.206	0.022	1.43	0.011
66	441.968	941.83	12.265	0.011	2.085	0.018	1.652	0.019	2.358	0.015
67	858.441	2257.58	12.27	0.012	0.207	0.014	0.013	0.009	0.249	0.017
68	2824.94	1786.4	12.271	0.010	0.955	0.013	0.565	0.011	0.943	0.017
69	3370.59	1084.57	12.301	0.012	0.685	0.015	0.241	0.011	0.69	0.015
70	2393.6	1395.73	12.326	0.010	0.395	0.017	0.265	0.016	0.384	0.016
71	1527.68	2757.9	12.344	0.010	0.35	0.017	-0.52	0.017	0.434	0.014
72	882.29	1244.18	12.345	0.014	0.426	0.025	0.121	0.023	0.454	0.020
73	46.88	2107.61	12.353	0.019	0.448	0.038	0.091	0.037	0.424	0.025
74	3172.76	287.814	12.354	0.009	0.21	0.014	0.129	0.014	0.169	0.024
75	2737.1	112.687	12.367	0.009	0.497	0.018	0.104	0.018	0.504	0.024
76	2665.27	514.164	12.375	0.008	0.324	0.019	0.21	0.020	0.343	0.021
77	1824.02	3540.15	12.398	0.008	0.437	0.013	-0.04	0.012	0.517	0.011
78	2682.94	4018.8	12.413	0.016	0.339	0.029	0.029	0.032	0.399	0.025
79	1046.53	1027.04	12.416	0.013	0.498	0.025	0.07	0.024	0.522	0.019
80	2753	2416.83	12.425	0.013	1.339	0.018	1.178	0.014	1.377	0.017
81	2153.01	3110.64	12.439	0.010	2.032	0.014	1.536	0.013	2.607	0.011
82	645.756	3567.41	12.445	0.010	0.854	0.018	0.43	0.018	0.843	0.022
83	2310.6	1982.89	12.449	0.014	0.466	0.025	0.051	0.024	0.473	0.021
84	209.225	855.404	12.451	0.014	0.235	0.037	0.24	0.052	0.204	0.018
85	1144.73	2277.54	12.452	0.011	1.629	0.015	1.53	0.012	1.678	0.014
86	2498.04	1987.78	12.455	0.009	0.502	0.015	-0.361	0.014	0.654	0.020
87	1768.68	64.474	12.458	0.010	1.43	0.022	1.24	0.022	1.438	0.012
