
# Fri 18:52:48 09-Feb-2018
# List of observations files:
#		daom_haf14.obs
# Config:	noche.cfg
# Parameters:	noche_all.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)
#
id              x        y      V     eV      BV     eBV       UB    eUB      VI     eVI
1          1294.42 4072.37 10.606  0.077   0.564   0.094   -0.044  0.060   0.607   0.103  
2          2740.13 1647.57 10.917  0.037   0.086   0.047   -0.112  0.037   0.276   0.057  
3          2538.87 2501.89 10.515  0.036   0.628   0.056   0.180   0.063   0.669   0.066  
4          2591.56 2897.21 10.952  0.048   0.533   0.057   INDEF   INDEF   0.695   0.067  
5          2881.37 808.969 10.991  0.040   0.235   0.057   INDEF   INDEF   0.450   0.062  
6          2868.05 819.032 19.039  0.224   0.960   0.329   -10.572 0.258   INDEF   INDEF  
7          507.880 1648.63 17.007  0.159   -7.042  0.180   INDEF   INDEF   0.018   0.218  
8          1928.55 2407.18 11.324  0.030   0.297   0.051   0.078   0.053   0.628   0.052  
9          926.777 1556.84 11.669  0.057   -0.002  0.074   3.528   0.248   INDEF   INDEF  
10         776.625 2437.74 19.962  0.188   -8.524  0.203   INDEF   INDEF   INDEF   INDEF  
11         1655.00 1938.11 11.664  0.038   0.406   0.046   0.066   0.033   0.676   0.050  
12         2029.69 1315.13 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
13         3002.49 2732.65 10.607  0.057   1.309   0.064   1.211   0.030   0.621   0.103  
14         891.906 1760.97 11.209  0.027   1.120   0.052   -0.905  0.056   0.514   0.031  
15         3160.91 3882.09 19.105  0.183   -7.944  0.200   INDEF   INDEF   3.699   0.214  
16         3195.83 3736.45 11.869  0.039   0.345   0.056   -0.031  0.051   0.585   0.050  
17         1451.33 885.888 20.542  0.170   -9.239  0.186   INDEF   INDEF   2.251   0.231  
18         1611.82 3569.57 9.809   0.052   7.726   0.123   INDEF   INDEF   -0.348  0.078  
19         756.901 2433.40 9.879   0.025   11.106  0.140   -9.334  0.155   -4.290  0.078  
20         3160.18 3898.24 9.917   0.058   1.764   0.075   1.710   0.051   -4.828  0.113  
21         77.006  2847.54 12.505  0.065   -0.124  0.093   -0.412  0.083   0.957   0.083  
22         3071.23 1893.45 12.157  0.030   0.237   0.035   0.086   0.024   0.456   0.035  
23         2919.09 2545.82 12.047  0.053   0.288   0.060   -0.040  0.028   -6.590  0.064  
24         1235.40 1846.04 12.031  0.025   0.385   0.036   0.065   0.041   0.672   0.038  
25         1276.78 366.528 20.439  0.300   -8.476  0.325   INDEF   INDEF   INDEF   INDEF  
26         3335.12 2868.68 12.051  0.030   0.743   0.041   0.111   0.035   0.689   0.061  
27         378.777 2591.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
28         3362.54 1838.64 12.373  0.032   0.460   0.039   INDEF   INDEF   -6.339  0.309  
29         4095.59 2412.80 11.421  0.059   1.493   0.072   1.263   0.059   1.635   0.085  
30         2041.88 1331.14 21.792  0.079   -10.121 0.087   INDEF   INDEF   INDEF   INDEF  
31         2521.96 3115.78 11.896  0.049   0.706   0.057   0.260   0.037   -7.080  0.073  
32         607.590 3862.33 11.725  0.062   8.667   0.200   -8.774  0.211   INDEF   INDEF  
33         669.282 3681.17 12.480  0.048   0.662   0.057   -0.071  0.039   0.605   0.061  
34         1783.93 2009.33 12.141  0.024   0.475   0.031   0.220   0.034   -6.236  0.046  
35         991.827 3415.67 12.096  0.041   3.837   0.266   -3.544  0.293   0.405   0.055  
36         2206.84 2899.65 12.694  0.021   0.414   0.030   INDEF   INDEF   -2.466  0.223  
37         765.497 1799.88 12.605  0.032   0.409   0.055   0.086   0.056   0.678   0.041  
38         2889.80 2191.18 12.970  0.030   0.227   0.036   0.027   0.027   0.410   0.039  
39         2666.32 2020.58 12.817  0.027   0.327   0.039   -0.053  0.037   0.484   0.037  
40         3474.71 2757.86 12.895  0.031   0.575   0.042   -0.026  0.034   0.740   0.050  
41         1833.51 12.052  12.567  0.042   0.902   0.064   -0.057  0.067   0.839   0.072  
42         3771.76 724.832 12.609  0.019   0.763   0.033   0.410   0.048   0.838   0.069  
43         4109.33 595.042 12.262  0.028   1.336   0.051   0.696   0.060   1.465   0.076  
44         3073.44 903.210 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
45         3114.53 3795.43 12.908  0.036   0.448   0.045   0.087   0.038   0.492   0.048  
46         587.216 2704.61 12.479  0.031   3.594   0.143   -3.655  0.156   0.144   0.040  
47         1680.36 3440.09 12.443  0.045   4.345   0.316   -4.190  0.348   0.265   0.060  
48         1506.86 4045.50 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
49         2598.67 2141.63 12.933  0.025   0.544   0.037   0.149   0.034   0.781   0.036  
50         1775.08 2500.31 12.939  0.024   0.361   0.032   0.133   0.035   0.685   0.032  
51         1729.79 360.453 12.940  0.046   0.357   0.066   -0.248  0.064   0.670   0.054  
52         1068.07 2513.71 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
53         1772.30 2267.26 12.980  0.017   0.315   0.026   0.150   0.038   0.605   0.030  
54         3592.14 3785.94 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
55         2299.97 2976.79 12.991  0.023   0.620   0.031   0.319   0.034   0.900   0.049  
56         1719.12 2059.14 13.054  0.023   0.253   0.030   0.354   0.034   0.521   0.032  
57         729.871 3131.78 12.459  0.037   1.289   0.050   3.067   0.094   INDEF   INDEF  
58         79.301  1170.56 12.531  0.038   0.684   0.073   1.202   0.093   0.320   0.057  
59         2290.79 744.716 13.109  0.037   0.463   0.050   0.001   0.042   0.846   0.043  
60         1570.47 1362.30 12.772  0.029   0.409   0.039   INDEF   INDEF   0.704   0.033  
61         1116.99 3953.03 21.027  0.070   -7.262  0.174   -0.315  0.176   INDEF   INDEF  
62         3980.76 3570.54 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
63         1294.33 816.231 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
64         2283.69 2391.65 13.110  0.023   0.525   0.038   0.068   0.040   0.823   0.034  
65         3469.27 3202.33 13.023  0.034   0.829   0.046   0.047   0.035   0.799   0.039  
66         943.539 415.577 11.826  0.043   9.324   0.133   -9.589  0.148   0.048   0.060  
67         2299.90 3694.90 13.194  0.039   0.526   0.046   INDEF   INDEF   0.586   0.056  
68         1041.24 992.531 12.126  0.046   2.216   0.057   1.035   0.049   3.008   0.061  
69         2306.90 1700.77 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
70         2165.25 1804.14 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
71         3983.76 3189.40 12.753  0.036   3.434   0.255   -3.503  0.281   0.254   0.044  
72         514.241 1635.34 16.112  0.056   0.981   0.175   -6.713  0.188   2.324   0.112  
73         1172.21 2991.12 12.163  0.023   0.591   0.046   -0.027  0.048   -5.968  0.035  
74         4094.36 739.038 13.267  0.024   0.455   0.044   0.034   0.053   0.702   0.046  
75         1726.46 862.386 12.755  0.043   1.119   0.054   0.795   0.041   1.521   0.058  
76         3815.85 16.642  12.951  0.040   1.922   0.187   -1.484  0.209   0.568   0.061  
77         2836.69 2298.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
78         1147.00 2712.07 20.896  0.030   -10.233 0.048   0.505   0.051   10.007  0.037  
79         1994.15 1692.35 13.393  0.023   0.435   0.030   0.011   0.030   0.785   0.032  
80         3321.28 3088.45 15.683  0.032   -2.688  0.043   1.428   0.034   5.076   0.059  
81         2910.47 423.456 13.257  0.027   0.414   0.054   -0.007  0.072   0.758   0.046  
82         2167.22 3287.11 13.312  0.032   0.679   0.038   0.231   0.033   0.764   0.046  
83         696.772 1487.66 12.718  0.041   1.200   0.062   1.109   0.056   1.518   0.050  
84         2088.24 2631.27 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
85         2873.39 651.263 17.127  0.038   -6.089  0.061   0.482   0.064   -0.128  0.067  
86         3885.34 842.408 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
87         3584.12 1566.85 15.597  0.109   -1.737  0.274   0.224   0.279   INDEF   INDEF  
88         1692.37 1416.53 13.170  0.029   0.437   0.037   0.125   0.031   -5.021  0.046  
89         729.295 3131.81 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
90         3617.84 1823.63 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
91         2856.06 999.321 13.724  0.027   0.320   0.037   -0.095  0.035   0.756   0.044  
92         930.164 1555.91 16.493  0.255   -0.052  0.378   -5.719  0.292   -1.580  0.242  
93         1775.81 2179.96 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
94         2192.72 1914.93 13.262  0.022   0.467   0.031   INDEF   INDEF   0.830   0.028  
95         2441.60 156.717 12.796  0.031   2.113   0.064   0.302   0.070   3.924   0.079  
96         583.242 1219.14 13.096  0.041   1.063   0.073   0.876   0.077   1.497   0.068  
97         3385.85 2224.38 13.667  0.033   0.488   0.042   0.128   0.031   0.898   0.039  
98         2436.04 3561.49 13.742  0.043   0.461   0.050   0.089   0.033   0.631   0.053  
99         28.147  4020.48 11.546  0.056   9.237   0.147   INDEF   INDEF   -0.399  0.084  
100        3373.89 4064.75 13.445  0.034   3.406   0.110   -3.141  0.117   0.458   0.056  
101        507.060 388.401 12.865  0.043   2.270   0.117   -0.372  0.146   0.556   0.064  
102        439.358 4026.22 13.210  0.057   3.770   0.210   -3.573  0.224   0.149   0.068  
103        248.978 2214.57 12.839  0.037   1.368   0.069   1.348   0.074   -7.474  0.495  
104        2168.86 2032.06 13.813  0.024   0.461   0.032   0.126   0.028   0.788   0.034  
105        1475.81 3292.51 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
106        4089.00 3628.06 13.441  0.029   3.427   0.137   -3.072  0.150   0.533   0.043  
107        2051.54 1451.04 13.815  0.029   0.358   0.037   0.111   0.033   0.826   0.036  
108        3841.37 1957.73 13.623  0.031   0.512   0.047   0.056   0.044   -5.154  0.065  
109        2999.31 779.514 14.982  0.031   -2.046  0.044   INDEF   INDEF   1.152   0.050  
110        3675.68 3264.15 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
111        1321.21 2882.25 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
112        2229.48 1081.86 14.177  0.033   0.387   0.041   0.196   0.031   INDEF   INDEF  
113        3713.96 922.204 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
114        3014.66 1774.26 13.797  0.028   0.671   0.035   0.465   0.027   0.978   0.042  
115        3004.55 2398.32 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
116        1652.81 184.179 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
117        2966.86 1061.19 14.208  0.026   0.354   0.035   -0.193  0.032   0.781   0.045  
118        3067.60 2752.61 14.033  0.033   0.546   0.039   0.081   0.023   0.695   0.041  
119        394.913 898.229 13.650  0.035   0.641   0.084   0.480   0.094   0.852   0.056  
120        3110.26 230.552 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
121        2487.26 505.208 13.164  0.036   0.493   0.058   0.022   0.059   -5.603  0.058  
122        2945.57 1289.24 13.885  0.023   0.554   0.030   0.155   0.029   -5.560  0.069  
123        4092.30 3610.07 14.021  0.026   0.532   0.037   -0.130  0.036   0.501   0.044  
124        89.763  3037.40 12.763  0.056   1.533   0.078   1.253   0.066   INDEF   INDEF  
125        1112.37 3938.82 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
126        1053.95 1477.37 13.846  0.037   0.302   0.049   0.140   0.039   0.626   0.040  
127        2666.34 1762.33 13.337  0.021   0.579   0.032   0.204   0.033   -5.637  0.039  
128        3560.85 1720.32 14.208  0.030   0.439   0.037   -0.005  0.028   -4.007  0.092  
129        3608.07 3014.80 13.680  0.030   0.884   0.042   0.304   0.034   0.904   0.039  
130        1856.15 3404.05 13.893  0.032   0.691   0.040   0.173   0.037   0.823   0.048  
131        2313.95 672.898 13.156  0.039   1.465   0.051   1.171   0.042   1.863   0.047  
132        1467.00 3777.99 13.779  0.042   0.748   0.053   -0.015  0.039   -5.120  0.076  
133        2665.87 1359.58 14.006  0.022   0.545   0.032   0.123   0.033   0.954   0.039  
134        597.386 1197.79 13.345  0.041   1.344   0.066   1.085   0.071   1.670   0.067  
135        3331.26 2176.67 13.273  0.028   1.395   0.038   -1.063  0.030   -5.393  0.038  
136        2853.15 1984.83 14.162  0.028   0.472   0.035   0.020   0.026   0.726   0.038  
137        4074.99 2296.64 13.622  0.032   0.752   0.049   0.406   0.059   0.966   0.038  
138        1100.73 2515.95 22.859  0.110   -10.131 0.120   INDEF   INDEF   3.035   0.117  
139        3869.22 3244.86 13.350  0.035   2.709   0.236   -1.187  0.259   0.953   0.045  
140        2273.31 1022.15 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
141        1721.78 3237.75 13.340  0.026   1.654   0.038   1.210   0.047   1.872   0.044  
142        963.918 228.137 13.778  0.050   0.801   0.070   0.186   0.066   0.820   0.062  
143        3896.20 3304.25 13.829  0.031   3.103   0.157   -2.809  0.171   0.442   0.041  
144        3608.90 2374.20 14.041  0.035   0.432   0.050   -0.109  0.044   0.836   0.039  
145        1913.07 1710.07 13.875  0.094   0.386   0.118   0.945   0.091   1.014   0.104  
146        3509.71 790.535 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
147        3883.25 231.311 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
148        2181.47 1889.38 16.250  0.325   -1.561  0.347   INDEF   INDEF   INDEF   INDEF  
149        2561.79 184.342 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
150        1918.49 2908.80 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
151        2163.87 1797.52 20.283  0.119   -6.829  0.129   INDEF   INDEF   6.195   0.115  
152        3375.02 1381.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
153        1993.23 1718.36 14.227  0.026   0.355   0.032   -0.238  0.031   0.705   0.033  
154        2232.35 2150.38 14.159  0.021   0.434   0.033   0.051   0.031   -0.054  0.033  
155        3760.97 1525.13 14.030  0.031   0.421   0.045   -0.066  0.037   -5.283  0.048  
156        1145.41 1702.28 13.871  0.033   0.757   0.042   0.453   0.036   1.227   0.037  
157        1931.22 54.146  13.309  0.047   2.678   0.222   INDEF   INDEF   0.471   0.059  
158        3098.17 1425.04 14.222  0.024   0.593   0.029   0.161   0.026   0.995   0.043  
159        3244.11 127.870 21.170  0.267   -6.862  0.289   0.522   0.072   7.599   0.256  
160        1962.66 2340.58 14.177  0.023   0.519   0.031   0.323   0.032   0.939   0.033  
161        1029.98 2749.24 14.093  0.023   0.639   0.033   0.091   0.031   0.894   0.028  
162        3772.21 2636.12 13.866  0.030   2.274   0.110   -2.325  0.120   0.606   0.036  
163        1529.24 79.410  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
164        1740.89 3608.89 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
165        1274.56 552.731 17.167  0.124   0.363   0.145   -6.183  0.079   1.761   0.128  
166        3077.10 1071.69 14.066  0.025   0.788   0.035   0.560   0.034   0.983   0.045  
167        3082.22 1067.11 13.444  0.027   1.443   0.034   1.376   0.032   1.694   0.063  
168        1974.10 254.812 14.062  0.042   0.683   0.064   0.012   0.062   0.838   0.050  
169        3737.79 1034.56 13.884  0.024   0.560   0.037   -0.001  0.034   -4.940  0.040  
170        3989.32 3312.73 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
171        3379.83 281.696 12.835  0.025   0.529   0.050   0.081   0.073   -6.575  0.044  
172        2533.77 2512.35 14.254  0.024   0.628   0.036   0.160   0.035   0.762   0.038  
173        2239.03 2100.06 13.380  0.022   0.496   0.033   0.157   0.030   -6.382  0.032  
174        1886.21 1816.51 12.687  0.024   0.388   0.031   INDEF   INDEF   -6.294  0.032  
175        3407.01 2471.16 14.474  0.033   0.502   0.038   0.019   0.022   0.834   0.039  
176        2049.86 868.118 19.986  0.045   -1.063  0.054   -9.978  0.037   9.026   0.056  
177        1563.96 535.345 14.404  0.049   0.428   0.059   -0.164  0.044   0.764   0.055  
178        4063.58 3079.50 14.025  0.028   0.733   0.040   INDEF   INDEF   0.759   0.039  
179        3612.08 3124.85 14.373  0.032   0.708   0.041   0.024   0.029   0.757   0.041  
180        3306.78 823.355 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
181        3507.03 303.915 14.267  0.022   0.572   0.040   0.238   0.054   0.765   0.051  
182        2807.54 1132.74 14.398  0.037   0.465   0.045   0.055   0.034   -5.246  0.075  
183        2643.41 1766.95 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
184        3431.43 1975.83 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
185        2059.43 3423.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
186        1742.70 3609.77 13.196  0.034   4.433   0.140   -2.127  0.152   1.375   0.063  
187        593.239 431.500 14.012  0.042   1.024   0.060   0.393   0.061   1.092   0.056  
188        3203.38 4072.32 14.402  0.032   0.720   0.043   -0.176  0.037   0.716   0.045  
189        2181.36 1888.24 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
190        2059.49 1918.32 14.410  0.024   0.436   0.031   0.119   0.032   0.739   0.032  
191        3620.18 3007.92 14.240  0.027   0.833   0.052   0.167   0.050   0.908   0.038  
192        3718.45 49.982  14.221  0.030   0.884   0.047   -0.042  0.055   0.699   0.054  
193        1574.59 1726.18 14.333  0.023   0.648   0.031   0.218   0.032   0.882   0.034  
194        2221.48 846.482 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
195        1397.38 3601.61 13.888  0.042   3.745   0.158   -2.922  0.170   0.635   0.054  
196        1228.50 1266.56 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
197        3292.84 2465.08 13.717  0.033   0.497   0.040   -0.097  0.025   -5.430  0.038  
198        1074.47 2758.04 14.371  0.023   0.655   0.035   -0.097  0.035   0.917   0.031  
199        3544.05 4011.09 14.231  0.033   3.001   0.123   -2.603  0.132   0.614   0.043  
200        1561.88 2738.28 14.308  0.022   0.517   0.029   0.230   0.030   0.838   0.027  
201        3289.98 2562.33 12.401  0.038   6.662   0.222   -5.159  0.242   -6.374  0.050  
202        171.820 1251.27 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
203        831.414 3395.11 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
204        2913.49 812.719 13.503  0.029   1.331   0.040   0.956   0.037   -5.558  0.072  
205        4065.62 1887.41 14.389  0.037   0.503   0.055   -0.032  0.052   0.854   0.044  
206        2355.59 403.101 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
207        416.792 616.705 13.409  0.042   9.182   0.176   -9.277  0.194   0.038   0.069  
208        2691.71 2368.91 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
209        263.305 2111.03 14.148  0.039   0.523   0.064   -0.027  0.070   0.636   0.046  
210        1055.38 1621.23 14.152  0.035   1.019   0.048   0.675   0.044   1.553   0.038  
211        3112.24 2404.50 14.662  0.032   0.486   0.038   0.075   0.022   0.826   0.040  
212        3671.84 1912.89 14.548  0.036   0.478   0.048   0.241   0.037   0.910   0.045  
213        1127.54 1633.91 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
214        1120.81 2805.79 14.467  0.021   0.727   0.030   0.248   0.028   INDEF   INDEF  
215        2810.17 2306.14 14.368  0.031   0.781   0.037   0.234   0.027   1.007   0.040  
216        202.142 460.434 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
217        2700.31 4086.79 14.539  0.034   0.720   0.041   0.092   0.030   0.901   0.071  
218        2370.60 1479.42 14.147  0.026   0.351   0.035   INDEF   INDEF   -4.929  0.053  
219        1474.40 848.768 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
220        603.711 708.337 14.289  0.036   0.594   0.064   0.305   0.072   0.817   0.050  
221        2366.14 571.126 14.424  0.032   0.422   0.049   0.058   0.047   -4.170  0.067  
222        2549.78 1288.83 14.480  0.024   0.450   0.032   INDEF   INDEF   -4.966  0.076  
223        2605.07 1464.25 14.209  0.022   0.441   0.029   0.222   0.031   -5.566  0.042  
224        3409.84 2502.38 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
225        2698.20 146.303 14.586  0.029   0.953   0.076   -0.476  0.083   0.753   0.074  
226        437.467 4027.16 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
227        1643.77 4079.84 14.540  0.039   0.812   0.054   -0.004  0.044   0.860   0.066  
228        3247.64 1403.49 14.704  0.028   0.537   0.033   0.124   0.025   0.957   0.045  
229        946.033 1015.17 14.476  0.033   0.619   0.045   0.281   0.042   1.141   0.042  
230        2441.33 2278.56 13.614  0.023   1.567   0.038   1.217   0.038   1.846   0.058  
231        3227.04 247.200 14.376  0.022   0.885   0.056   0.045   0.070   0.958   0.048  
232        1767.01 1843.31 14.345  0.023   0.710   0.031   0.504   0.033   0.905   0.031  
233        1523.97 2085.28 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
234        684.540 3420.92 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
