
# Tue 17:14:58 13-Feb-2018
# List of observations files:
#		daom_rup152.obs
# Config:	noche.cfg
# Parameters:	noche_all.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)
#
id              x        y      V     eV      BV     eBV       UB    eUB      VI     eVI
64         1713.67 2522.89 13.761  0.024   0.557   0.030   0.147   0.027   0.725   0.039  
65         4034.58 745.433 12.752  0.030   1.671   0.037   1.746   0.038   1.745   0.056  
66         2162.38 3403.23 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
67         1765.05 57.572  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
68         2327.85 2138.66 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
69         3704.74 3702.08 12.954  0.024   1.212   0.032   1.007   0.028   -5.827  0.071  
70         2249.95 687.370 13.113  0.024   1.421   0.032   0.834   0.033   1.212   0.049  
71         3670.52 2427.03 13.730  0.023   0.711   0.026   0.138   0.023   0.828   0.031  
72         3728.02 1343.52 13.964  0.016   0.488   0.022   0.016   0.021   0.606   0.037  
73         184.915 2446.86 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
74         3583.56 336.054 13.085  0.037   1.392   0.045   1.426   0.042   1.498   0.063  
75         550.026 2312.43 12.740  0.036   1.766   0.046   1.749   0.041   2.068   0.053  
76         2649.45 2826.38 13.889  0.031   0.595   0.036   0.341   0.025   0.725   0.044  
77         3048.77 2917.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
78         87.898  3437.22 13.827  0.077   0.639   0.095   0.462   0.064   0.813   0.120  
79         2248.53 611.047 13.052  0.024   1.565   0.034   1.320   0.038   1.629   0.071  
80         289.021 4063.67 20.241  0.137   -6.843  0.149   1.968   0.054   2.265   0.154  
81         2350.88 1790.66 13.919  0.026   0.704   0.032   0.403   0.028   INDEF   INDEF  
82         3578.63 1290.56 13.874  0.016   0.744   0.022   0.195   0.023   -5.926  0.101  
83         1160.35 1651.33 13.879  0.028   0.633   0.038   0.343   0.032   0.818   0.040  
84         1353.48 1923.85 13.350  0.030   1.238   0.039   0.909   0.033   1.400   0.045  
85         1013.05 2844.97 20.044  0.066   -7.227  0.073   4.608   0.134   2.250   0.075  
86         598.003 3026.78 13.987  0.038   0.589   0.044   0.542   0.031   0.896   0.055  
87         524.905 1070.30 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
88         1182.72 1617.81 13.453  0.029   0.610   0.036   0.278   0.027   -6.174  0.043  
89         767.895 155.778 10.894  0.057   9.482   0.085   -10.031 0.087   -3.818  0.117  
90         3306.40 503.755 14.006  0.029   0.602   0.036   0.302   0.042   0.781   0.048  
91         3790.15 3668.34 12.756  0.027   4.451   0.176   -2.373  0.193   1.224   0.059  
92         3921.52 2082.73 13.555  0.024   1.256   0.031   0.700   0.031   1.508   0.035  
93         2430.27 2657.76 13.942  0.033   0.633   0.039   0.439   0.028   0.825   0.039  
94         2505.96 1430.41 14.014  0.031   0.655   0.036   0.162   0.029   0.845   0.040  
95         2257.12 1764.11 13.665  0.026   0.479   0.032   0.273   0.027   -5.570  0.040  
96         1324.56 145.931 13.843  0.041   0.814   0.056   0.414   0.056   0.934   0.058  
97         3365.40 535.942 13.986  0.029   0.723   0.036   0.350   0.040   0.769   0.052  
98         1223.92 349.939 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
99         1259.87 3207.14 14.069  0.029   0.704   0.034   0.304   0.026   0.925   0.049  
100        2327.14 2138.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
101        3780.45 60.678  15.894  0.145   -1.290  0.157   1.727   0.148   0.702   0.242  
102        3924.46 249.836 16.709  0.247   -2.289  0.264   INDEF   INDEF   3.281   0.236  
103        3160.80 968.490 13.869  0.021   0.961   0.025   0.411   0.027   0.954   0.046  
104        1176.86 1619.36 14.133  0.029   0.592   0.044   0.261   0.039   0.786   0.041  
105        2288.73 2875.85 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
106        547.717 2956.95 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
107        4043.09 127.700 13.570  0.037   0.385   0.046   0.537   0.039   -6.384  0.055  
108        373.944 2613.14 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
109        4081.92 32.226  13.894  0.033   0.563   0.040   0.369   0.040   -5.669  0.063  
110        1707.98 3056.14 14.191  0.023   0.595   0.028   0.212   0.029   0.774   0.036  
111        1193.91 348.522 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
112        963.267 3300.59 14.050  0.034   0.796   0.040   0.496   0.028   1.005   0.048  
113        2081.66 2393.31 14.266  0.029   0.573   0.034   0.402   0.027   0.623   0.052  
114        1279.46 3783.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
115        2206.81 3025.74 14.195  0.029   0.704   0.032   0.285   0.026   0.915   0.038  
116        4017.47 1733.50 13.913  0.024   1.017   0.032   0.493   0.030   1.156   0.034  
117        307.429 142.718 14.146  0.038   0.756   0.050   0.237   0.045   0.838   0.058  
118        3925.44 247.048 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
119        732.436 2111.37 14.134  0.038   0.710   0.047   0.446   0.035   0.920   0.047  
120        1704.57 373.133 13.917  0.034   0.975   0.048   0.693   0.047   1.017   0.057  
121        2447.75 639.588 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
122        1394.84 2869.81 14.273  0.027   0.656   0.032   0.299   0.022   0.741   0.037  
123        2948.73 2138.53 13.890  0.021   0.758   0.025   0.349   0.020   -3.838  0.032  
124        2092.52 440.442 14.064  0.026   0.947   0.039   0.378   0.042   1.070   0.048  
125        1073.67 2902.11 14.378  0.026   0.535   0.031   0.384   0.025   0.731   0.038  
126        2757.94 295.344 13.741  0.033   0.662   0.045   0.169   0.047   -6.040  0.060  
127        2528.54 2649.41 14.322  0.032   0.689   0.036   0.167   0.027   0.862   0.040  
128        2802.59 3389.45 13.824  0.026   1.128   0.031   1.065   0.027   -2.748  0.159  
129        4025.65 436.239 14.389  0.036   0.638   0.044   0.305   0.042   -0.937  0.190  
130        2761.81 3247.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
131        2401.31 2627.28 14.225  0.027   0.742   0.032   0.433   0.027   0.928   0.034  
132        10.011  2479.11 16.279  0.326   -1.451  0.350   5.514   0.250   3.077   0.348  
133        289.878 2408.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
134        1757.62 3302.48 14.250  0.031   0.791   0.035   0.433   0.030   0.942   0.042  
135        214.301 997.619 13.219  0.040   1.452   0.057   1.486   0.062   -5.448  0.088  
136        3277.41 3661.95 14.247  0.030   0.874   0.036   0.301   0.028   0.919   0.046  
137        1489.60 2517.07 13.915  0.022   0.707   0.030   0.396   0.027   -5.477  0.041  
138        1666.63 820.687 13.437  0.030   1.679   0.038   1.197   0.032   1.602   0.052  
139        3346.42 732.936 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
140        3780.97 58.222  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
141        3024.25 804.101 20.382  0.041   -7.213  0.046   INDEF   INDEF   1.875   0.051  
142        7.228   2479.68 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
143        877.643 4020.38 12.721  0.032   3.700   0.082   1.573   0.111   -6.947  0.104  
144        2147.70 3450.04 14.431  0.034   0.747   0.038   0.338   0.028   0.875   0.051  
145        564.965 2951.58 12.074  0.067   9.133   0.546   -0.151  0.627   -2.665  0.090  
146        711.893 3544.88 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
147        722.699 979.460 13.907  0.032   0.535   0.043   0.353   0.045   -5.187  0.054  
148        1534.13 4078.90 13.860  0.040   1.183   0.048   1.162   0.033   1.641   0.056  
149        374.081 2067.69 14.326  0.060   0.779   0.071   0.399   0.048   0.897   0.069  
150        1934.76 1925.19 21.475  0.033   -7.176  0.037   0.827   0.023   1.807   0.054  
151        2550.93 2899.57 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
152        881.598 75.335  13.573  0.040   0.999   0.049   0.270   0.054   -5.322  0.059  
153        601.213 1584.50 13.719  0.035   0.848   0.048   0.506   0.044   -5.315  0.058  
154        2722.05 3334.54 21.337  0.028   -8.215  0.034   0.822   0.034   1.787   0.053  
155        3710.30 2221.46 14.509  0.023   0.667   0.028   0.187   0.023   0.879   0.032  
156        2530.93 3238.67 14.369  0.041   0.889   0.044   0.316   0.023   0.999   0.049  
157        3982.98 68.142  14.547  0.040   0.438   0.049   0.404   0.052   0.889   0.050  
158        2243.40 1565.81 14.369  0.022   0.812   0.030   0.357   0.030   1.075   0.034  
159        3892.67 3181.87 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
160        4101.01 3652.24 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
161        2200.33 13.232  14.301  0.036   0.871   0.056   0.263   0.053   0.818   0.049  
162        2382.05 294.454 14.441  0.028   0.807   0.038   0.228   0.040   0.819   0.062  
163        1160.55 1320.69 14.474  0.022   0.750   0.031   0.327   0.028   0.974   0.044  
164        1718.90 3559.31 14.373  0.030   0.859   0.035   0.547   0.031   1.011   0.047  
165        1395.43 690.411 14.501  0.033   0.797   0.040   0.137   0.032   0.911   0.048  
166        3055.08 2413.64 13.879  0.023   1.377   0.026   1.132   0.019   1.399   0.031  
167        894.331 4002.79 21.520  0.105   -7.348  0.114   2.340   0.030   2.462   0.136  
168        1866.51 1537.82 13.827  0.026   1.418   0.031   1.277   0.029   INDEF   INDEF  
169        810.807 2872.46 14.769  0.038   0.517   0.043   INDEF   INDEF   INDEF   INDEF  
170        694.826 888.787 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
171        1053.62 2769.72 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
172        1952.79 3221.19 14.533  0.028   0.731   0.032   0.413   0.031   0.874   0.040  
173        2012.16 1578.57 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
174        3312.69 3117.22 14.464  0.018   0.847   0.026   0.298   0.024   0.713   0.038  
175        2026.99 1592.73 21.587  0.072   -8.211  0.079   INDEF   INDEF   2.514   0.077  
176        2769.00 516.504 14.202  0.030   0.680   0.039   0.195   0.041   -4.754  0.055  
177        809.493 2871.88 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
178        1839.14 2635.54 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
179        1064.74 2514.66 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
180        2180.22 842.724 14.620  0.025   0.762   0.031   0.170   0.027   0.897   0.044  
181        3432.56 52.249  14.634  0.045   0.500   0.058   0.378   0.050   0.662   0.058  
182        2174.03 3385.28 14.735  0.029   0.681   0.033   0.130   0.026   0.929   0.058  
183        1912.51 3359.96 13.231  0.034   1.810   0.038   1.689   0.033   -6.142  0.050  
184        3939.98 2798.70 14.312  0.020   1.126   0.027   0.525   0.031   1.130   0.047  
185        3948.33 2550.90 14.423  0.022   0.956   0.029   0.279   0.030   1.118   0.029  
186        1538.99 2846.48 13.557  0.025   2.109   0.031   1.397   0.034   2.716   0.048  
187        894.912 1899.54 14.720  0.033   0.503   0.043   0.418   0.035   0.718   0.046  
188        1768.51 226.819 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
189        996.991 3752.26 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
190        3040.56 1939.14 13.473  0.023   1.790   0.028   1.676   0.031   -5.474  0.056  
191        1361.25 1749.57 13.965  0.027   1.434   0.037   1.456   0.036   1.610   0.038  
192        4040.17 938.275 14.671  0.024   0.775   0.029   0.170   0.030   0.936   0.042  
193        3843.96 3592.35 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
194        3780.82 308.520 14.697  0.033   0.672   0.042   0.349   0.043   0.870   0.053  
195        520.151 2127.32 14.685  0.029   0.703   0.039   0.430   0.038   1.030   0.058  
196        1229.82 356.473 20.382  0.400   -7.660  0.428   INDEF   INDEF   1.167   0.381  
197        3502.26 341.775 14.561  0.037   0.879   0.045   0.430   0.048   1.011   0.056  
198        1638.68 1055.15 14.438  0.021   0.949   0.029   0.822   0.030   INDEF   INDEF  
199        4024.41 1580.73 14.697  0.030   0.744   0.036   0.245   0.028   0.929   0.039  
200        991.041 2515.31 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
201        1264.29 332.229 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
202        3979.76 3150.07 14.495  0.017   1.005   0.023   0.439   0.027   1.004   0.034  
203        2726.20 1800.28 14.336  0.030   0.554   0.037   0.362   0.031   -4.223  0.044  
204        3920.19 3101.08 14.690  0.019   0.871   0.025   0.091   0.025   0.943   0.061  
205        2074.74 4064.88 14.818  0.046   0.686   0.053   0.276   0.029   0.980   0.063  
206        421.158 1491.25 13.078  0.042   6.752   0.071   -6.379  0.075   0.267   0.071  
207        3833.82 2089.06 20.708  0.100   -5.837  0.107   INDEF   INDEF   2.084   0.117  
208        3831.83 2100.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
209        2780.28 1703.33 14.763  0.023   0.714   0.029   0.213   0.028   0.927   0.038  
210        1385.43 1055.79 21.585  0.064   -8.539  0.071   INDEF   INDEF   2.184   0.070  
211        960.678 2610.98 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
212        1871.39 1194.39 14.705  0.027   0.761   0.038   0.322   0.033   0.940   0.040  
213        3461.71 1975.94 14.129  0.023   1.454   0.027   1.066   0.023   1.620   0.038  
214        3297.67 1583.86 14.143  0.017   1.501   0.021   1.173   0.024   1.649   0.034  
215        2575.63 2304.82 14.220  0.027   1.309   0.034   1.007   0.030   1.410   0.038  
216        1135.61 2379.57 14.211  0.033   1.281   0.041   1.206   0.034   1.468   0.040  
217        3918.75 2291.28 14.764  0.017   0.729   0.022   0.108   0.028   -5.122  0.071  
218        3397.28 1765.99 14.695  0.017   0.908   0.020   0.353   0.020   1.158   0.032  
219        1846.49 1581.67 14.735  0.022   0.728   0.031   0.354   0.031   0.928   0.033  
220        4101.06 3647.32 14.573  0.022   0.694   0.029   1.870   0.030   1.683   0.044  
221        2693.46 1446.98 14.944  0.031   0.565   0.037   0.299   0.029   0.747   0.044  
222        702.066 1929.61 18.201  0.230   -2.807  0.247   INDEF   INDEF   1.598   0.386  
223        1328.55 1347.69 14.299  0.020   1.279   0.030   1.074   0.034   INDEF   INDEF  
224        3086.49 701.213 14.748  0.022   0.875   0.027   0.315   0.035   0.903   0.053  
225        3072.24 2254.69 14.753  0.017   0.887   0.021   0.327   0.020   0.937   0.044  
226        2635.59 1088.21 14.767  0.022   0.799   0.030   0.413   0.031   0.937   0.045  
227        2119.80 943.167 14.804  0.019   0.838   0.025   0.239   0.026   1.085   0.039  
228        2034.88 853.785 13.892  0.032   1.054   0.039   0.783   0.031   -4.533  0.043  
229        2018.16 2752.46 15.049  0.028   0.482   0.032   0.427   0.027   0.733   0.039  
230        3673.35 2156.90 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
231        3107.48 2259.60 14.959  0.018   0.736   0.021   0.166   0.017   0.878   0.031  
232        18.358  714.798 14.673  0.041   0.900   0.055   0.591   0.060   0.918   0.060  
233        1599.27 3365.40 15.063  0.029   0.562   0.032   0.401   0.027   0.859   0.042  
234        3138.19 3856.07 14.306  0.028   1.413   0.033   0.964   0.028   1.519   0.063  
235        2383.29 2222.09 19.396  0.029   -5.831  0.035   8.256   0.178   1.615   0.041  
236        389.240 2364.68 16.485  0.236   -0.934  0.253   2.658   0.145   INDEF   INDEF  
237        587.883 3450.12 14.864  0.029   0.789   0.034   0.515   0.029   0.984   0.047  
238        2365.29 2229.72 20.770  0.037   1.075   0.082   -9.445  0.081   1.125   0.046  
239        1902.00 1900.49 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
240        1886.20 2981.21 14.218  0.027   1.587   0.031   1.505   0.035   1.779   0.045  
241        3513.08 3504.36 20.738  0.072   -5.701  0.079   0.956   0.023   1.925   0.084  
242        75.650  2907.33 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
243        1823.94 1781.73 14.427  0.022   1.288   0.025   1.247   0.026   INDEF   INDEF  
244        2239.12 1754.26 14.905  0.027   0.783   0.032   0.334   0.026   1.045   0.038  
245        2348.41 1776.30 21.500  0.121   1.651   0.266   INDEF   INDEF   8.129   0.116  
246        2888.22 1506.10 15.055  0.020   0.649   0.024   0.356   0.027   INDEF   INDEF  
247        1281.24 3556.28 14.687  0.029   0.773   0.035   0.529   0.030   -4.817  0.057  
248        1922.55 2787.59 15.004  0.026   0.523   0.032   0.511   0.034   0.756   0.037  
249        2330.27 2033.99 14.771  0.023   0.848   0.029   0.686   0.027   0.912   0.035  
250        2330.94 1495.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
251        840.288 3736.78 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
252        380.974 574.310 13.919  0.042   2.023   0.054   1.868   0.059   2.251   0.074  
253        3006.65 826.446 14.846  0.032   0.881   0.036   INDEF   INDEF   -5.199  0.102  
254        3134.04 2646.52 14.973  0.024   0.827   0.026   0.208   0.016   0.798   0.035  
255        3346.97 1794.83 14.614  0.020   1.041   0.024   0.836   0.023   -5.253  0.058  
256        2662.55 1108.66 14.415  0.027   1.412   0.032   0.960   0.030   1.569   0.050  
257        2428.94 3899.49 13.574  0.034   2.233   0.039   1.236   0.026   2.762   0.082  
258        1995.06 3032.23 15.042  0.029   0.726   0.033   0.285   0.030   0.854   0.038  
259        993.082 1928.93 14.235  0.024   1.497   0.033   1.552   0.035   1.696   0.054  
260        2768.26 870.008 22.368  0.122   -7.223  0.131   0.964   0.031   2.108   0.134  
261        3180.89 1309.56 14.962  0.018   0.840   0.022   0.356   0.025   1.011   0.035  
262        3875.74 2425.93 15.100  0.015   0.573   0.020   0.017   0.027   0.725   0.026  
263        2340.35 1120.00 14.935  0.023   0.903   0.028   0.321   0.027   1.204   0.040  
264        1274.42 350.880 16.729  0.173   -1.232  0.198   INDEF   INDEF   INDEF   INDEF  
265        2284.79 1680.39 14.460  0.022   1.620   0.029   1.279   0.034   1.915   0.031  
266        1058.09 2652.76 15.175  0.036   0.582   0.040   0.503   0.026   0.744   0.048  
267        2398.72 1115.09 14.371  0.025   0.983   0.030   0.387   0.027   -4.859  0.038  
268        4078.07 13.989  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
269        2746.62 1562.97 14.565  0.025   1.376   0.030   1.040   0.032   1.605   0.037  
270        3065.24 179.201 13.649  0.039   0.999   0.052   1.149   0.048   -6.099  0.055  
271        1936.98 2601.04 15.103  0.026   0.709   0.030   0.391   0.028   1.015   0.039  
272        1013.85 2161.55 14.472  0.022   1.556   0.031   1.522   0.035   1.961   0.033  
273        1222.92 2327.37 15.089  0.018   0.718   0.025   0.392   0.029   0.963   0.060  
274        1001.93 3754.46 14.776  0.030   2.969   0.082   -2.110  0.086   0.963   0.040  
275        3967.45 3387.47 14.556  0.019   0.772   0.026   -0.090  0.028   -4.730  0.032  
276        3906.10 3182.02 13.323  0.019   9.141   0.072   INDEF   INDEF   -5.535  0.056  
