# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5602103625772671104" 12.84271 1.08400 3.03840 0.41011 2.68824 0.42223 0.56
"Gaia EDR3 5602103453974007680" 14.43924 0.20900 2.95173 0.36441 2.65089 0.37883 0.65
"Gaia EDR3 5602103385254566272" 14.74547 0.04300 2.92604 0.35873 2.60898 0.35778 0.64
"Gaia EDR3 5602107233545204480" 14.87266 0.98800 3.03262 0.39767 2.60582 0.37525 0.58
"Gaia EDR3 5602103896341417216" 15.35399 0.12400 2.87786 0.33848 2.46751 0.31056 0.64
"Gaia EDR3 5602103900650584192" 15.43043 0.19300 2.87106 0.33377 2.44839 0.30935 0.65
"Gaia EDR3 5602103522693490304" 15.43365 0.11000 2.86539 0.33275 2.44536 0.31269 0.64
"Gaia EDR3 5602103419614269824" 15.52730 0.00900 2.84671 0.32797 2.42496 0.30432 0.60
"Gaia EDR3 5602103488333753984" 15.54021 0.02900 2.84447 0.32668 2.41917 0.30410 0.60
"Gaia EDR3 5602103076016928384" 15.66282 0.13900 2.83014 0.31847 2.38643 0.29590 0.62
"Gaia EDR3 5602103453973992320" 15.76577 0.00700 2.80240 0.31021 2.34879 0.28546 0.57
"Gaia EDR3 5602103453973998208" 15.81230 0.07200 2.79283 0.30622 2.33576 0.28208 0.59
"Gaia EDR3 5602103453974008448" 15.89640 0.28600 2.78219 0.29774 2.29538 0.27568 0.63
"Gaia EDR3 5602104794003895040" 15.98097 0.19600 2.75720 0.29416 2.26041 0.26987 0.61
"Gaia EDR3 5602103935010306560" 16.03663 0.17800 2.74171 0.29019 2.24478 0.27232 0.60
"Gaia EDR3 5602103900650587264" 16.25549 0.23700 2.67667 0.27277 2.14781 0.26957 0.61
"Gaia EDR3 5602106546351107584" 16.26108 0.33800 2.67428 0.27225 2.15157 0.26161 0.61
"Gaia EDR3 5602103419614270720" 16.26137 0.23800 2.67397 0.27192 2.14486 0.26825 0.61
"Gaia EDR3 5602106340192073216" 16.27968 0.20000 2.66746 0.27055 2.13905 0.26388 0.58
"Gaia EDR3 5602101942145525632" 16.31567 0.20400 2.65612 0.26789 2.12166 0.25677 0.58
"Gaia EDR3 5602106718149182592" 16.32017 0.22000 2.65479 0.26750 2.11958 0.25752 0.59
"Gaia EDR3 5602107061747178624" 16.32950 0.21700 2.65197 0.26678 2.11582 0.25537 0.59
"Gaia EDR3 5602103419614276352" 16.34033 0.25900 2.64912 0.26585 2.11726 0.25341 0.62
"Gaia EDR3 5602106477630988800" 16.36876 0.28600 2.63989 0.26382 2.11026 0.25489 0.63
"Gaia EDR3 5602103522693484800" 16.38136 0.31500 2.63423 0.26263 2.11156 0.25330 0.63
"Gaia EDR3 5602103453974000128" 16.39906 0.20500 2.62688 0.26067 2.08985 0.25753 0.57
"Gaia EDR3 5602103488333757696" 16.40722 0.27700 2.62424 0.25982 2.09319 0.25659 0.62
"Gaia EDR3 5602103453973991680" 16.41193 0.20600 2.62227 0.25998 2.08669 0.25908 0.57
"Gaia EDR3 5602103831931094016" 16.43343 0.37900 2.61565 0.25813 2.08257 0.24843 0.59
"Gaia EDR3 5602103488333772160" 16.43387 0.30400 2.61524 0.25854 2.08413 0.24831 0.63
"Gaia EDR3 5602103660132392832" 16.44798 0.35200 2.61082 0.25729 2.07287 0.24516 0.61
"Gaia EDR3 5602103213455842432" 16.48285 0.24500 2.59527 0.25379 2.05613 0.25115 0.59
"Gaia EDR3 5602103419614291072" 16.51617 0.25000 2.58206 0.25218 2.03651 0.24798 0.59
"Gaia EDR3 5602103900650582656" 16.56426 0.25100 2.56452 0.24965 2.01842 0.24596 0.59
"Gaia EDR3 5602103900650580224" 16.67169 0.35200 2.52171 0.24372 1.97637 0.23279 0.61
"Gaia EDR3 5602103247815557248" 16.68010 0.30600 2.51915 0.24280 1.97084 0.23196 0.62
"Gaia EDR3 5602103488333764864" 16.86217 0.31600 2.43797 0.23092 1.88986 0.22343 0.61
"Gaia EDR3 5602103831931109248" 16.86692 0.32600 2.43561 0.23017 1.88722 0.22209 0.61
"Gaia EDR3 5602103106066990080" 16.86906 0.32100 2.43455 0.22960 1.88635 0.22193 0.61
"Gaia EDR3 5602103969370033280" 16.95413 0.38600 2.40147 0.22711 1.87086 0.21984 0.59
"Gaia EDR3 5602102217028456448" 17.01015 0.43300 2.37619 0.22181 1.84969 0.22266 0.57
"Gaia EDR3 5602103484024433920" 17.03902 0.39000 2.36485 0.22237 1.83690 0.21517 0.59
"Gaia EDR3 5602107577142637824" 17.06256 0.29000 2.35653 0.22242 1.81602 0.20820 0.59
"Gaia EDR3 5602106340192067712" 17.07832 0.34900 2.35135 0.22102 1.81947 0.21192 0.62
"Gaia EDR3 5602103247815568256" 17.11091 0.35600 2.33647 0.22031 1.80948 0.21744 0.61
"Gaia EDR3 5602103453973990784" 17.12977 0.35500 2.32702 0.21924 1.80442 0.21515 0.61
"Gaia EDR3 5602106301522791424" 17.18190 0.34000 2.29764 0.21417 1.78069 0.21152 0.61
"Gaia EDR3 5602103831931097344" 17.23029 0.37900 2.27446 0.21381 1.76032 0.21270 0.58
"Gaia EDR3 5602103969370030976" 17.27245 0.39000 2.25747 0.21288 1.74325 0.21152 0.57
"Gaia EDR3 5602103522693487616" 17.31826 0.31100 2.23774 0.21123 1.71887 0.20157 0.59
"Gaia EDR3 5602101804706624128" 17.39941 0.21700 2.20333 0.20580 1.69355 0.18992 0.52
"Gaia EDR3 5602103415304732672" 17.40621 0.35100 2.19860 0.20268 1.69715 0.20463 0.58
"Gaia EDR3 5602103453974004352" 17.42287 0.41200 2.18829 0.20081 1.68995 0.20117 0.55
"Gaia EDR3 5602103866290830976" 17.45281 0.37900 2.17717 0.20014 1.68015 0.19692 0.56
"Gaia EDR3 5602103419600066304" 17.46003 0.40700 2.17329 0.19911 1.67423 0.19628 0.54
"Gaia EDR3 5602106477636010752" 17.49004 0.35900 2.16004 0.20041 1.66666 0.19359 0.56
"Gaia EDR3 5602106924312609280" 17.51049 0.40500 2.14981 0.19959 1.65576 0.19440 0.54
"Gaia EDR3 5602104003729754496" 17.51648 0.46700 2.14599 0.19824 1.65468 0.19358 0.53
"Gaia EDR3 5602103488333758336" 17.52900 0.38800 2.14250 0.19967 1.65086 0.19238 0.54
"Gaia EDR3 5602103179096085760" 17.55120 0.28200 2.13492 0.20064 1.64447 0.18970 0.56
