id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI,ra,dec
3,1420.17,3291.94,9.771,0.009,1.464,0.018,1.751,0.017,,,119.80746606331881,-28.42320867355901
2,2649.15,3061.04,9.771,0.018,1.029,0.024,0.897,0.019,,,119.63835224783051,-28.452250844599522
4,3791.94,1447.38,9.923,0.009,1.313,0.013,1.299,0.011,,,119.48277051808579,-28.648325542630822
5,866.478,3584.2,9.949,0.006,1.012,0.017,0.752,0.018,,,119.8834319015636,-28.387375613851365
6,1649.69,2225.55,10.006,0.006,1.401,0.011,1.575,0.014,,,119.77710588169371,-28.552298647019178
7,800.521,1816.2,10.215,0.011,1.357,0.016,1.559,0.013,1.313,0.027,119.89463568776311,-28.60098470549462
8,2952.1,1025.31,10.573,0.008,0.621,0.014,0.159,0.014,0.614,0.02,119.59902971408452,-28.698557496120962
9,3309.84,2876.99,10.591,0.012,1.728,0.02,0.605,0.018,,,119.54750959945714,-28.475105264187878
10,1880.61,3571.74,10.628,0.008,0.323,0.013,-0.617,0.012,0.401,0.011,119.74366942968234,-28.389819648038472
11,505.371,2846.92,10.725,0.006,0.102,0.012,0.052,0.012,0.052,0.014,119.93408425285973,-28.47614488352085
12,2043.12,3742.91,10.752,0.009,1.313,0.022,1.465,0.022,1.219,0.011,119.72106618085613,-28.36928338676164
13,2726.96,3646.04,10.776,0.012,0.055,0.032,0.042,0.035,0.079,0.016,119.62692858819761,-28.381623159391257
14,1232.67,649.524,10.865,0.009,0.114,0.019,0.084,0.019,0.052,0.022,119.83646709433002,-28.742382112394875
15,2958.55,1037.93,10.895,0.009,0.627,0.015,0.166,0.013,0.593,0.022,119.59812563110685,-28.697038283955145
16,3707.88,1916.19,10.923,0.011,0.316,0.014,-0.601,0.018,0.43,0.018,119.49379618897581,-28.591590150464736
17,1454.43,599.568,10.955,0.01,-0.058,0.02,-0.214,0.019,-0.08,0.013,119.80596171518559,-28.748624655680537
18,3692.55,2360.16,10.969,0.01,0.039,0.015,0.04,0.023,0.038,0.014,119.49537852114162,-28.537920358351194
19,2312.84,3284.78,11.123,0.013,1.301,0.017,1.341,0.013,1.258,0.018,119.68443831082887,-28.424899814162615
20,1801.14,2608.74,11.131,0.013,0.448,0.022,0.036,0.021,0.464,0.021,119.7557736396067,-28.506128660359725
21,4098.99,438.677,11.148,0.012,0.21,0.022,0.177,0.02,0.194,0.034,119.44165546844313,-28.77051552803027
22,73.121,519.678,11.166,0.031,1.448,0.058,1.825,0.059,1.459,0.034,119.99644239866053,-28.757001818789224
23,2818.19,2551.54,11.177,0.016,1.337,0.025,1.323,0.021,1.308,0.017,119.61566245049842,-28.51398240801459
