id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI,ra,dec
2,3495.4,958.931,10.514,0.027,0.219,0.037,0.156,0.047,0.068,0.06,118.37652191517864,-38.34507879781515
9,3499.43,2921.26,11.336,0.031,0.777,0.039,-0.067,0.027,0.54,0.061,118.37346638720157,-38.10791233496975
13,1628.68,2489.74,11.559,0.038,0.985,0.046,1.084,0.031,0.994,0.056,118.66172826033379,-38.158284095816384
15,1545.06,3791.15,12.076,0.038,0.624,0.054,0.111,0.051,0.68,0.056,118.67297388536207,-38.000913874619236
16,1886.47,3090.76,11.813,0.038,0.968,0.044,0.995,0.04,1.025,0.05,118.62133347752376,-38.08588945532258
19,1563.87,2795.53,12.459,0.031,0.322,0.036,0.355,0.027,0.409,0.048,118.67131665233785,-38.12126406359182
20,1157.32,3466.42,12.333,0.047,0.614,0.055,0.292,0.037,,,118.7330123793569,-38.03979183576738
22,2833.85,3608.16,12.406,0.052,0.524,0.06,0.223,0.041,0.709,0.085,118.47498173557629,-38.024258307970676
24,3273.43,774.464,12.494,0.038,0.55,0.043,0.309,0.034,0.589,0.066,118.41089044957079,-38.36716228863651
27,3538.18,1284.9,12.606,0.032,0.743,0.039,0.31,0.029,0.729,0.074,118.36953763616451,-38.30572241051072
29,3247.54,824.291,12.588,0.019,0.795,0.024,0.278,0.027,0.758,0.047,118.4148105526705,-38.3611154476185
32,1290.97,3608.54,11.97,0.049,1.391,0.061,1.092,0.041,1.448,0.075,118.7122802550425,-38.02274232137296
33,1071.18,2376.38,12.276,0.029,1.195,0.035,1.101,0.028,1.284,0.051,118.7476139286497,-38.17145378428832
35,3401.27,2605.8,13.171,0.026,0.554,0.029,-0.019,0.015,0.598,0.036,118.38895521138758,-38.145945821115866
36,3587.13,339.887,12.91,0.038,0.693,0.045,0.42,0.037,0.804,0.064,118.3631819771074,-38.41998487188247
40,3852.42,1314.9,12.14,0.019,1.487,0.026,1.202,0.025,1.499,0.065,118.32116946295322,-38.30239596979359
43,1337.84,1299.43,13.091,0.025,0.835,0.031,0.354,0.024,1.011,0.036,118.707937664799,-38.301869802483
44,3481.95,3243.07,13.458,0.023,0.59,0.03,-0.001,0.023,0.52,0.035,118.37575541653501,-38.069001195379734
45,3638.46,1111.57,12.538,0.014,1.53,0.018,1.485,0.024,1.418,0.061,118.35432945167292,-38.326766905688615
48,2733.02,2086.28,13.095,0.027,0.864,0.033,0.756,0.027,0.857,0.056,118.4923786585577,-38.20809915077285
50,2330.01,2132.87,13.492,0.023,0.569,0.029,0.11,0.022,0.708,0.033,118.55430482474665,-38.20208421818975
52,3427.64,732.769,12.813,0.023,1.392,0.027,1.109,0.03,1.364,0.068,118.3872243001847,-38.37234854634657
53,2071.77,1810.79,13.135,0.023,1.017,0.027,0.654,0.023,1.282,0.03,118.59442258978767,-38.240765283850955
54,4036.79,63.935,13.407,0.035,0.46,0.043,0.914,0.04,0.582,0.046,118.29436560975414,-38.45376532032604
55,2133.79,2448.01,13.705,0.029,0.418,0.035,0.226,0.026,0.559,0.039,118.58409281394376,-38.16380892191125
56,1773.36,2826.48,12.616,0.025,1.79,0.03,1.783,0.032,1.98,0.037,118.6390581247273,-38.117722998304814
62,4070.71,2518.11,13.587,0.021,0.789,0.026,0.261,0.032,0.821,0.06,118.28610242691546,-38.15718202217501
64,1713.67,2522.89,13.761,0.024,0.557,0.03,0.147,0.027,0.725,0.039,118.64861542859163,-38.15435851106874
65,4034.58,745.433,12.752,0.03,1.671,0.037,1.746,0.038,1.745,0.056,118.29385961717003,-38.37139624818358
70,2249.95,687.37,13.113,0.024,1.421,0.032,0.834,0.033,1.212,0.049,118.56841246202946,-38.37671343856907
71,3670.52,2427.03,13.73,0.023,0.711,0.026,0.138,0.023,0.828,0.031,118.34776574996633,-38.16780879857608
72,3728.02,1343.52,13.964,0.016,0.488,0.022,0.016,0.021,0.606,0.037,118.34026698523873,-38.29881838106446
74,3583.56,336.054,13.085,0.037,1.392,0.045,1.426,0.042,1.498,0.063,118.36373581010996,-38.42044473304828
75,550.026,2312.43,12.74,0.036,1.766,0.046,1.749,0.041,2.068,0.053,118.82784815760714,-38.17868632963271
76,2649.45,2826.38,13.889,0.031,0.595,0.036,0.341,0.025,0.725,0.044,118.50431330877564,-38.11856982478697
78,87.898,3437.22,13.827,0.077,0.639,0.095,0.462,0.064,0.813,0.12,118.897528532104,-38.04230204823997
79,2248.53,611.047,13.052,0.024,1.565,0.034,1.32,0.038,1.629,0.071,118.56872559622083,-38.38593660859741
81,2350.88,1790.66,13.919,0.026,0.704,0.032,0.403,0.028,,,118.55151972563141,-38.24346416524996
83,1160.35,1651.33,13.879,0.028,0.633,0.038,0.343,0.032,0.818,0.04,118.73479930321722,-38.25916947827216
84,1353.48,1923.85,13.35,0.03,1.238,0.039,0.909,0.033,1.4,0.045,118.70475714237025,-38.22641627858743
86,598.003,3026.78,13.987,0.038,0.589,0.044,0.542,0.031,0.896,0.055,118.81958249585956,-38.092394529143
90,3306.4,503.755,14.006,0.029,0.602,0.036,0.302,0.042,0.781,0.048,118.40615558946487,-38.39991203642562
92,3921.52,2082.73,13.555,0.024,1.256,0.031,0.7,0.031,1.508,0.035,118.30958864736888,-38.20966061479338
93,2430.27,2657.76,13.942,0.033,0.633,0.039,0.439,0.028,0.825,0.039,118.53823306406312,-38.13874067950493
94,2505.96,1430.41,14.014,0.031,0.655,0.036,0.162,0.029,0.845,0.04,118.52811516827504,-38.287152331867915
96,1324.56,145.931,13.843,0.041,0.814,0.056,0.414,0.056,0.934,0.058,118.71141192224466,-38.44127093101937
97,3365.4,535.942,13.986,0.029,0.723,0.036,0.35,0.04,0.769,0.052,118.39704128320253,-38.39607807811363
99,1259.87,3207.14,14.069,0.029,0.704,0.034,0.304,0.026,0.925,0.049,118.71756174670739,-38.07122655182859
103,3160.8,968.49,13.869,0.021,0.961,0.025,0.411,0.027,0.954,0.046,118.42797240794283,-38.34360467383668
104,1176.86,1619.36,14.133,0.029,0.592,0.044,0.261,0.039,0.786,0.041,118.7322997040619,-38.26304915568832
110,1707.98,3056.14,14.191,0.023,0.595,0.028,0.212,0.029,0.774,0.036,118.64882867913553,-38.089903619693644
112,963.267,3300.59,14.05,0.034,0.796,0.04,0.496,0.028,1.005,0.048,118.76306407309943,-38.0596494275639
113,2081.66,2393.31,14.266,0.029,0.573,0.034,0.402,0.027,0.623,0.052,118.5921784400168,-38.170370384091356
115,2206.81,3025.74,14.195,0.029,0.704,0.032,0.285,0.026,0.915,0.038,118.57214505007241,-38.09405309980212
116,4017.47,1733.5,13.913,0.024,1.017,0.032,0.493,0.03,1.156,0.034,118.295264760752,-38.251960546947025
