EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select
"Gaia EDR3 5601925985922333312" -0.05114 -0.058362 118.38714354747 -27.01321699431 0.27098 0.0277 -2.594 0.024 3.552 0.028 15.711987 0.002775 0.635229 0.005274235963625443 15.772 0.023 0.389 0.029 0.223 0.029 0.951 0.032 0.99 1
"Gaia EDR3 5601172751738424448" -0.016751 -0.13977 118.42572912833 -27.09463582343 0.251864 0.0382 -2.603 0.03 3.556 0.038 16.219152 0.002788 0.746881 0.005896536017018806 16.248 0.024 0.474 0.03 0.258 0.029 1.078 0.032 0.99 1
"Gaia EDR3 5601927635189754112" -0.055957 0.023502 118.38178134824 -26.93135137945 0.247603 0.0432 -2.601 0.033 3.549 0.042 16.560963 0.002796 0.820837 0.006111397957914376 16.755 0.029 0.461 0.036 0.292 0.032 1.11 0.037 0.99 1
"Gaia EDR3 5601175771085747072" 0.035679 -0.031064 118.48458433803 -26.98592549316 0.239048 0.1173 -2.578 0.084 3.565 0.135 18.139517 0.002935 1.168764 0.021633672942891598 18.471 0.032 0.672 0.038 0.228 0.047 1.474 0.038 0.99 1
"Gaia EDR3 5601926673117061888" 0.004963 -0.002946 118.45011327374 -26.95781241555 0.25445 0.0217 -2.612 0.018 3.575 0.022 15.127363 0.002769 0.634769 0.004925843785586384 15.298 0.046 0.236 0.05 0.269 0.026 0.979 0.049 0.99 1
"Gaia EDR3 5601175947194015360" 0.004223 -0.016411 118.44928401153 -26.9712775046 0.27967200000000003 0.0236 -2.572 0.02 3.572 0.024 15.277262 0.002772 0.538097 0.005224040007503771 15.439 0.032 0.165 0.036 0.221 0.025 0.898 0.036 0.99 1
"Gaia EDR3 5601175775395305728" 0.033566 -0.032946 118.48221313327 -26.98780825847 0.27004 0.0121 -2.564 0.01 3.559 0.013 13.154625 0.002765 0.485936 0.004735228399982413 13.275 0.028 0.18 0.033 0.011 0.024 0.84 0.033 0.99 1
"Gaia EDR3 5601172957896915456" -0.068758 -0.163414 118.36729576634 -27.11825993437 0.27309700000000003 0.0601 -2.62 0.048 3.547 0.06 17.151476 0.003058 1.04793 0.010548208947494357 17.305 0.033 0.686 0.039 0.267 0.04 1.385 0.042 0.98 1
"Gaia EDR3 5601173816890316160" -0.0469 -0.092161 118.39188683669 -27.04701820549 0.26746 0.0129 -2.579 0.011 3.593 0.013 13.807782 0.002764 0.540614 0.004768001677852054 13.857 0.027 0.278 0.034 -0.029 0.027 0.933 0.036 0.99 1
"Gaia EDR3 5601926673117062272" 0.00696 -0.00731 118.45235392326 -26.9621767663 0.260397 0.0353 -2.607 0.028 3.526 0.035 16.151247 0.002785 0.697213 0.005512532358181673 16.32 0.029 0.304 0.033 0.39 0.029 0.998 0.031 0.99 1
"Gaia EDR3 5601175500517456384" -0.022199 -0.04427 118.41963113306 -26.99913438123 0.27061399999999997 0.0382 -2.632 0.032 3.565 0.038 16.304855 0.002787 0.747445 0.006199684266154205 16.43 0.024 0.415 0.03 0.299 0.028 1.049 0.03 1.0 1
"Gaia EDR3 5601175225639541504" -0.001749 -0.064732 118.4425823179 -27.01959880828 0.290186 0.0584 -2.577 0.049 3.579 0.06 17.077236 0.002821 1.03655 0.007701038890954907 17.299 0.027 0.637 0.034 0.322 0.036 1.33 0.031 1.0 1
"Gaia EDR3 5601175053840856960" 0.004107 -0.089017 118.44915641578 -27.0438836925 0.26833 0.0159 -2.564 0.013 3.591 0.017 14.210845 0.002763 0.701407 0.004795400504650263 14.313 0.027 0.369 0.036 0.092 0.03 "" "" 0.99 1
"Gaia EDR3 5601926844915762048" -0.021957 0.00381 118.41991386169 -26.95105499289 0.277868 0.0246 -2.59 0.019 3.604 0.025 15.338994 0.002771 0.522824 0.005062769202719001 15.452 0.019 0.195 0.025 0.195 0.028 0.881 0.026 0.99 1
"Gaia EDR3 5601175363078525952" -0.040351 -0.063253 118.39925112578 -27.01811272938 0.256111 0.0373 -2.633 0.031 3.585 0.038 16.274467 0.002787 0.763651 0.00612403870007367 16.35 0.024 0.486 0.031 0.33 0.032 1.05 0.031 1.0 1
"Gaia EDR3 5601926192080752128" -0.038812 -0.03511 118.40098968555 -26.98997024915 0.27814099999999997 0.0251 -2.603 0.021 3.606 0.025 15.418455 0.00277 0.773531 0.005225269849491029 15.533 0.019 0.457 0.026 0.303 0.029 1.065 0.029 1.0 1
"Gaia EDR3 5601175466158324608" -0.004291 -0.049774 118.43972978719 -27.00464111712 0.25495 0.0647 -2.643 0.054 3.563 0.066 17.304245 0.002825 1.07144 0.008419510496459993 17.537 0.027 0.675 0.035 0.188 0.037 1.375 0.032 1.0 1
"Gaia EDR3 5601926020282068864" -0.04236 -0.060154 118.3969972933 -27.01501250252 0.276443 0.011 -2.547 0.009 3.574 0.011 13.07606 0.002765 0.607409 0.004745010537396097 13.167 0.027 0.306 0.034 0.047 0.029 "" "" 0.99 1
"Gaia EDR3 5601176050273215104" 0.015907 -0.007659 118.46239202911 -26.96252450493 0.261984 0.031 -2.587 0.025 3.617 0.032 15.884339 0.00278 0.664599 0.00527946095733267 16.057 0.025 0.257 0.029 0.374 0.028 1.001 0.028 0.99 1
"Gaia EDR3 5601175122560337152" -0.006624 -0.078647 118.43710935009 -27.03351392504 0.293455 0.0265 -2.562 0.023 3.601 0.028 15.639576 0.00277 0.892364 0.005236324378798549 15.782 0.024 0.527 0.031 0.284 0.03 1.208 0.03 0.99 1
"Gaia EDR3 5601171102470914688" 0.064212 -0.136082 118.51667078981 -27.09093061058 0.275031 0.0316 -2.618 0.024 3.614 0.034 15.619433 0.002774 0.886801 0.005234819672156817 15.72 0.023 0.557 0.034 0.305 0.036 1.191 0.038 0.98 1
"Gaia EDR3 5601174572804456960" 0.066114 -0.078554 118.51876883762 -27.03340121811 0.283665 0.0764 -2.622 0.057 3.607 0.085 17.466654 0.002863 1.193453 0.00981427190371247 17.737 0.03 0.732 0.04 0.275 0.04 1.508 0.035 0.99 1
"Gaia EDR3 5601175947194008320" 0.016079 -0.022213 118.46258771913 -26.9770782482 0.286416 0.0682 -2.621 0.056 3.517 0.073 17.43369 0.00284 1.018475 0.011329368737930634 17.714 0.03 0.554 0.035 0.193 0.034 1.331 0.033 0.99 1
"Gaia EDR3 5601175191279790720" 0.015126 -0.069451 118.46152604279 -27.02431706166 0.256675 0.0211 -2.637 0.018 3.603 0.022 14.815953 0.00277 0.606895 0.005009230280192756 14.911 0.028 0.297 0.037 0.11 0.031 0.968 0.031 0.99 1
"Gaia EDR3 5601930796285249920" -0.127539 0.061465 118.30154030689 -26.89333021539 0.24894500000000003 0.0335 -2.546 0.026 3.527 0.034 16.085184 0.002786 0.631034 0.0058837747237636484 16.162 0.015 0.409 0.019 0.142 0.02 0.843 0.021 0.98 1
"Gaia EDR3 5601926501318392960" -0.049362 -0.003969 118.38916579318 -26.95882530664 0.22505 0.0294 -2.618 0.025 3.6 0.03 15.894585 0.002775 0.768333 0.0051323438115543265 16.018 0.023 0.43 0.031 0.231 0.029 1.019 0.029 0.99 1
"Gaia EDR3 5601175947194019584" 0.002991 -0.023103 118.44790187837 -26.97796985608 0.309977 0.0245 -2.592 0.02 3.609 0.025 15.320688 0.002774 0.524595 0.005059902469415789 15.462 0.023 0.187 0.027 0.188 0.024 0.881 0.025 0.99 1
"Gaia EDR3 5601175878474530816" 0.018429 -0.02482 118.46522517856 -26.97968494117 0.23725000000000002 0.0315 -2.634 0.025 3.523 0.033 15.858491 0.002779 0.596011 0.005298320677346739 16.021 0.023 0.237 0.027 0.317 0.028 0.94 0.025 0.99 1
"Gaia EDR3 5601924783317458560" -0.080033 -0.053727 118.35471582137 -27.00856529966 0.19095499999999999 0.0912 -2.595 0.078 3.564 0.094 17.89873 0.002902 1.108456 0.022920534199708346 18.094 0.033 0.743 0.041 0.14 0.044 1.419 0.041 0.99 1
"Gaia EDR3 5601926157721005696" -0.021825 -0.039629 118.42005220007 -26.99449399418 0.250936 0.0503 -2.66 0.042 3.558 0.053 16.869703 0.002814 0.929956 0.006888476246602001 17.025 0.027 0.597 0.034 0.253 0.03 1.223 0.032 1.0 1
"Gaia EDR3 5601172545580022784" -0.029288 -0.173724 118.41163728703 -27.12858695872 0.26364299999999996 0.0744 -2.586 0.056 3.627 0.08 17.45971 0.002849 1.201674 0.013701523199994955 17.598 0.027 0.841 0.035 0.289 0.042 1.487 0.036 0.98 1
"Gaia EDR3 5601950415697666304" 0.044415 0.063424 118.49434566851 -26.89143360601 0.267503 0.0438 -2.587 0.032 3.496 0.047 16.491148 0.00279 1.090231 0.006567554948380714 16.765 0.024 0.626 0.031 0.354 0.037 1.384 0.027 0.98 1
