# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5597788695466525184" 11.04618 0.87193 9.90802 1.92046 8.25812 1.54293 0.57
"Gaia EDR3 5597788248789911424" 11.49190 0.56224 9.85602 1.87195 8.16978 1.49028 0.60
"Gaia EDR3 5597785122054026240" 11.49294 0.51804 9.85611 1.87195 8.17171 1.49173 0.61
"Gaia EDR3 5597787595954892416" 11.83847 0.51462 9.66677 1.70885 7.83176 1.31330 0.60
"Gaia EDR3 5597784361828633984" 11.98554 0.63674 9.52929 1.63213 7.65323 1.25916 0.57
"Gaia EDR3 5597787630314634496" 12.41088 0.54460 9.05008 1.40877 6.98384 1.04872 0.56
"Gaia EDR3 5597787458516318336" 12.48769 0.59630 8.95321 1.37393 6.86951 1.01939 0.57
"Gaia EDR3 5597787527235426816" 12.49868 0.61616 8.93398 1.36882 6.84127 1.01048 0.57
"Gaia EDR3 5597783365396223744" 12.61075 0.37502 8.71630 1.28003 6.68834 0.99992 0.53
"Gaia EDR3 5597787626003777152" 12.65518 0.61084 8.64679 1.25391 6.61576 0.99650 0.59
"Gaia EDR3 5597788695466525312" 12.76737 0.52183 8.45015 1.20605 6.42342 0.94071 0.56
"Gaia EDR3 5597786015406944384" 13.11364 0.53009 7.84681 1.03663 5.82498 0.82578 0.51
"Gaia EDR3 5597789142143112320" 13.40208 0.64614 7.29025 0.93025 5.29073 0.66652 0.59
"Gaia EDR3 5597788283149647872" 13.46619 0.60929 7.18256 0.91612 5.18988 0.66220 0.58
"Gaia EDR3 5597787939552274560" 13.53184 0.77316 7.04632 0.89055 5.05349 0.64087 0.57
"Gaia EDR3 5597788248789912960" 13.61813 0.59047 6.89452 0.86751 4.90716 0.63273 0.55
"Gaia EDR3 5597784331780327040" 13.64892 0.64031 6.82269 0.84688 4.85892 0.62330 0.62
"Gaia EDR3 5597787492875693952" 13.75774 0.54493 6.60715 0.81944 4.69480 0.59574 0.48
"Gaia EDR3 5597787561595527168" 14.08024 0.59680 5.95292 0.70532 4.20105 0.54759 0.47
"Gaia EDR3 5597788248789914240" 14.09969 0.62938 5.91351 0.69889 4.16366 0.54595 0.54
"Gaia EDR3 5597787870832799616" 14.22484 0.69427 5.67703 0.65115 3.98594 0.53481 0.63
"Gaia EDR3 5597784469210897792" 14.33552 0.73666 5.45043 0.60569 3.82306 0.52790 0.63
"Gaia EDR3 5597787870832800384" 14.37541 0.78584 5.37345 0.59221 3.75600 0.52728 0.60
"Gaia EDR3 5597782991750357248" 14.45172 2.14271 5.06723 0.57354 3.51052 0.51913 0.51
"Gaia EDR3 5597788691161543040" 14.54798 0.76105 5.07228 0.55947 3.52935 0.50560 0.61
"Gaia EDR3 5597787767753599104" 14.64179 0.76182 4.90036 0.55024 3.38372 0.48602 0.62
"Gaia EDR3 5597788729826269312" 14.68678 0.72984 4.82553 0.54109 3.34296 0.47975 0.64
