id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
122 3746.28 2471.8 13.483 0.019 0.244 0.026 -0.084 0.032 0.69 0.04 118.21477094980268 -26.904950297007137 5.7884
244 1401.0 1631.65 14.106 0.029 0.36 0.038 0.059 0.031 0.972 0.037 118.53374657356669 -27.004167851127793 7.9511
453 1191.87 1899.87 14.618 0.03 0.564 0.036 0.234 0.03 1.068 0.043 118.56180707269104 -26.97153880671614 6.1149
1293 4109.89 3620.42 16.119 0.022 0.461 0.029 -0.153 0.026 0.938 0.054 118.16418135517888 -26.766473888744176 10.6047
5083 4106.97 3375.29 17.866 0.017 0.638 0.025 -0.149 0.035 1.184 0.03 118.16485075583468 -26.796100847015005 11.1711
5820 4107.4 4037.47 17.95 0.027 0.892 0.036 0.15 0.042 1.372 0.038 118.16405382836984 -26.716060871382155 17.8456
7858 2.232 469.939 18.722 0.043 1.237 0.083 "" "" 2.148 0.06 118.72472637228796 -27.143196084849382 6.2159
8848 4077.66 29.82 19.31 0.079 1.414 0.112 "" "" 3.431 0.096 118.17255706415625 -27.20045230364541 7.5928
9092 4111.76 3627.62 19.537 0.072 -0.019 0.087 "" "" "" "" 118.16391973730404 -26.765605456961893 13.4983
9373 4017.08 2026.6 19.043 0.115 0.794 0.135 -0.373 0.129 1.613 0.129 118.17854492048849 -26.959033032261072 6.6401
10749 4084.48 38.17 19.285 0.083 1.857 0.155 "" "" 2.047 0.099 118.17162290443346 -27.199449794565748 9.1894
11950 502.723 3563.9 19.024 0.132 -0.17 0.182 "" "" 0.126 0.146 118.65340473921358 -26.769714626991657 7.3743
13312 32.409 4016.47 20.487 0.085 0.5 0.128 "" "" 3.544 0.109 118.71667822225484 -26.714542426304558 6.1565
13361 4105.06 3704.17 20.093 0.029 1.502 0.082 "" "" 2.662 0.038 118.16474292399103 -26.756345875419104 12.4542
13848 4108.62 3347.82 19.721 0.024 1.189 0.045 "" "" 1.735 0.039 118.16465764368883 -26.799422900852086 6.9982
14292 2.588 39.515 20.163 0.052 0.277 0.077 "" "" 1.954 0.069 118.72515820412801 -27.195223547792587 9.1357
14432 1326.06 1770.95 20.199 0.449 0.254 0.64 "" "" "" "" 118.54375365002066 -26.987255485163303 7.8491
15545 4108.91 3227.17 19.958 0.032 1.021 0.048 "" "" 1.562 0.041 118.1647528941424 -26.814006648296925 13.7830
17910 41.522 4018.51 20.466 0.09 0.707 0.152 "" "" 1.888 0.179 118.7154401519879 -26.714304915485773 6.9771
18704 3770.44 2288.92 20.994 0.522 0.466 0.56 "" "" 2.189 0.494 118.21169865296426 -26.927079802407995 5.6586
18795 49.364 4024.21 20.578 0.111 0.663 0.157 "" "" 1.697 0.118 118.7143703568839 -26.713623740177763 9.4200
20150 53.304 4059.16 20.654 0.09 0.745 0.142 "" "" 1.489 0.12 118.71379707744823 -26.709403113208253 9.6866
20348 2082.09 3831.79 20.082 0.219 -0.48 0.254 "" "" 0.462 0.212 118.43893128506674 -26.738905984481015 8.1207
20449 205.863 1266.53 21.537 0.085 -0.322 0.103 "" "" "" "" 118.69622385785489 -27.047111596094794 10.1059
20665 4107.32 3334.97 20.708 0.045 1.066 0.089 "" "" 1.654 0.06 118.16484826724587 -26.800974838688226 7.8689
20988 1550.35 1413.4 21.207 0.045 -0.116 0.069 -0.769 0.097 1.444 0.059 118.51373697658745 -27.03069730420072 12.5106
21125 380.1 3721.64 21.171 0.577 0.065 0.617 "" "" 1.151 0.55 118.66985743859084 -26.75052587268991 7.5303
21129 1318.37 1650.1 21.466 0.13 -0.341 0.257 "" "" 2.795 0.182 118.54493127459813 -27.00185546304715 7.1148
21277 973.895 292.754 21.741 0.098 -0.358 0.117 "" "" 2.563 0.108 118.59315883150668 -27.16558048582491 5.1855
21306 4110.72 2769.89 20.698 0.094 0.815 0.266 "" "" 1.275 0.131 118.16501750811028 -26.869281753261976 9.9072
22039 172.655 4072.3 21.009 0.084 0.744 0.139 "" "" 1.796 0.118 118.69759748227688 -26.707933645926847 10.1058
22456 1640.29 505.152 21.675 0.399 0.221 0.599 "" "" 2.281 0.379 118.50255349004154 -27.140570491568333 7.3851
22496 1164.78 1650.15 21.592 0.209 -0.048 0.263 "" "" "" "" 118.5657592361049 -27.00169651494252 7.7042
23053 4108.75 2871.14 20.977 0.064 1.166 0.114 "" "" 1.542 0.098 118.16517171828829 -26.857041290627137 7.2571
23165 169.567 4070.03 21.241 0.076 0.512 0.137 "" "" "" "" 118.69801877149868 -26.708204955891333 9.9433
23619 2682.7 975.476 21.329 0.073 1.063 0.146 "" "" 1.836 0.077 118.3606698456165 -27.084758263775562 9.1630
23750 2607.07 3528.1 20.146 0.555 1.796 0.596 "" "" 0.554 0.525 118.36807859523333 -26.776136872899567 14.7331
23768 896.516 957.707 21.547 0.102 1.009 0.637 "" "" 2.016 0.104 118.60291032600104 -27.085127864671744 10.8909
23799 3030.66 2082.75 21.587 0.061 0.114 0.092 -0.8 0.133 1.705 0.072 118.31224863322744 -26.951263935421593 10.2816
23915 544.934 3214.82 21.5 0.075 0.652 0.141 "" "" 1.892 0.076 118.64806996880627 -26.811951376272017 5.2236
24035 3715.64 3224.93 21.424 0.062 0.919 0.138 "" "" 1.824 0.067 118.218085911329 -26.813885891745215 6.0929
24064 1646.86 1403.79 21.896 0.105 0.523 0.491 "" "" 2.285 0.105 118.50066017750187 -27.03195498338385 5.9568
24152 2149.0 1097.06 21.516 0.086 0.483 0.129 "" "" 1.837 0.094 118.43290816300224 -27.069530590984375 8.6499
24268 301.208 3785.56 22.0 0.1 -0.323 0.125 "" "" 2.086 0.107 118.68048451864868 -26.742721061133757 7.3950
24278 875.438 798.763 21.832 0.103 0.725 0.223 "" "" 2.222 0.106 118.60594596036319 -27.104319091832622 5.9256
24477 3336.84 264.598 21.483 0.099 1.264 0.214 "" "" 1.802 0.106 118.27275622958726 -27.171336213865015 8.2864
24506 1242.48 997.972 21.534 0.076 1.153 0.186 "" "" 1.866 0.085 118.5559499618444 -27.080605289186256 6.4977
24575 1422.56 496.183 22.229 0.17 -0.083 0.58 "" "" 2.472 0.167 118.53208940229153 -27.141437853175145 7.1942
24598 20.639 11.45 21.597 0.104 0.385 0.188 "" "" "" "" 118.7227416505045 -27.198633849500848 6.6718
24744 562.703 2029.04 21.5 0.088 0.607 0.133 "" "" 1.578 0.098 118.64698300775548 -26.95529914224053 7.8850
24788 2730.12 487.986 21.845 0.104 -0.091 0.133 "" "" 1.543 0.118 118.35478308045901 -27.143730381349318 9.2733
24809 56.887 157.542 21.726 0.101 0.222 0.127 -0.38 0.209 1.521 0.109 118.71766317982612 -27.181011198404992 11.0152
24851 769.89 1447.77 21.628 0.095 1.181 0.228 "" "" 1.829 0.103 118.61953518043943 -27.02576588563128 9.0304
24853 1870.16 1301.08 21.465 0.083 0.946 0.14 "" "" 1.585 0.091 118.4704934994652 -27.044592264207758 5.0530
24881 2858.98 2040.98 21.464 0.082 0.814 0.137 "" "" 1.493 0.101 118.33557638895789 -26.956141932435504 10.3293
24889 613.264 1459.64 21.778 0.103 0.79 0.176 "" "" 2.004 0.111 118.64076166313511 -27.024175183356512 6.3696
24915 2276.04 2312.27 21.514 0.072 1.058 0.153 "" "" 1.636 0.082 118.41432505260697 -26.922769663197734 7.8752
24926 2070.12 556.395 22.123 0.109 0.074 0.392 "" "" 2.311 0.113 118.44420798858765 -27.13480445197913 14.9961
24928 801.41 1858.52 21.701 0.108 0.09 0.471 "" "" 1.798 0.112 118.61480265618471 -26.976148233209923 14.7692
24946 2524.79 1775.88 21.5 0.038 0.932 0.13 0.176 0.584 1.433 0.068 118.38119089362445 -26.987852954980603 5.3131
24948 458.151 132.892 21.82 0.086 0.603 0.51 "" "" 2.027 0.095 118.66327610702953 -27.184390217504095 8.6966
24967 2825.54 1612.34 21.399 0.092 0.957 0.151 "" "" 1.362 0.111 118.34058923543932 -27.007920110865015 5.2899
24991 1030.72 2124.34 22.07 0.11 0.158 0.175 "" "" 2.241 0.12 118.58340990490339 -26.944245769487914 5.3309
25041 664.175 1634.98 21.522 0.075 0.91 0.159 "" "" 1.506 0.092 118.63366214970242 -27.003031804476308 10.1445
25056 1975.75 2084.06 21.778 0.094 0.733 0.188 "" "" 1.868 0.102 118.45530130123394 -26.950055389305877 9.0609
25067 1720.1 918.667 21.683 0.068 1.082 0.186 "" "" 1.803 0.082 118.49126937615522 -27.09066669673476 5.9777
25126 856.039 2165.31 21.747 0.117 1.138 0.261 "" "" 1.822 0.127 118.60705232918312 -26.93911965684147 10.0334
25143 1242.01 512.965 21.845 0.111 0.216 0.503 "" "" 1.86 0.121 118.55655468937708 -27.13922960017191 13.1580
25214 822.725 1395.13 22.227 0.117 0.09 0.195 "" "" 2.241 0.124 118.61242905335672 -27.03218129678676 5.4641
25523 1552.92 3061.42 22.268 0.272 0.574 0.415 "" "" 0.572 0.425 118.51155021176766 -26.83149694792037 10.2387
820 1301.05 3760.22 16.089 0.111 0.39 0.162 -0.038 0.14 2.873 0.113 118.5449263102555 -26.746779389402764 9.7178
1215 1689.57 4073.55 17.217 0.218 -0.1 0.281 0.117 0.208 3.244 0.208 118.49189043117637 -26.70929269706464 11.6156
1458 1443.3 3125.87 18.022 0.212 1.3 0.446 "" "" 3.656 0.201 118.52634366018175 -26.823597482262077 12.2219
583 909.827 4047.35 14.95 0.051 0.546 0.057 0.334 0.03 1.226 0.058 118.59765896581722 -26.71168333581591 10.0305
2180 278.705 4082.19 16.24 0.058 2.76 0.205 "" "" 1.487 0.07 118.68320523292685 -26.70684377780545 5.5468
1159 3359.76 3857.08 15.796 0.018 0.628 0.023 0.045 0.023 "" "" 118.26564093091284 -26.737121045488088 10.3750
2787 3042.9 4089.9 18.421 0.158 -0.011 0.214 "" "" 3.318 0.153 118.3083499553019 -26.70866369468663 10.6562
2760 3051.31 2553.35 19.096 0.258 0.875 0.451 "" "" 3.816 0.245 118.30892340829735 -26.894401147344293 7.2590
3229 926.682 4066.8 17.191 0.105 0.464 0.177 -0.082 0.168 0.981 0.133 118.59535159953977 -26.70934911456287 10.3615
3364 565.556 3612.46 18.165 0.082 0.731 0.192 "" "" 2.842 0.082 118.64482992273966 -26.763907533793578 9.7884
3781 863.478 3797.85 17.601 0.076 0.383 0.11 0.103 0.106 "" "" 118.604222556372 -26.74179527871181 12.7033
5027 319.092 3960.62 18.629 0.129 -0.07 0.139 1.005 0.06 3.627 0.13 118.67786403963218 -26.72157864742519 7.3105
6885 1449.31 4059.19 18.102 0.204 0.896 0.297 -0.088 0.286 0.988 0.222 118.52448760268949 -26.710789261450955 10.7872
7025 1157.35 3701.1 19.223 0.274 -0.122 0.368 0.193 0.266 "" "" 118.56447910968605 -26.75378240694867 6.9763
7292 2062.29 4051.2 19.223 0.183 -0.414 0.249 "" "" "" "" 118.44137158477082 -26.712365289176507 10.1296
8384 116.212 3899.91 18.639 0.153 1.649 0.174 -0.991 0.084 2.304 0.164 118.70544388808807 -26.72871493894082 11.9282
8504 1473.18 3888.11 19.027 0.103 0.217 0.146 0.778 0.147 "" "" 118.52144147005669 -26.73149216390576 17.0876
309 4074.6 1936.37 14.33 0.026 0.319 0.034 0.091 0.037 0.897 0.039 118.17084539944629 -26.969996764478324 7.7061
9332 1551.01 3988.39 19.512 0.12 -0.068 0.15 0.501 0.144 1.138 0.215 118.51077525182568 -26.719448392922757 9.6367
9738 1285.08 4001.13 19.052 0.176 0.338 0.333 0.202 0.361 0.916 0.228 118.54682324993917 -26.717643714105836 16.5713
10275 1979.19 4076.42 19.477 0.199 0.105 0.287 0.673 0.249 "" "" 118.45261247004746 -26.709234115616862 12.8179
3848 3898.66 3877.11 17.15 0.019 0.936 0.027 0.237 0.032 1.3 0.025 118.19253949181099 -26.735236431943324 5.7497
11051 821.311 3253.58 19.455 0.131 0.326 0.318 "" "" "" "" 118.61054783027305 -26.80754143991384 7.1586
12052 1446.34 1833.55 18.769 0.27 2.279 0.41 "" "" "" "" 118.5273729058958 -26.979808510333438 10.8431
12342 1808.09 4009.95 19.616 0.103 0.292 0.151 1.194 0.195 1.229 0.163 118.47588912434075 -26.717098280019883 8.8228
12371 511.564 282.291 19.238 0.111 1.451 0.168 "" "" "" "" 118.65586623802673 -27.166384924176956 15.0952
12585 1130.22 3960.16 19.494 0.093 0.668 0.15 1.101 0.189 "" "" 118.56786918845592 -26.722441756767562 16.8366
12783 2718.46 1500.49 19.761 0.058 0.973 0.1 "" "" 2.118 0.078 118.3552348902657 -27.02133327561536 17.5793
13029 24.704 1010.99 20.62 0.183 -0.281 0.201 "" "" 2.244 0.347 118.72107548653904 -27.07781941025236 8.6704
14375 3857.94 1.548 20.409 0.154 0.303 0.168 "" "" 2.265 0.15 118.20238436728984 -27.20365091665945 21.3265
13874 3491.1 2807.19 19.787 0.114 0.813 0.135 "" "" "" "" 118.24900126920016 -26.864156295651604 22.2259
14806 1233.38 4000.25 19.272 0.113 0.051 0.159 0.324 0.139 -0.488 0.118 118.55383515992057 -26.717698614083492 8.5724
16771 1012.85 4026.49 20.142 0.138 0.916 0.17 "" "" 1.412 0.325 118.58371150108066 -26.714307332418173 14.7010
17089 1314.62 3835.95 20.222 0.163 0.732 0.237 "" "" 1.08 0.268 118.54300163947379 -26.737639104130437 22.4813
17246 1423.06 3931.13 20.224 0.198 0.668 0.27 "" "" 1.074 0.267 118.52819015213812 -26.726242264359307 8.9342
17998 3845.84 3125.91 20.259 0.574 0.964 0.65 "" "" "" "" 118.200540212792 -26.825984462766375 8.6294
18105 737.112 3250.65 20.21 0.16 1.826 0.426 "" "" "" "" 118.62196914801251 -26.807811777842314 15.7829
19205 406.915 313.545 20.812 0.08 0.18 0.1 "" "" 1.149 0.105 118.6700226074185 -27.162502943560302 9.2757
19661 111.295 3920.25 18.974 0.235 2.654 0.258 "" "" 0.369 0.341 118.70608798426416 -26.72625146493582 14.7242
19777 1780.76 4081.66 21.125 0.135 0.045 0.177 "" "" "" "" 118.47951530067944 -26.708403191152737 13.3100
19801 14.776 3480.54 19.88 0.414 1.61 0.445 "" "" "" "" 118.71966718925637 -26.779304922095513 5.2556
20390 16.674 1083.63 21.702 0.186 -0.403 0.211 "" "" "" "" 118.72208339306732 -27.069031122331268 5.0010
22708 303.419 1258.23 21.312 0.068 0.328 0.097 "" "" "" "" 118.68300375169191 -27.048211971553236 19.7888
22893 2535.24 2792.45 21.458 0.064 -0.042 0.089 -0.738 0.124 1.331 0.08 118.3786398774318 -26.864986386508786 16.4012
23628 681.136 938.523 21.85 0.097 -0.24 0.131 "" "" 2.253 0.1 118.63213895381448 -27.087232294599346 5.0544
23789 1273.93 255.784 21.969 0.132 -0.337 0.16 "" "" 2.255 0.132 118.55251295287404 -27.17034789655957 5.7705
23812 1157.08 3970.51 20.566 0.21 0.63 0.243 "" "" -0.108 0.216 118.56421521556602 -26.721217450056365 10.1971
23831 245.627 4075.21 20.773 0.269 0.978 0.462 "" "" 1.169 0.256 118.68769865673329 -26.707654548595567 9.9390
23965 1060.32 3758.05 20.744 0.142 0.554 0.179 "" "" 0.829 0.141 118.57757362037808 -26.74680203075212 12.8111
24248 2457.74 3898.8 19.639 0.206 -0.034 0.32 "" "" -0.194 0.199 118.38791543260587 -26.731180184993775 11.5044
24395 2321.62 1030.77 22.065 0.122 1.063 0.247 "" "" 2.47 0.124 118.409573469315 -27.07771518374358 11.8591
24677 844.378 842.511 21.684 0.102 0.944 0.198 "" "" 1.944 0.106 118.61010914384715 -27.099000170869353 9.8620
24680 1737.97 3981.93 21.626 0.227 -0.181 0.387 "" "" 1.061 0.344 118.48542920462629 -26.720415364974606 12.0926
24776 1164.25 1132.96 21.666 0.071 0.161 0.108 "" "" 1.556 0.088 118.56640799802588 -27.064210856976015 14.8545
25085 1897.27 3992.17 21.59 0.166 0.15 0.384 "" "" 1.578 0.164 118.4638154442291 -26.719336203223353 15.3506
25142 1676.55 1409.23 22.036 0.093 -0.004 0.147 "" "" "" "" 118.49662791102247 -27.031326985812992 22.3725
22 3102.98 503.091 11.344 0.052 0.797 0.062 0.882 0.055 1.522 0.062 118.30420347048121 -27.142275773863332 0.3190
151 3330.51 3832.54 13.327 0.033 0.733 0.039 0.347 0.024 1.121 0.045 118.26963483464766 -26.740058176179165 0.9261
159 2226.38 2256.04 13.74 0.02 0.114 0.033 0.156 0.032 0.717 0.031 118.42112206157668 -26.929516974850138 2.2260
164 4004.79 709.92 13.536 0.033 0.485 0.041 0.101 0.041 1.097 0.041 118.18168020719928 -27.11817329155111 1.4410
283 2417.25 3633.06 14.28 0.034 0.5 0.04 0.011 0.028 1.071 0.051 118.39370261107636 -26.76326095592819 0.3400
308 493.838 3054.38 14.662 0.17 -0.29 0.183 1.698 0.04 "" "" 118.65517794977917 -26.831293547064092 2.2005
423 287.33 4082.28 14.855 0.041 0.208 0.053 0.158 0.063 "" "" 118.68203551440521 -26.70684148563697 1.4601
498 4015.26 122.905 14.325 0.031 1.005 0.038 1.541 0.041 1.793 0.046 118.18091516719244 -27.189138617689885 1.6617
617 3586.93 596.4 15.041 0.031 0.417 0.036 0.275 0.039 1.069 0.036 118.23847194779003 -27.13147892329807 1.0054
701 2889.31 2450.31 15.188 0.021 0.558 0.024 0.062 0.021 1.109 0.028 118.33100682201547 -26.90669473653133 4.3581
1060 3983.37 3386.69 15.699 0.014 0.447 0.021 -0.075 0.027 0.866 0.026 118.18159917629528 -26.794599834139206 0.7209
1264 2795.92 253.389 15.378 0.031 1.212 0.04 0.783 0.042 1.933 0.047 118.34612175742959 -27.17215258609485 0.5637
1593 3885.19 982.508 16.029 0.02 0.719 0.026 0.102 0.032 1.277 0.029 118.19759485888244 -27.085105399475495 1.0776
1878 3304.53 549.219 16.23 0.028 0.758 0.034 0.195 0.046 1.289 0.037 118.27682024574575 -27.136900744238492 0.6235
2097 1319.93 3264.42 16.485 0.02 0.525 0.026 0.179 0.029 1.286 0.025 118.54291906377988 -26.806727558047054 0.5328
2486 3810.61 2532.79 16.672 0.018 0.638 0.025 -0.026 0.04 1.226 0.026 118.20597926349653 -26.897642229210582 0.6155
2516 3902.63 760.477 16.689 0.023 0.51 0.03 0.292 0.038 1.109 0.029 118.19547751736562 -27.11196055629977 0.3464
2611 3840.5 3680.67 16.732 0.016 0.719 0.023 -0.084 0.025 1.265 0.021 118.20064556249997 -26.75892303744251 1.1716
3127 3673.3 2948.42 16.888 0.013 0.857 0.017 0.521 0.028 1.351 0.021 118.22413597760486 -26.847266634867456 0.1737
3253 4031.49 2769.53 17.049 0.014 0.627 0.021 -0.073 0.041 1.193 0.021 118.17576212353977 -26.869246391603042 0.7060
3258 3802.15 1371.79 16.88 0.013 0.978 0.02 0.608 0.029 1.399 0.025 118.20842152166172 -27.037968623355727 0.5235
3344 2151.11 285.655 16.902 0.029 0.933 0.039 0.65 0.046 1.464 0.043 118.43352709658632 -27.16761053108829 0.5877
3663 1263.55 3788.6 17.238 0.025 0.602 0.034 0.154 0.036 1.251 0.03 118.5499799505549 -26.74331165017377 0.4477
10308 3896.6 3881.39 20.067 0.17 -0.415 0.208 "" "" "" "" 118.1928140700394 -26.734717040041392 1.7359
4249 2153.21 3433.5 17.198 0.025 1.153 0.029 1.317 0.052 1.814 0.033 118.42973111625108 -26.787119727596004 0.4946
4574 1355.44 3866.53 17.522 0.026 0.805 0.035 0.188 0.041 1.428 0.029 118.53743201513925 -26.73398341230021 0.6224
5595 4081.28 3507.46 17.91 0.016 0.946 0.026 0.133 0.041 1.595 0.023 118.16818709626287 -26.780099343455596 1.2811
5758 3503.25 3960.68 17.868 0.036 1.456 0.044 0.908 0.062 2.128 0.039 118.24606699477242 -26.72474133943718 0.6666
5927 2538.33 394.214 17.831 0.028 1.3 0.038 1.319 0.071 1.937 0.038 118.38089591568803 -27.154874052464585 0.6494
5930 619.255 514.855 18.032 0.03 0.731 0.043 0.562 0.053 1.546 0.038 118.6410030786418 -27.138381173018225 0.4289
6557 3366.36 1148.66 18.208 0.02 0.821 0.026 0.167 0.038 1.322 0.028 118.2677669742765 -27.064505413944975 0.7193
7670 477.964 3753.09 18.488 0.029 1.007 0.039 0.45 0.058 1.791 0.039 118.65655122681447 -26.746821809768193 0.9768
22715 137.475 5.989 22.041 0.141 -0.317 0.163 "" "" 3.342 0.189 118.70690385733144 -27.199410257360277 2.2206
2602 856.412 4078.57 17.725 0.086 0.845 0.236 -0.069 0.275 2.846 0.087 118.60486763801264 -26.707856470218342 4.5558
3824 643.33 3948.08 17.757 0.108 0.375 0.119 -0.338 0.074 "" "" 118.63390879303068 -26.723417199147423 4.1661
