id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
22081 2177.58 1320.93 21.479 0.076 1.17 0.167 "" "" 1.609 0.096 116.18510403322085 -28.461038661771696 6.3242
22145 3082.05 501.413 21.623 0.086 1.115 0.219 "" "" 1.794 0.099 116.06187223805985 -28.561115131647384 12.3462
22157 1037.71 1425.53 21.545 0.095 0.968 0.177 "" "" 1.644 0.107 116.34131819428293 -28.4473129673479 8.0289
22223 1554.1 1009.04 21.623 0.113 1.488 0.279 "" "" 1.769 0.12 116.27091096412009 -28.498225961693944 9.1467
22228 3818.52 2418.93 20.331 0.479 2.157 0.746 "" "" 0.445 0.456 115.95899675110677 -28.329606807041426 8.7845
22260 1500.42 1284.82 21.522 0.11 1.365 0.211 "" "" 1.634 0.117 116.27800211805597 -28.4647817418111 6.9627
22279 1348.73 254.705 21.591 0.09 1.29 0.33 "" "" 1.669 0.094 116.29981378213496 -28.58937779587203 9.2977
22301 1468.29 675.258 21.632 0.107 0.897 0.191 "" "" 1.719 0.12 116.28300569063276 -28.53856399718216 6.1058
22311 2920.41 1001.13 21.859 0.133 0.943 0.272 "" "" 1.985 0.138 116.08354907175625 -28.500453923684855 5.6219
22406 1940.21 915.298 21.643 0.107 0.803 0.165 "" "" 1.662 0.116 116.21805343790393 -28.509936152715138 7.8978
22412 1963.49 1244.53 21.845 0.106 0.137 0.141 "" "" 0.842 0.152 116.21453825529872 -28.470090950105465 10.4448
22477 489.178 596.958 21.686 0.077 0.641 0.178 "" "" 1.703 0.093 116.41735347150436 -28.547135184521753 5.0254
22479 1273.0 177.056 21.989 0.112 -0.484 0.198 "" "" 1.877 0.122 116.31027515651479 -28.598709947118426 7.8650
22490 1588.41 897.829 21.489 0.105 1.182 0.193 "" "" 1.487 0.116 116.26631483769923 -28.51172444428733 5.3621
22511 1078.64 739.739 22.17 0.109 -0.277 0.148 "" "" 2.001 0.116 116.3363773541907 -28.530393742366282 5.6455
22517 3600.56 3092.67 20.307 0.381 1.03 0.443 "" "" -0.285 0.373 115.98822650461722 -28.247820723754877 6.4893
22551 1841.66 69.236 21.512 0.082 1.363 0.319 "" "" 1.468 0.104 116.23239733677782 -28.61229454966605 7.8560
22588 872.382 1409.6 22.108 0.14 0.118 0.193 "" "" "" "" 116.3640061493978 -28.449088247158873 9.3229
22591 1712.76 1703.62 21.763 0.094 1.0 0.198 "" "" 1.806 0.1 116.248472310219 -28.4142664639439 9.9501
22624 1648.51 48.335 21.781 0.097 0.078 0.238 "" "" 1.719 0.107 116.25890554846485 -28.61464590636191 6.4786
22669 1912.68 1799.17 21.705 0.106 1.292 0.233 "" "" 1.781 0.12 116.2209625304164 -28.40288212131779 5.1992
22678 2046.97 2395.05 21.744 0.08 0.712 0.157 "" "" 1.723 0.09 116.20196260139205 -28.330851594241306 7.3645
22679 499.597 678.799 22.134 0.103 -0.159 0.139 "" "" 1.875 0.113 116.41584444724367 -28.53723470838008 5.1321
22770 3994.9 362.331 21.646 0.082 1.263 0.212 "" "" 1.662 0.107 115.93682437926286 -28.578805225954337 5.1463
22800 3416.64 4033.74 21.716 0.069 0.559 0.166 "" "" 1.608 0.082 116.01252616497504 -28.133695180176467 8.7903
22809 3317.09 1398.11 21.992 0.112 0.958 0.252 "" "" 1.991 0.115 116.0287610854349 -28.452752203444994 6.2612
22818 2401.31 2529.7 21.708 0.082 1.249 0.227 "" "" 1.703 0.095 116.15323803280843 -28.3148761663802 7.4499
22834 137.195 2489.93 21.89 0.115 -0.172 0.53 "" "" 1.836 0.123 116.46376761811416 -28.317587186683973 5.4325
22897 728.935 239.609 21.941 0.105 -0.418 0.22 "" "" 1.745 0.116 116.38482449234336 -28.590629608777842 8.4596
22916 3690.51 244.648 21.729 0.079 1.105 0.216 "" "" 1.748 0.112 115.97868239947483 -28.592772546580942 11.2531
22980 3606.21 1065.76 21.663 0.084 1.326 0.253 "" "" 1.571 0.1 115.98943818460668 -28.493265376463352 7.3923
22985 1221.89 432.046 21.964 0.135 0.991 0.31 "" "" 1.931 0.142 116.31703424761223 -28.567785586343927 5.6818
22995 3223.59 2134.61 21.925 0.112 0.222 0.614 "" "" 1.831 0.113 116.04086144236699 -28.363482184242137 14.3620
23012 3247.2 1639.56 21.903 0.102 1.257 0.323 "" "" 1.901 0.114 116.03810885179507 -28.423449948979073 10.1535
23082 2947.75 1168.8 21.865 0.116 0.881 0.235 "" "" 1.777 0.128 116.0796354595414 -28.480176107102924 7.7289
23130 1273.65 1668.85 21.842 0.115 1.194 0.243 "" "" 1.733 0.119 116.30872396909035 -28.418068576689592 11.3161
23146 2963.36 97.281 21.886 0.096 0.765 0.333 "" "" 1.827 0.121 116.0785449280678 -28.609941313172556 5.7528
23166 2242.23 1420.01 21.739 0.093 1.433 0.28 "" "" 1.621 0.107 116.17614111681218 -28.449101121463332 6.8377
23265 3257.19 1602.15 21.837 0.079 1.449 0.366 "" "" 1.773 0.102 116.03677553194753 -28.42798922872194 7.3794
23284 2999.02 3161.93 22.024 0.098 0.184 0.594 "" "" 1.902 0.108 116.07065113170579 -28.23887480252257 6.2141
23300 3274.31 2186.25 21.742 0.092 1.331 0.233 "" "" 1.562 0.104 116.03385531797804 -28.357276224381078 11.3757
23308 1082.13 300.115 22.014 0.123 1.152 0.336 "" "" 1.914 0.134 116.33632960959373 -28.583631245242046 5.0815
23313 1107.3 1185.78 21.763 0.098 1.283 0.231 "" "" 1.587 0.11 116.33200990247751 -28.476409089202118 5.3495
23332 633.022 493.439 22.306 0.089 -0.405 0.149 "" "" 1.994 0.103 116.39772880341815 -28.559804063542163 5.4728
23353 2595.62 2706.29 20.29 0.466 0.092 0.707 "" "" 0.031 0.446 116.12641815916868 -28.293673440312133 6.7529
23384 3253.43 2639.77 21.912 0.087 -0.046 0.55 "" "" 1.659 0.114 116.03627423049494 -28.302339882977076 5.6922
23424 1736.25 108.492 20.0 0.481 1.606 0.584 "" "" -0.221 0.457 116.24681431961105 -28.607443033517825 5.5269
23447 558.173 1938.77 22.099 0.111 1.109 0.312 "" "" 1.972 0.121 116.40657674787957 -28.38471873299702 8.5187
23464 4092.25 3852.6 21.944 0.095 0.624 0.217 "" "" 1.69 0.115 115.9200535584929 -28.15625755482916 14.2865
23481 888.182 167.342 22.309 0.138 -0.147 0.207 "" "" 1.911 0.156 116.36305689683293 -28.599528488524204 5.7360
23598 1140.3 50.16 22.48 0.156 -0.076 0.28 "" "" 2.195 0.16 116.3285974070536 -28.613952478762233 9.8120
23631 2806.6 758.077 22.278 0.113 -0.392 0.418 "" "" 2.022 0.128 116.09939467311399 -28.529779516580906 10.4765
922 378.026 309.273 15.719 0.036 1.13 0.051 0.494 0.052 1.138 0.057 116.43287830871485 -28.58186775632792 9.9129
1934 1366.54 3962.07 17.145 0.165 0.872 0.201 -0.129 0.139 "" "" 116.29373795398921 -28.14046793583091 11.4036
4132 2505.71 3713.06 17.969 0.021 0.87 0.042 0.961 0.062 1.276 0.036 116.13776131842688 -28.17167964830502 5.9663
5317 3958.87 110.788 18.472 0.023 0.995 0.041 0.244 0.077 1.316 0.046 115.94201189989298 -28.60923118172592 6.1702
5385 81.8 3980.31 18.354 0.047 2.195 0.15 "" "" 1.427 0.053 116.46990357721977 -28.137064938076787 5.5927
5762 391.744 2592.77 18.71 0.158 0.861 0.253 "" "" "" "" 116.42875911685131 -28.30537087854935 8.9418
5270 33.623 178.032 18.326 0.043 1.394 0.075 0.354 0.099 1.538 0.053 116.48023682051823 -28.597439624462062 9.4112
6409 3710.86 44.813 18.742 0.021 1.315 0.05 "" "" 1.354 0.044 115.97608754197762 -28.61698956994016 6.7522
6506 431.7 1149.94 19.275 0.079 1.483 0.108 "" "" 2.17 0.078 116.42469379127087 -28.480120925018873 5.5865
6684 3979.35 1364.46 18.877 0.028 1.019 0.043 0.178 0.057 1.477 0.041 115.93797468904732 -28.45744254049415 5.5528
6201 3630.17 333.859 18.752 0.024 1.516 0.046 "" "" 2.113 0.041 115.98686972506106 -28.58191385564194 6.0511
7033 659.278 90.266 18.696 0.055 1.522 0.073 0.478 0.108 1.46 0.064 116.39452330715896 -28.608648862731403 8.1994
3779 140.364 428.558 17.746 0.04 1.195 0.059 0.201 0.075 1.345 0.051 116.46535330621818 -28.5672025513743 5.2727
7260 552.538 272.008 19.837 0.078 -0.351 0.094 0.531 0.076 1.783 0.084 116.40898303525395 -28.5865424194071 6.4125
7537 1122.36 47.74 19.032 0.048 1.753 0.075 "" "" 1.848 0.058 116.33105999019209 -28.614228840379198 6.3672
7585 154.768 693.785 18.914 0.045 1.308 0.08 0.406 0.1 1.354 0.055 116.46311806738187 -28.535099490413444 8.5311
3293 69.514 111.193 17.416 0.039 1.303 0.059 0.307 0.069 1.19 0.047 116.47538039555302 -28.605566552277452 11.2220
7631 436.06 149.875 18.834 0.058 1.476 0.073 0.81 0.102 1.528 0.067 116.42507600520987 -28.601223277488426 8.9486
7455 3599.0 630.822 19.06 0.033 1.021 0.048 0.337 0.077 1.514 0.045 115.99085319760366 -28.545925502754336 5.4589
7657 3600.94 48.488 19.089 0.028 1.075 0.05 0.363 0.09 1.438 0.048 115.99115787760216 -28.6164423797827 7.2378
3541 3472.75 158.634 17.696 0.023 1.483 0.047 1.08 0.093 1.949 0.044 116.00862933125201 -28.602985586622104 5.2618
323 2490.25 760.851 14.933 0.036 0.413 0.047 0.087 0.041 0.844 0.042 116.14277477902804 -28.529149529316474 5.1461
8812 3748.0 945.528 19.387 0.03 1.112 0.052 0.234 0.101 1.624 0.043 115.97011157265892 -28.507956130394245 5.0103
7933 961.177 328.916 19.127 0.056 1.491 0.083 "" "" 1.671 0.064 116.35288833649365 -28.58003128058107 7.6123
7625 94.877 787.346 19.3 0.052 1.695 0.095 "" "" 2.055 0.06 116.47123955584959 -28.523714473505823 5.0575
9147 197.341 869.592 19.383 0.052 1.243 0.085 0.491 0.147 1.528 0.058 116.45710749489604 -28.51385052177811 6.6567
5151 4037.68 803.132 18.43 0.018 1.306 0.038 "" "" 1.908 0.036 115.93052570940038 -28.525468212741696 6.7279
9528 517.933 524.969 19.468 0.06 1.256 0.101 0.523 0.154 1.557 0.067 116.41348069298907 -28.555879094340302 6.3309
4799 2133.74 4076.99 18.255 0.021 1.147 0.036 0.368 0.062 1.548 0.032 116.18841494750308 -28.127265421289955 5.6816
9814 4086.35 1751.73 20.766 0.237 -0.433 0.274 "" "" "" "" 115.92292163916451 -28.41064731862244 8.4246
10100 3620.8 108.752 19.623 0.027 1.102 0.056 0.198 0.125 1.467 0.048 115.98837530359131 -28.609163448273247 6.5037
10209 212.635 774.824 19.496 0.055 1.113 0.086 0.48 0.109 1.319 0.062 116.45510302254955 -28.52534023697454 8.0556
10473 1720.49 3832.95 20.378 0.038 0.464 0.165 0.937 0.28 2.465 0.042 116.24532537898921 -28.15643216774384 5.5946
9043 130.368 583.334 19.38 0.054 1.406 0.089 "" "" 1.593 0.063 116.46657242302295 -28.548451366823834 5.2120
2277 758.952 708.06 17.02 0.04 1.032 0.056 0.544 0.067 1.404 0.046 116.38024898454711 -28.533932580593284 6.4678
10818 4015.3 586.848 19.762 0.024 0.973 0.057 0.331 0.133 1.292 0.047 115.93380677408365 -28.551637330284333 5.8143
9349 921.511 596.468 19.531 0.056 1.421 0.081 "" "" 1.885 0.065 116.358065737069 -28.54759642031132 5.2218
11164 3694.44 291.203 19.835 0.033 1.227 0.088 0.611 0.228 1.636 0.056 115.97809783009936 -28.58713883505361 6.7969
