# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5601175500517457152" 12.48700 1.52000 1.99795 0.45780 1.67895 0.39862 0.47
"Gaia EDR3 5601174504084978048" 12.51200 1.63300 1.99769 0.45782 1.67858 0.39875 0.46
"Gaia EDR3 5601198418464599424" 12.76500 0.10300 1.96907 0.42044 1.67968 0.39669 0.51
"Gaia EDR3 5601926020282068864" 13.16700 0.30600 1.97287 0.42349 1.67942 0.39655 0.51
"Gaia EDR3 5601175775395305728" 13.27500 0.18000 1.96633 0.41714 1.67515 0.39403 0.51
"Gaia EDR3 5601924611532836864" 13.44800 0.28300 1.96326 0.41405 1.67275 0.38955 0.51
"Gaia EDR3 5601173816890316160" 13.85700 0.27800 1.95104 0.40440 1.66322 0.38309 0.52
"Gaia EDR3 5601175053840856960" 14.31300 0.36900 1.93378 0.39045 1.63546 0.35524 0.52
"Gaia EDR3 5601926123361268224" 14.57400 0.35000 1.91794 0.37817 1.61455 0.34049 0.52
"Gaia EDR3 5601925023849719040" 14.62300 0.23400 1.90975 0.37371 1.60769 0.33945 0.52
"Gaia EDR3 5601924371014653312" 14.72900 1.43500 1.96837 0.43157 1.62527 0.35834 0.42
"Gaia EDR3 5601172579939747072" 14.84000 0.40900 1.89610 0.36136 1.58531 0.32151 0.52
"Gaia EDR3 5601175191279790720" 14.91100 0.29700 1.88974 0.35606 1.57422 0.31265 0.52
"Gaia EDR3 5601926673117061888" 15.29800 0.23600 1.85034 0.32940 1.52547 0.27999 0.51
"Gaia EDR3 5601175947194015360" 15.43900 0.16500 1.82958 0.31837 1.50246 0.26746 0.51
"Gaia EDR3 5601926844915762048" 15.45200 0.19500 1.82788 0.31635 1.50083 0.26635 0.51
"Gaia EDR3 5601175947194019584" 15.46200 0.18700 1.82656 0.31612 1.49983 0.26594 0.51
"Gaia EDR3 5601926192080752128" 15.53300 0.45700 1.82656 0.31437 1.49147 0.25876 0.52
"Gaia EDR3 5601171102470914688" 15.72000 0.55700 1.79709 0.29683 1.45868 0.24269 0.53
"Gaia EDR3 5601925985922333312" 15.77200 0.38900 1.78326 0.29197 1.45066 0.23922 0.52
"Gaia EDR3 5601175122560337152" 15.78200 0.52700 1.78586 0.29203 1.44934 0.23991 0.53
"Gaia EDR3 5601926123361269504" 15.97200 0.41600 1.74931 0.27639 1.41946 0.22774 0.50
"Gaia EDR3 5601926501318392960" 16.01800 0.43000 1.74114 0.27104 1.41212 0.22328 0.51
"Gaia EDR3 5601175878474530816" 16.02100 0.23700 1.73766 0.27090 1.41381 0.22494 0.50
"Gaia EDR3 5601175259999276544" 16.05500 0.39900 1.73324 0.26764 1.40792 0.22382 0.49
"Gaia EDR3 5601176050273215104" 16.05700 0.25700 1.73086 0.26662 1.40884 0.22320 0.50
"Gaia EDR3 5601930796285249920" 16.16200 0.40900 1.71212 0.25919 1.38089 0.21623 0.51
"Gaia EDR3 5601172751738424448" 16.24800 0.47400 1.69773 0.25329 1.36442 0.21008 0.50
"Gaia EDR3 5601926673117062272" 16.32000 0.30400 1.68176 0.24719 1.35160 0.20153 0.49
"Gaia EDR3 5601175363078525952" 16.35000 0.48600 1.67600 0.24505 1.34505 0.20074 0.49
"Gaia EDR3 5601175255689651200" 16.36500 0.47600 1.67212 0.24340 1.34266 0.19981 0.49
"Gaia EDR3 5601175500517456384" 16.43000 0.41500 1.65829 0.23960 1.33223 0.19918 0.47
