EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5538150257058987520,0.017482,-0.052178,118.61899567674,-38.26465981985,0.1646,0.1122,-1.294,0.114,2.117,0.124,18.22435,0.003068,0.89262,0.02116475532577686,18.331,0.031,0.508,0.038,0.359,0.047,0.827,0.039,1.0,1
Gaia EDR3 5538150188339499008,0.025342,-0.047529,118.62900471676,-38.2600093691,0.0284,0.0613,-1.252,0.06,2.299,0.068,17.139042,0.002863,0.816795,0.008549446063927183,17.249,0.029,0.437,0.035,0.228,0.032,0.744,0.034,1.0,1
Gaia EDR3 5538151012973220736,0.012878,-0.025503,118.61312624455,-38.23798572188,0.0822,0.0387,-1.325,0.038,2.08,0.042,16.31328,0.002801,0.876226,0.006013665521127693,16.486,0.023,0.454,0.027,0.199,0.025,0.766,0.029,1.0,1
Gaia EDR3 5538150252754209920,0.022341,-0.040504,118.62518022356,-38.25298457847,0.0735,0.1054,-1.214,0.105,2.12,0.115,18.131216,0.003067,0.843477,0.018439349147949882,18.252,0.03,0.497,0.036,0.348,0.038,0.767,0.038,1.0,1
Gaia EDR3 5538151012973227520,0.006264,-0.024743,118.60470473773,-38.23722726187,0.0491,0.1509,-1.312,0.151,2.329,0.165,18.670673,0.003261,1.042296,0.02834294878801428,18.894,0.028,0.597,0.035,0.482,0.056,0.937,0.04,1.0,1
Gaia EDR3 5538150257055345408,0.022055,-0.041117,118.624815633,-38.2535979087,-0.0256,0.2511,-1.28,0.245,2.277,0.262,19.315773,0.003893,0.966862,0.07819043875052754,19.53,0.041,0.633,0.052,0.427,0.108,1.064,0.05,1.0,1
Gaia EDR3 5538151180467257472,0.036531,-0.002818,118.64322591169,-38.21529343432,0.0599,0.1818,-1.257,0.19,2.083,0.19,18.90918,0.003493,0.969147,0.03327548384321406,19.071,0.029,0.538,0.036,0.448,0.06,0.82,0.041,1.0,1
Gaia EDR3 5538150291418699904,0.023107,-0.022054,118.62614722293,-38.2345343098,0.0458,0.0834,-1.185,0.085,2.242,0.092,17.755146,0.002943,0.810648,0.016753037127637482,17.842,0.026,0.425,0.031,0.223,0.033,0.607,0.039,1.0,1
Gaia EDR3 5538151283546434176,-0.008917,-0.015236,118.58537920986,-38.22771967063,0.0936,0.1605,-1.277,0.16,2.071,0.18,18.706205,0.003293,1.010733,0.024969134966994752,18.866,0.028,0.63,0.035,0.479,0.053,0.894,0.038,1.0,1
Gaia EDR3 5538151390930454784,-0.011886,0.015073,118.58160559443,-38.19741082692,-0.0425,0.1799,-1.367,0.212,2.199,0.207,18.806091,0.003401,1.000496,0.030685542931484854,18.919,0.022,0.509,0.029,0.472,0.047,0.765,0.036,0.98,1
Gaia EDR3 5538151047332956288,0.011064,-0.018748,118.61081452873,-38.23123131041,0.0511,0.057,-1.166,0.056,2.244,0.059,16.633114,0.002901,0.951663,0.02933292595361056,16.791,0.027,0.513,0.034,0.289,0.033,0.813,0.032,1.0,1
Gaia EDR3 5538150287113993216,0.020232,-0.025678,118.62248861133,-38.23815905448,0.1924,0.1283,-1.416,0.129,2.215,0.143,18.459614,0.003145,0.988428,0.03025851351272894,18.59,0.028,0.59,0.034,0.387,0.047,0.866,0.037,1.0,1
