EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5597788145710680320,0.061588,0.029146,119.7917013073,-28.54556923004,0.1772,0.0693,-2.331,0.057,2.925,0.066,17.297592,0.002858,0.95602,0.009602637658476966,17.481,0.009,0.67,0.015,0.465,0.018,0.837,0.014,0.99,1
Gaia EDR3 5597788661106791168,-0.037094,0.023064,119.67936017759,-28.5516624981,0.1804,0.0391,-2.339,0.034,2.941,0.037,16.36691,0.002789,0.809719,0.0064609275649863155,16.52,0.013,0.57,0.018,0.079,0.018,0.685,0.017,1.0,1
Gaia EDR3 5600791801008171008,-0.097735,0.101233,119.61040572915,-28.47345449399,0.1783,0.0815,-2.32,0.073,2.925,0.081,17.708004,0.002915,1.491888,0.024798429668025354,18.191,0.012,1.154,0.019,0.299,0.023,1.44,0.018,0.99,1
Gaia EDR3 5597789142143117184,-0.020846,0.042116,119.69786272594,-28.53261537372,0.1703,0.0285,-2.354,0.025,2.914,0.03,15.741754,0.002774,0.829526,0.005269718208784982,15.917,0.011,0.559,0.016,-0.094,0.017,0.743,0.017,1.0,1
Gaia EDR3 5597788729826269312,-0.04426,0.029744,119.67120602594,-28.54497976079,0.1646,0.018,-2.342,0.016,2.948,0.018,14.686781,0.002766,0.72984,0.004867404339070261,14.851,0.009,0.483,0.017,-0.233,0.018,0.667,0.017,1.0,1
Gaia EDR3 5597787900882757760,-0.019687,0.0102,119.69917491572,-28.56453120156,0.1679,0.024,-2.312,0.021,2.923,0.024,15.311869,0.002768,0.732845,0.005145062973375545,15.477,0.015,0.482,0.018,-0.157,0.014,0.665,0.018,1.0,1
Gaia EDR3 5597788248789914112,0.008244,0.014066,119.73097602711,-28.56066672884,0.1602,0.0349,-2.362,0.028,2.927,0.034,16.14198,0.002781,0.783546,0.005531307621168795,16.305,0.009,0.546,0.014,0.071,0.014,0.627,0.013,1.0,1
Gaia EDR3 5597789142143112320,-0.015011,0.050302,119.70450573488,-28.52443031618,0.1722,0.0117,-2.367,0.01,2.934,0.012,13.402076,0.002761,0.646136,0.004742211403975997,13.547,0.012,0.432,0.018,-0.448,0.019,0.58,0.016,1.0,1
Gaia EDR3 5597787973912004224,0.025639,-0.002883,119.75078574333,-28.57761290078,0.1816,0.0418,-2.325,0.035,2.951,0.039,16.510683,0.002795,0.851052,0.007274541085181937,16.719,0.006,0.559,0.009,0.186,0.011,0.747,0.01,1.0,1
Gaia EDR3 5597788970344430208,-0.038612,0.051591,119.6776439269,-28.52313532442,0.1614,0.025,-2.349,0.021,2.896,0.024,15.425776,0.002768,0.887298,0.005354302288814108,15.635,0.009,0.587,0.013,-0.111,0.014,0.805,0.014,1.0,1
Gaia EDR3 5597787011839364992,-0.068529,-0.016927,119.64354349477,-28.5916377289,0.1851,0.0344,-2.376,0.031,2.925,0.032,15.72458,0.002781,0.797508,0.005519542191160422,15.895,0.006,0.526,0.013,-0.032,0.014,0.721,0.011,1.0,1
Gaia EDR3 5597787630314634880,-0.003872,-0.011502,119.71718094572,-28.58623473668,0.2073,0.0655,-2.339,0.058,2.953,0.059,17.23126,0.002843,0.91968,0.014118679045859778,17.376,0.013,0.739,0.021,0.281,0.032,0.843,0.017,1.0,1
Gaia EDR3 5597787939552274560,-0.006492,0.016594,119.71419883082,-28.55813881605,0.144,0.0276,-2.334,0.023,2.899,0.027,13.531842,0.002772,0.773159,0.0048556257063328105,13.737,0.011,0.477,0.017,-0.293,0.014,0.706,0.015,1.0,1
Gaia EDR3 5597787870832800384,-0.005103,0.003619,119.71577985381,-28.57111439043,0.1712,0.0164,-2.301,0.014,2.941,0.018,14.375414,0.002766,0.785838,0.005363748782334982,14.586,0.009,0.48,0.013,-0.234,0.011,0.738,0.012,1.0,1
Gaia EDR3 5597789004704175872,-0.059867,0.057697,119.65345695258,-28.51701971355,0.2213,0.0262,-2.339,0.023,2.922,0.026,15.564532,0.002774,0.845308,0.0055212850859197625,15.761,0.008,0.565,0.012,-0.073,0.013,0.762,0.015,1.0,1
Gaia EDR3 5597787699034123776,-0.035858,-0.020891,119.68075069696,-28.59561816816,0.1486,0.0354,-2.348,0.032,2.955,0.033,16.120947,0.002805,0.88691,0.006043932246476627,16.321,0.009,0.576,0.015,0.027,0.016,0.768,0.012,1.0,1
Gaia EDR3 5597787522925454336,-0.011221,-0.030175,119.70880859643,-28.60490800407,0.1625,0.1457,-2.326,0.128,2.963,0.134,18.538881,0.00305,1.386135,0.026623900916281973,18.956,0.012,1.077,0.019,0.324,0.032,1.287,0.018,1.0,1
Gaia EDR3 5597787802113334656,-0.030985,-0.00406,119.68630581666,-28.57878827659,0.1817,0.0593,-2.293,0.052,2.934,0.056,17.166235,0.002841,1.716232,0.009505848988912038,17.705,0.012,1.295,0.019,0.453,0.021,1.598,0.016,1.0,1
Gaia EDR3 5597788180070424960,0.043122,0.030862,119.77067854207,-28.54386224643,0.1516,0.0343,-2.37,0.029,2.898,0.035,16.13976,0.002964,0.871546,0.008042666846264366,16.362,0.008,0.514,0.012,0.011,0.015,0.767,0.011,1.0,1
Gaia EDR3 5597783850743741312,0.075141,-0.065656,119.80720673975,-28.6403628565,0.1762,0.0484,-2.303,0.041,2.891,0.046,16.550882,0.002812,0.814414,0.013160648160330099,16.743,0.012,0.542,0.018,0.18,0.015,0.728,0.015,0.99,1
Gaia EDR3 5597788695466525312,-0.026778,0.024582,119.69110552987,-28.55014800573,0.1934,0.0122,-2.339,0.01,2.971,0.012,12.76737,0.002763,0.521828,0.004750400825193596,12.889,0.013,0.346,0.019,-0.492,0.019,0.456,0.021,1.0,1
Gaia EDR3 5597788248789912960,0.005472,0.021837,119.72781993252,-28.552895662,0.1571,0.0127,-2.375,0.01,2.951,0.012,13.618133,0.002768,0.590468,0.00477761823506232,13.747,0.012,0.38,0.017,-0.396,0.017,0.515,0.016,1.0,1
Gaia EDR3 5597789039064280064,-0.04955,0.059214,119.66519903328,-28.5155078942,0.1722,0.0362,-2.388,0.033,2.954,0.037,16.164394,0.002781,0.920691,0.005423130092483491,16.368,0.009,0.621,0.014,0.097,0.015,0.837,0.013,1.0,1
Gaia EDR3 5597784950255371904,0.047672,-0.023834,119.77588691062,-28.59855618131,0.1647,0.0936,-2.327,0.078,2.867,0.105,17.817377,0.002898,1.338221,0.012082476981149188,18.228,0.01,0.935,0.016,0.363,0.022,1.245,0.015,1.0,1
Gaia EDR3 5597794016916299648,0.062617,0.035223,119.79286818977,-28.53949116763,0.1587,0.0687,-2.378,0.056,2.883,0.066,17.403954,0.002862,1.149025,0.008561500627810524,17.687,0.011,0.828,0.017,0.444,0.02,1.032,0.016,0.99,1
Gaia EDR3 5597788248789914240,0.003018,0.022537,119.72502596558,-28.5521960088,0.1868,0.0142,-2.382,0.012,2.964,0.014,14.099694,0.002767,0.629384,0.004823911276132678,14.244,0.013,0.423,0.018,-0.301,0.016,0.551,0.017,1.0,1
Gaia EDR3 5597788523667845760,-0.054961,0.002144,119.65900768629,-28.57257461628,0.1686,0.0205,-2.375,0.017,2.97,0.02,14.955518,0.002766,0.929231,0.005008343538536469,15.177,0.008,0.646,0.015,-0.202,0.015,0.866,0.014,1.0,1
Gaia EDR3 5597787836473068800,-0.014446,-0.005963,119.70513897977,-28.58069549796,0.136,0.0521,-2.36,0.046,2.886,0.051,16.927595,0.002846,0.880491,0.01646382777485236,17.099,0.012,0.635,0.016,0.222,0.014,0.799,0.02,1.0,1
