EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5602103213455842432,0.021119,-0.029146,119.40829067938,-25.93769802134,0.1645,0.0437,-1.909,0.034,2.221,0.043,16.482845,0.00279,0.628929,0.006029826697343797,16.53,0.02,0.306,0.029,0.245,0.027,1.023,0.026,1.0,1
Gaia EDR3 5602106477630988800,-0.000267,0.005759,119.3845098914,-25.90279498988,0.1652,0.0444,-1.917,0.033,2.216,0.047,16.368761,0.002785,0.713979,0.005798913174035286,16.416,0.017,0.379,0.027,0.286,0.028,1.137,0.026,1.0,1
Gaia EDR3 5602103660132392832,0.052994,-0.010087,119.44372712966,-25.91862894965,0.1348,0.0453,-1.891,0.033,2.243,0.041,16.447985,0.002785,0.695808,0.005812728533141729,16.499,0.02,0.395,0.029,0.352,0.026,1.054,0.027,1.0,1
Gaia EDR3 5602103935010309248,0.027515,0.016561,119.41539165832,-25.89198986286,0.1774,0.1011,-1.896,0.078,2.23,0.101,17.8442,0.002906,0.937603,0.012089260109700677,17.93,0.021,0.596,0.033,0.293,0.038,1.302,0.031,1.0,1
Gaia EDR3 5602103453973991680,0.028238,-0.014911,119.41620350026,-25.92346220525,0.1678,0.0429,-1.912,0.032,2.202,0.04,16.41193,0.00279,0.578979,0.005800000862068902,16.438,0.02,0.306,0.029,0.206,0.025,0.944,0.027,1.0,1
Gaia EDR3 5602103896341417216,0.028511,0.006955,119.41650174952,-25.90159600594,0.1333,0.0253,-1.931,0.019,2.205,0.023,15.353994,0.002771,0.560523,0.005047319288493646,15.404,0.018,0.245,0.026,0.124,0.025,0.982,0.035,1.0,1
Gaia EDR3 5602107061747178624,0.023716,0.037835,119.41116375861,-25.87071698686,0.1527,0.0422,-1.889,0.03,2.266,0.039,16.3295,0.002789,0.573322,0.005928755181317575,16.324,0.018,0.311,0.029,0.217,0.032,0.921,0.029,1.0,1
Gaia EDR3 5602103385254566272,-0.00334,-0.031172,119.3810927186,-25.93972629464,0.1655,0.0201,-1.86,0.015,2.22,0.019,14.74547,0.002765,0.600876,0.004811410811809775,14.778,0.023,0.311,0.031,0.043,0.025,0.994,0.03,1.0,1
Gaia EDR3 5602103179096085760,0.042312,-0.040969,119.43186234438,-25.94951595668,0.1838,0.0787,-1.888,0.059,2.192,0.074,17.551205,0.002884,1.075277,0.009896849448182993,17.689,0.023,0.688,0.038,0.282,0.04,1.382,0.029,1.0,1
Gaia EDR3 5602103453974008448,0.017642,-0.019918,119.40442281769,-25.92847147479,0.12,0.0342,-1.933,0.026,2.196,0.032,15.896403,0.002784,0.642811,0.005359448945554011,15.942,0.019,0.347,0.026,0.286,0.023,1.023,0.032,1.0,1
Gaia EDR3 5602107091797547520,0.035522,0.061826,119.42427680567,-25.84672340508,0.1526,0.1756,-1.942,0.127,2.255,0.167,18.971323,0.003163,1.147337,0.0224848125186758,19.142,0.024,0.72,0.052,0.202,0.072,1.521,0.034,0.99,1
Gaia EDR3 5602103385254559488,0.00022,-0.026341,119.38505144745,-25.93489509303,0.1805,0.1109,-1.941,0.083,2.208,0.106,18.23753,0.002944,1.086,0.017828433301891673,18.437,0.022,0.631,0.036,0.316,0.046,1.521,0.028,1.0,1
Gaia EDR3 5602103453973992320,0.022478,-0.006472,119.4097976408,-25.91502438182,0.1446,0.0309,-1.937,0.024,2.265,0.029,15.765774,0.002778,0.522037,0.005407369230966201,15.802,0.019,0.23,0.027,0.007,0.024,0.93,0.035,1.0,1
Gaia EDR3 5602103522693490304,0.008335,-0.009946,119.39407360029,-25.91849963388,0.1934,0.0272,-1.928,0.021,2.244,0.027,15.43365,0.002776,0.579435,0.0050266506741567,15.443,0.022,0.3,0.029,0.11,0.023,0.965,0.034,1.0,1
Gaia EDR3 5602106477636010752,0.008044,0.00885,119.39374836085,-25.89970357641,0.1047,0.0778,-1.902,0.057,2.187,0.075,17.490036,0.00286,0.806921,0.01127634271384122,17.55,0.02,0.497,0.031,0.359,0.036,1.163,0.033,1.0,1
Gaia EDR3 5602107233545204480,-0.005185,0.051572,119.37904513165,-25.85698214948,0.1587,0.0211,-1.88,0.015,2.171,0.021,14.87266,0.002762,1.558646,0.004899055521220391,15.187,0.018,1.228,0.029,0.988,0.033,1.786,0.041,0.99,1
Gaia EDR3 5602106993027008896,0.033751,0.036179,119.42231757326,-25.87237063184,0.0968,0.0819,-1.881,0.061,2.239,0.075,17.632315,0.002855,0.871445,0.01096435137160425,17.708,0.02,0.534,0.034,0.356,0.038,1.248,0.032,1.0,1
Gaia EDR3 5602103831931109248,0.026063,-0.005063,119.41378313045,-25.91361471492,0.1463,0.0548,-1.938,0.04,2.177,0.049,16.86692,0.002806,0.737915,0.006591083446596621,16.964,0.021,0.374,0.03,0.326,0.028,1.149,0.029,1.0,1
Gaia EDR3 5602103419614270720,0.019668,-0.023615,119.40667666284,-25.93216781551,0.1461,0.0412,-1.961,0.031,2.215,0.039,16.26137,0.002787,0.659496,0.005476963574828666,16.322,0.018,0.331,0.026,0.238,0.025,1.06,0.03,1.0,1
Gaia EDR3 5602103419614273280,0.015729,-0.020939,119.40229581819,-25.92949241697,0.1012,0.0954,-1.933,0.069,2.244,0.087,17.880714,0.002891,0.97961,0.012449938955673638,18.012,0.023,0.592,0.038,0.409,0.039,1.35,0.033,1.0,1
Gaia EDR3 5602107577142637824,-0.038656,0.042788,119.34184670654,-25.86575950522,0.2089,0.0645,-1.9,0.045,2.235,0.061,17.062565,0.002817,0.625263,0.007683476882245433,17.018,0.018,0.41,0.028,0.29,0.037,0.993,0.032,0.99,1
Gaia EDR3 5602103900650587264,0.021642,5.7e-05,119.40886656322,-25.90849540524,0.1219,0.0408,-1.894,0.03,2.279,0.042,16.255491,0.002787,0.644312,0.005779922490829786,16.297,0.018,0.314,0.026,0.237,0.026,0.999,0.028,1.0,1
Gaia EDR3 5602103076016928384,0.008268,-0.058503,119.39400245045,-25.96705749262,0.1179,0.028,-1.944,0.021,2.259,0.028,15.662824,0.00277,0.602858,0.005189172766443607,15.718,0.021,0.286,0.033,0.139,0.031,1.015,0.026,1.0,1
Gaia EDR3 5602101839066400768,-0.040724,-0.056733,119.33950997679,-25.96528039377,0.1829,0.0932,-1.849,0.069,2.202,0.093,17.89068,0.00289,0.984344,0.01468107778741057,17.97,0.023,0.655,0.043,0.422,0.048,1.312,0.026,0.99,1
Gaia EDR3 5602103900650582656,0.024517,0.001032,119.4120624902,-25.90752018114,0.2094,0.0491,-1.91,0.037,2.253,0.044,16.564262,0.002792,0.631718,0.005942948089963432,16.604,0.019,0.33,0.028,0.251,0.027,1.011,0.03,1.0,1
Gaia EDR3 5602103900650584192,0.020943,0.005668,119.4080890841,-25.90288434573,0.0839,0.0268,-1.919,0.019,2.204,0.024,15.43043,0.002768,0.701187,0.005019427855841739,15.494,0.017,0.333,0.026,0.193,0.025,1.043,0.029,1.0,1
Gaia EDR3 5602103488333758336,0.001992,-0.007874,119.38702148948,-25.91642820488,0.2044,0.0754,-1.855,0.059,2.233,0.074,17.529003,0.002842,0.845461,0.010020191814531298,17.625,0.021,0.464,0.031,0.388,0.032,1.23,0.033,1.0,1
Gaia EDR3 5602103419600066304,0.006658,-0.02769,119.39220998609,-25.9362440726,0.1068,0.0764,-1.843,0.057,2.21,0.075,17.460028,0.002834,0.80061,0.013080810716465552,17.525,0.022,0.476,0.035,0.407,0.037,1.176,0.028,1.0,1
Gaia EDR3 5602103453974000128,0.019898,-0.012104,119.40693033531,-25.92065650729,0.196,0.0431,-1.889,0.032,2.166,0.041,16.399057,0.002788,0.622551,0.0057004590166055925,16.459,0.018,0.276,0.027,0.205,0.025,1.031,0.027,1.0,1
Gaia EDR3 5602103453974007680,0.017239,-0.018159,119.4039744395,-25.92671221119,0.1676,0.0172,-1.828,0.013,2.217,0.016,14.439245,0.002762,0.707147,0.004802404814257124,14.504,0.023,0.36,0.029,0.209,0.02,1.088,0.035,1.0,1
Gaia EDR3 5602103419614276352,0.014888,-0.023081,119.40136182614,-25.93163462373,0.1886,0.0418,-1.915,0.032,2.288,0.04,16.340332,0.002787,0.724841,0.0057392979535828255,16.415,0.019,0.383,0.027,0.259,0.027,1.102,0.026,1.0,1
Gaia EDR3 5602103831916745984,0.032977,-0.002094,119.42146930711,-25.91064367834,0.2282,0.4296,-1.886,0.33,2.23,0.383,20.06294,0.00459,0.983992,0.09772147164262314,20.131,0.038,0.913,0.061,0.198,0.156,1.523,0.052,1.0,1
Gaia EDR3 5602103484024433920,0.007737,-0.015446,119.39340967991,-25.92400025781,0.0984,0.0613,-1.856,0.047,2.179,0.061,17.03902,0.002805,0.757616,0.00705057345185482,17.131,0.022,0.388,0.032,0.39,0.03,1.172,0.03,1.0,1
Gaia EDR3 5602103247815557248,0.035645,-0.021456,119.42444115262,-25.93000473883,0.1598,0.049,-1.835,0.036,2.269,0.045,16.680103,0.002795,0.604725,0.00681977199032343,16.699,0.02,0.305,0.029,0.306,0.026,0.981,0.025,1.0,1
Gaia EDR3 5602103106066990080,0.022036,-0.045676,119.40931412917,-25.95422823954,0.1785,0.0528,-1.889,0.04,2.147,0.053,16.869062,0.002803,0.676075,0.006898339002977457,16.912,0.022,0.376,0.034,0.321,0.033,1.051,0.027,1.0,1
Gaia EDR3 5602103484024337408,0.008911,-0.018479,119.39471509815,-25.92703285679,0.1743,0.0977,-1.923,0.075,2.303,0.096,17.99589,0.002904,0.997148,0.012042471673207291,18.117,0.021,0.6,0.037,0.318,0.041,1.34,0.03,1.0,1
Gaia EDR3 5602102217028456448,0.047139,-0.082222,119.43724948746,-25.99076654741,0.2119,0.0553,-1.853,0.041,2.191,0.058,17.01015,0.002817,0.754835,0.007880681442616494,17.031,0.02,0.416,0.037,0.433,0.04,1.091,0.027,0.99,1
Gaia EDR3 5602106340192073216,-0.018457,-0.01278,119.3642852492,-25.92133286436,0.1268,0.0438,-1.83,0.031,2.179,0.045,16.279678,0.002792,0.604053,0.005933479923282795,16.283,0.016,0.327,0.027,0.2,0.028,0.989,0.025,1.0,1
Gaia EDR3 5602103453973990784,0.028981,-0.015757,119.41703003566,-25.92430817641,0.1214,0.0675,-1.83,0.046,2.268,0.057,17.129774,0.002819,0.703154,0.007396156096243507,17.174,0.021,0.399,0.031,0.355,0.03,1.081,0.03,1.0,1
Gaia EDR3 5602103453973998208,0.019565,-0.008897,119.40655975257,-25.91744977957,0.1809,0.0321,-1.947,0.024,2.152,0.031,15.812296,0.002781,0.537147,0.005178865609378177,15.842,0.018,0.238,0.024,0.072,0.021,0.951,0.032,1.0,1
Gaia EDR3 5602103900650589824,0.018145,0.002565,119.40497872193,-25.9059874267,0.2027,0.1051,-1.899,0.079,2.301,0.099,18.06133,0.002936,1.05253,0.01294271478477371,18.242,0.022,0.589,0.036,0.368,0.046,1.44,0.034,1.0,1
Gaia EDR3 5602103453974004352,0.021244,-0.019671,119.40842834517,-25.92822381343,0.1109,0.0734,-1.987,0.053,2.203,0.068,17.42287,0.002832,0.824442,0.007975003260187422,17.51,0.022,0.473,0.031,0.412,0.03,1.2,0.029,1.0,1
Gaia EDR3 5602106340192067712,-0.01257,-0.016896,119.37082966011,-25.9254494163,0.1124,0.0608,-1.97,0.046,2.167,0.061,17.078321,0.002816,0.727139,0.007817784468760955,17.126,0.018,0.403,0.03,0.349,0.032,1.131,0.028,1.0,1
Gaia EDR3 5602106855575922688,0.014098,0.01041,119.40047890648,-25.89814395445,0.1516,0.2921,-1.826,0.196,2.159,0.261,19.533075,0.00368,1.52635,0.059487949922652404,19.666,0.037,0.962,0.057,0.688,0.153,1.807,0.043,1.0,1
Gaia EDR3 5602103415304804864,0.017143,-0.02443,119.40386921233,-25.93298257653,0.1614,0.1368,-1.932,0.105,2.318,0.129,18.549124,0.003023,1.255157,0.020874799400233766,18.772,0.026,0.835,0.05,0.292,0.057,1.575,0.033,1.0,1
Gaia EDR3 5602103488333753984,0.008347,-0.013144,119.394087486,-25.92169816333,0.1169,0.0271,-1.896,0.021,2.127,0.027,15.540206,0.002774,0.517373,0.005013880433356982,15.599,0.017,0.182,0.026,0.029,0.024,0.973,0.03,1.0,1
Gaia EDR3 5602103488333772160,-0.001795,-0.019945,119.38281050472,-25.92849932578,0.1431,0.0432,-1.8,0.032,2.233,0.041,16.43387,0.002785,0.861848,0.006062615689617807,16.547,0.017,0.514,0.026,0.304,0.026,1.219,0.025,1.0,1
Gaia EDR3 5602103625772671104,0.041004,-0.019361,119.43039985799,-25.92790804248,0.2084,0.0123,-1.893,0.009,2.309,0.011,12.842712,0.002758,1.601321,0.004736218956087229,13.259,0.02,1.24,0.027,1.084,0.022,1.866,0.051,1.0,1
Gaia EDR3 5602103076016928768,0.002773,-0.04941,119.38789070891,-25.95796470042,0.0803,0.1078,-1.836,0.078,2.271,0.103,18.031607,0.002919,0.99235,0.013427494814744857,18.144,0.025,0.624,0.044,0.272,0.045,1.333,0.03,1.0,1
Gaia EDR3 5602103522693484800,0.011918,-0.009474,119.39805681969,-25.9180277087,0.2338,0.0419,-1.931,0.032,2.284,0.041,16.381363,0.002796,0.631412,0.005822057711840377,16.422,0.018,0.27,0.027,0.315,0.025,1.017,0.028,1.0,1
Gaia EDR3 5602103037345086336,0.019233,-0.05563,119.40619865827,-25.96418321549,0.1905,0.4876,-1.921,0.341,2.325,0.44,20.299438,0.004963,1.504564,0.08830496979219234,20.661,0.053,0.941,0.09,,,1.849,0.058,1.0,1
Gaia EDR3 5602103866290830976,0.034835,0.006954,119.42353152086,-25.90159478407,0.0837,0.0744,-1.92,0.053,2.134,0.066,17.452805,0.002839,0.946518,0.009699413796719882,17.567,0.021,0.601,0.033,0.379,0.038,1.308,0.03,1.0,1
Gaia EDR3 5602106919998519296,0.006962,0.021844,119.39254531529,-25.88670990315,0.1035,0.1207,-1.988,0.093,2.167,0.114,18.297428,0.002956,1.114018,0.024395899184084198,18.494,0.022,0.702,0.038,0.191,0.046,1.56,0.038,1.0,1
Gaia EDR3 5602107297956040960,0.02342,0.071474,119.41082802499,-25.83707826186,0.1979,0.1185,-1.961,0.077,2.14,0.104,18.16825,0.002929,1.144783,0.012857705744027587,18.312,0.018,0.688,0.037,0.257,0.05,1.462,0.028,0.99,1
Gaia EDR3 5602103415304732672,0.015124,-0.03265,119.40162513652,-25.94120318133,0.2492,0.0689,-1.931,0.053,2.268,0.066,17.40621,0.002835,0.808144,0.009126873834999582,17.485,0.024,0.492,0.037,0.351,0.037,1.179,0.029,1.0,1
Gaia EDR3 5602103419614269824,0.018692,-0.021146,119.40559090772,-25.92969924862,0.1668,0.0289,-1.79,0.022,2.235,0.028,15.527302,0.002771,0.593901,0.006978013255934672,15.607,0.019,0.255,0.027,0.009,0.023,0.992,0.026,1.0,1
Gaia EDR3 5602106924312609280,0.00426,0.018177,119.38954190836,-25.89037676264,0.0714,0.0863,-1.817,0.069,2.226,0.08,17.510489,0.002883,0.78483,0.012379907107890593,17.598,0.024,0.415,0.038,0.405,0.042,1.251,0.036,1.0,1
Gaia EDR3 5602103419614291072,0.005804,-0.027637,119.39126040483,-25.93619104441,0.1631,0.046,-1.934,0.034,2.113,0.044,16.516172,0.002789,0.66507,0.005785551745512264,16.574,0.02,0.344,0.031,0.25,0.03,1.053,0.026,1.0,1
Gaia EDR3 5602106889947809280,0.020593,0.027118,119.40769491536,-25.88143440347,0.0438,0.0899,-1.903,0.065,2.17,0.084,17.709507,0.002857,0.903843,0.011453527185980744,17.772,0.021,0.512,0.034,0.397,0.038,1.249,0.033,1.0,1
Gaia EDR3 5602104897083096704,-0.040104,-0.029411,119.34021019398,-25.93795850702,0.2305,0.11,-1.852,0.079,2.153,0.109,18.16038,0.00293,1.03367,0.018769969339346295,18.281,0.026,0.669,0.041,0.332,0.041,1.407,0.031,0.99,1
Gaia EDR3 5602103484027227264,0.000457,-0.012059,119.38531460815,-25.9206133613,0.2448,0.1089,-1.854,0.084,2.277,0.106,18.236813,0.002918,1.081303,0.01813233832135282,18.409,0.019,0.663,0.035,0.277,0.047,1.463,0.032,1.0,1
Gaia EDR3 5602101942145525632,0.058917,-0.096379,119.45036033858,-26.00491846391,0.1923,0.0368,-1.788,0.029,2.244,0.037,16.315674,0.002784,0.674489,0.005840916452064693,16.312,0.019,0.386,0.035,0.204,0.037,1.02,0.027,0.99,1
Gaia EDR3 5602103488333764864,-0.000427,-0.012907,119.38433212104,-25.92146175169,0.264,0.0526,-1.91,0.039,2.174,0.051,16.862167,0.002801,0.674145,0.007228719457829305,16.892,0.018,0.365,0.027,0.316,0.027,1.074,0.027,1.0,1
Gaia EDR3 5602103690182881920,0.072985,-0.003378,119.46594927619,-25.91191009843,0.0433,0.1165,-1.835,0.087,2.203,0.112,18.312794,0.002949,1.082886,0.02137235396487715,18.461,0.026,0.627,0.043,0.311,0.051,1.405,0.032,0.99,1
Gaia EDR3 5602106855588081920,0.012815,0.020213,119.3990511134,-25.88834025323,0.1661,0.115,-1.829,0.084,2.121,0.118,18.178381,0.002939,1.070625,0.01871501947634573,18.307,0.021,0.631,0.038,0.273,0.049,1.421,0.036,1.0,1
Gaia EDR3 5602103247815568256,0.027125,-0.021848,119.41496815667,-25.93039874709,0.1417,0.0665,-1.78,0.046,2.188,0.06,17.110914,0.002823,0.715652,0.007257126497450627,17.166,0.02,0.4,0.028,0.356,0.027,1.103,0.027,1.0,1
Gaia EDR3 5602103453973995776,0.023859,-0.014606,119.41133455029,-25.92315747598,0.2382,0.0826,-1.965,0.06,2.158,0.078,17.60717,0.002852,0.856232,0.00995435286696227,17.708,0.021,0.512,0.032,0.43,0.032,1.236,0.029,1.0,1
Gaia EDR3 5602101869116370176,-0.027432,-0.049506,119.35429653008,-25.95805743891,0.0413,0.1525,-1.904,0.114,2.293,0.159,18.776773,0.003089,1.189966,0.022596756802691843,18.922,0.029,0.841,0.049,0.32,0.065,1.515,0.032,0.99,1
Gaia EDR3 5602106718149182592,-0.024065,0.011477,119.35805474497,-25.89707512596,0.1614,0.0413,-1.927,0.03,2.093,0.041,16.320168,0.002782,0.580644,0.006168455641406527,16.295,0.016,0.325,0.03,0.22,0.033,0.921,0.031,1.0,1
Gaia EDR3 5602103449664620288,0.018848,-0.015424,119.40576370167,-25.92397712077,0.087,0.1535,-1.931,0.118,2.104,0.143,18.697273,0.00308,1.177027,0.0200526977985507,18.915,0.026,0.742,0.043,0.28,0.056,1.577,0.034,1.0,1
Gaia EDR3 5602103900650580224,0.021216,0.009847,119.40839101893,-25.89870587206,0.1893,0.05,-1.928,0.037,2.092,0.045,16.671688,0.002794,0.742979,0.006499903383897333,16.721,0.018,0.414,0.03,0.352,0.031,1.076,0.029,1.0,1
