id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
115 2206.81 3025.74 14.195 0.029 0.704 0.032 0.285 0.026 0.915 0.038 118.57214505007241 -38.09405309980212 6.7403
220 4101.06 3647.32 14.573 0.022 0.694 0.029 1.87 0.03 1.683 0.044 118.28003290695094 -38.020732766361306 6.9554
1947 1310.13 320.489 17.4 0.098 -0.06 0.187 0.866 0.225 0.332 0.15 118.71341462731127 -38.420159815799686 7.1911
2196 1289.39 301.879 18.282 0.115 -0.101 0.178 -0.755 0.216 1.848 0.182 118.71662759302163 -38.422389289820295 6.0943
2899 850.13 321.003 17.933 0.299 1.575 0.461 "" "" 1.997 0.354 118.78416319594619 -38.419659403989044 6.8078
3101 4106.7 2713.79 17.888 0.013 1.068 0.021 0.376 0.045 1.265 0.027 118.28032418644594 -38.13356610765698 13.1434
3533 3117.39 917.929 18.057 0.02 1.092 0.026 0.48 0.042 1.281 0.035 118.43471173768768 -38.349674198119295 5.9756
3918 549.905 791.236 18.41 0.032 1.672 0.047 "" "" 2.345 0.04 118.829754920734 -38.36254021708754 9.6778
4761 2964.85 1583.08 19.055 0.106 0.936 0.159 1.724 0.662 3.578 0.165 118.45734718383638 -38.269137616491186 10.0680
5092 4110.83 2879.93 18.779 0.025 0.855 0.032 0.233 0.062 0.947 0.047 118.2794827635095 -38.113490089734576 6.5161
5350 4.018 51.348 18.673 0.041 1.169 0.055 0.179 0.087 1.232 0.05 118.91463214510598 -38.451444172507095 6.5546
5378 2954.18 1752.99 18.453 0.094 1.734 0.143 -0.128 0.146 "" "" 118.45877736028136 -38.2485918487133 5.9580
5469 3775.46 494.519 18.903 0.059 1.623 0.096 "" "" 2.139 0.078 118.33402439508059 -38.40147523585317 8.0285
5525 3598.74 33.072 19.525 0.103 -0.086 0.128 1.172 0.114 "" "" 118.36177715691413 -38.45707809822156 5.7544
6658 3982.81 56.177 19.367 0.079 0.578 0.102 0.725 0.121 1.154 0.143 118.30267750481865 -38.454651532682185 7.0263
8164 4107.55 2494.4 19.455 0.017 1.056 0.031 "" "" 1.277 0.031 118.28046576786515 -38.160082752903534 7.1731
8519 5.556 186.583 19.574 0.038 0.738 0.055 0.293 0.101 1.151 0.046 118.91422773880984 -38.43510091392934 19.2886
9005 1391.03 2939.69 19.651 0.027 0.985 0.038 0.504 0.115 1.375 0.035 118.6977209618674 -38.10367596716043 6.7492
9318 7.133 93.354 19.615 0.04 1.118 0.064 0.246 0.116 1.256 0.049 118.9141009107895 -38.44637022640389 7.8315
9381 2745.66 2756.61 20.043 0.432 0.57 0.531 "" "" "" "" 118.48960255908727 -38.12709401054426 9.8507
9553 4107.65 3869.18 20.107 0.037 1.659 0.078 "" "" 2.367 0.046 118.27874396817549 -37.99392468170909 15.5229
9739 7.21 11.754 19.595 0.047 1.306 0.073 0.067 0.139 1.178 0.054 118.9141903524296 -38.45623260965511 10.5682
10088 2774.47 2494.23 20.004 0.1 1.578 0.209 "" "" 2.463 0.156 118.48549717968123 -38.15883313807115 5.7037
10196 4089.62 77.876 19.869 0.102 0.713 0.168 "" "" 1.259 0.125 118.2862229131755 -38.4521307247228 6.4525
10867 1943.82 934.459 19.98 0.038 1.74 0.065 "" "" 2.179 0.054 118.61518936453636 -38.34655817533589 5.4744
11658 4101.34 3461.98 20.055 0.027 1.248 0.06 0.309 0.18 1.487 0.041 118.28021989195291 -38.04313352964306 6.9768
11943 709.394 2630.04 20.092 0.04 1.157 0.058 "" "" 1.476 0.052 118.80294271381977 -38.14045131006476 6.0471
12168 4098.19 81.449 19.709 0.097 0.931 0.124 0.439 0.178 -0.299 0.116 118.28490038977746 -38.451707051593665 10.4603
12193 3995.7 3.601 20.062 0.041 1.217 0.068 "" "" 1.313 0.046 118.30076024796304 -38.46101823592441 12.2188
12497 4082.64 52.526 20.413 0.057 0.827 0.095 -0.121 0.149 1.834 0.086 118.28732792068826 -38.45518791675782 8.1079
