id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
23799 3030.66 2082.75 21.587 0.061 0.114 0.092 -0.8 0.133 1.705 0.072 118.31224863322744 -26.951263935421593 10.2817
23915 544.934 3214.82 21.5 0.075 0.652 0.141 "" "" 1.892 0.076 118.64806996880627 -26.811951376272017 5.2296
24035 3715.64 3224.93 21.424 0.062 0.919 0.138 "" "" 1.824 0.067 118.218085911329 -26.813885891745215 6.1079
24064 1646.86 1403.79 21.896 0.105 0.523 0.491 "" "" 2.285 0.105 118.50066017750187 -27.03195498338385 5.9600
24268 301.208 3785.56 22.0 0.1 -0.323 0.125 "" "" 2.086 0.107 118.68048451864868 -26.742721061133757 7.3835
24294 2625.9 1167.37 21.363 0.088 1.035 0.159 "" "" 1.713 0.101 118.36815832979873 -27.061506705043254 7.3558
24477 3336.84 264.598 21.483 0.099 1.264 0.214 "" "" 1.802 0.106 118.27275622958726 -27.171336213865015 8.2822
24506 1242.48 997.972 21.534 0.076 1.153 0.186 "" "" 1.866 0.085 118.5559499618444 -27.080605289186256 6.4960
24553 51.711 311.16 21.483 0.081 1.123 0.172 "" "" 1.79 0.091 118.7181937360417 -27.162437609831194 6.8091
24575 1422.56 496.183 22.229 0.17 -0.083 0.58 "" "" 2.472 0.167 118.53208940229153 -27.141437853175145 7.1952
24598 20.639 11.45 21.597 0.104 0.385 0.188 "" "" "" "" 118.7227416505045 -27.198633849500848 6.6763
24732 198.778 1140.22 21.589 0.093 1.13 0.224 "" "" 1.859 0.106 118.69732552990617 -27.062372148799504 7.8432
24738 2770.62 3669.92 21.555 0.073 1.136 0.545 "" "" 1.758 0.08 118.34574173285871 -26.759157329653835 6.7401
24744 562.703 2029.04 21.5 0.088 0.607 0.133 "" "" 1.578 0.098 118.64698300775548 -26.95529914224053 7.8943
24788 2730.12 487.986 21.845 0.104 -0.091 0.133 "" "" 1.543 0.118 118.35478308045901 -27.143730381349318 9.2723
