id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
18063 1489.4 1995.91 21.492 0.082 0.161 0.113 -0.316 0.154 "" "" 116.27881643990857 -28.378665304705137 11.8819
18289 4110.71 3102.47 20.82 0.044 1.406 0.131 "" "" 1.428 0.069 115.9182572098914 -28.247108278568575 8.2064
18405 704.172 3056.11 21.171 0.067 1.532 0.166 "" "" 1.95 0.071 116.38546003626313 -28.249555275895453 8.3722
18604 48.017 65.053 21.194 0.097 0.484 0.154 "" "" "" "" 116.47837361804132 -28.611133680801856 6.4732
19285 763.367 574.907 22.091 0.101 -0.38 0.128 "" "" 2.671 0.106 116.3797740292677 -28.550060238649987 5.0186
19649 5.971 11.157 21.253 0.084 0.513 0.164 -0.935 0.537 0.929 0.32 116.48419243986953 -28.61762088411474 16.9595
19955 2994.74 1240.05 21.213 0.06 1.075 0.12 "" "" 1.794 0.078 116.07312163167668 -28.47159209649047 10.3272
20122 2108.1 283.594 21.553 0.084 -0.081 0.118 "" "" 1.681 0.097 116.19564886248108 -28.586585533130798 8.5729
20335 7.4 345.762 21.141 0.088 1.329 0.195 "" "" 1.552 0.099 116.48366853984031 -28.5771047497045 7.6525
20460 1532.47 1442.03 21.512 0.097 1.242 0.174 "" "" 2.027 0.102 116.273452848939 -28.445774909578606 7.1179
20560 3264.76 2722.85 20.43 0.499 2.103 0.619 "" "" "" "" 116.03463906147157 -28.292290222670054 7.7319
20645 1500.14 2002.56 21.63 0.073 0.144 0.102 "" "" 1.638 0.102 116.27733708692037 -28.377870037377015 10.1176
21023 3075.87 1576.97 21.286 0.045 0.892 0.139 "" "" 1.432 0.074 116.06166562400794 -28.430869728658532 6.3717
21028 3675.71 3059.88 21.708 0.062 0.146 0.097 "" "" "" "" 115.97795290581662 -28.25186113916594 12.6789
21034 1805.44 64.141 21.92 0.115 0.339 0.18 "" "" 2.34 0.122 116.23736937905024 -28.61287783489153 10.4956
21041 971.067 109.583 22.07 0.126 -0.197 0.156 "" "" 2.15 0.143 116.35174702586205 -28.606599601384683 9.3803
21044 499.171 1008.45 21.731 0.129 0.236 0.182 "" "" "" "" 116.41557978884366 -28.497316731524304 7.5176
21447 1217.08 504.875 21.55 0.416 0.502 0.658 "" "" 1.704 0.473 116.31762249263392 -28.558962220099023 8.7162
21524 522.964 936.253 21.665 0.104 0.429 0.155 "" "" 1.847 0.106 116.41238768067606 -28.506081215422572 5.9241
21546 2955.1 1457.16 21.491 0.066 1.075 0.146 "" "" 1.776 0.077 116.07834490297236 -28.445265303784396 10.1386
21586 2458.46 1264.06 21.554 0.086 1.186 0.205 "" "" 1.849 0.096 116.14664114190845 -28.468186183556146 10.4632
21589 734.62 2109.59 20.764 0.408 0.311 0.748 "" "" 0.957 0.389 116.38221218114738 -28.364198093061397 10.2793
21673 1896.75 548.574 21.579 0.126 0.959 0.187 "" "" 1.822 0.131 116.22437275993695 -28.55430251812124 11.2311
21695 2041.65 9.568 21.984 0.083 -0.423 0.139 "" "" 2.087 0.098 116.20503008061846 -28.61970568624177 6.2149
21772 738.927 377.86 21.865 0.094 -0.191 0.221 "" "" 2.069 0.104 116.38331873970456 -28.573898024621293 6.7822
21798 1145.04 139.666 21.811 0.125 -0.021 0.549 "" "" 2.023 0.132 116.32785966329354 -28.60311856522576 5.6609
21857 2449.32 2548.43 21.54 0.081 1.093 0.178 "" "" 1.759 0.093 116.14663579951527 -28.312652773275076 11.3262
21874 2795.46 2133.65 21.944 0.092 0.07 0.134 "" "" "" "" 116.09957421726256 -28.363200436728594 7.8740
21878 673.097 238.476 22.495 0.187 0.339 0.302 "" "" 2.727 0.186 116.39248297642172 -28.590714896618547 10.7143
21957 1228.09 1907.8 21.549 0.108 1.233 0.229 "" "" 1.75 0.12 116.31473767818247 -28.38909166572867 6.5998
21961 111.477 1941.46 21.551 0.08 1.215 0.192 "" "" 1.735 0.089 116.46783200378366 -28.38397774626308 9.1420
21969 2378.06 59.095 21.43 0.08 1.406 0.19 "" "" 1.594 0.095 116.1588477778146 -28.614021171000985 6.3390
22024 1279.77 1693.34 21.572 0.084 1.01 0.147 "" "" 1.745 0.095 116.30786069795542 -28.415108761314777 8.3633
22050 2404.04 1405.61 21.699 0.148 1.007 0.214 "" "" 1.875 0.15 116.15396532974282 -28.450995243977175 5.0974
22065 3349.06 3082.17 21.904 0.086 0.716 0.167 "" "" 2.133 0.093 116.02272638080629 -28.248858376106615 6.9080
22070 2085.87 476.831 21.642 0.128 2.337 0.631 "" "" 1.824 0.134 116.19850800121625 -28.563165716750206 9.2955
22081 2177.58 1320.93 21.479 0.076 1.17 0.167 "" "" 1.609 0.096 116.18510403322085 -28.461038661771696 6.3245
22086 905.924 3458.86 21.506 0.055 1.106 0.134 "" "" 1.645 0.073 116.35739794938868 -28.200973656685022 5.6544
22143 1713.56 1109.27 21.566 0.107 0.972 0.188 "" "" 1.688 0.121 116.24894510113526 -28.486237303804526 8.5054
22145 3082.05 501.413 21.623 0.086 1.115 0.219 "" "" 1.794 0.099 116.06187223805985 -28.561115131647384 12.3307
22157 1037.71 1425.53 21.545 0.095 0.968 0.177 "" "" 1.644 0.107 116.34131819428293 -28.4473129673479 8.0200
22219 3421.45 2559.4 21.912 0.093 -0.054 0.564 "" "" 2.084 0.099 116.0133114864239 -28.312228113942112 8.0609
22223 1554.1 1009.04 21.623 0.113 1.488 0.279 "" "" 1.769 0.12 116.27091096412009 -28.498225961693944 9.1474
22228 3818.52 2418.93 20.331 0.479 2.157 0.746 "" "" 0.445 0.456 115.95899675110677 -28.329606807041426 8.7880
22260 1500.42 1284.82 21.522 0.11 1.365 0.211 "" "" 1.634 0.117 116.27800211805597 -28.4647817418111 6.9533
22279 1348.73 254.705 21.591 0.09 1.29 0.33 "" "" 1.669 0.094 116.29981378213496 -28.58937779587203 9.2972
22284 915.758 2140.5 21.612 0.084 1.281 0.226 "" "" 1.723 0.092 116.35734143200291 -28.36062357578038 6.2958
22301 1468.29 675.258 21.632 0.107 0.897 0.191 "" "" 1.719 0.12 116.28300569063276 -28.53856399718216 6.1043
22311 2920.41 1001.13 21.859 0.133 0.943 0.272 "" "" 1.985 0.138 116.08354907175625 -28.500453923684855 5.6251
22368 3056.71 931.54 21.601 0.08 1.078 0.19 "" "" 1.727 0.106 116.06492570160644 -28.509007312572283 6.9466
22397 1262.49 1607.24 21.57 0.062 1.193 0.187 "" "" 1.643 0.078 116.31031478316108 -28.42551858353083 8.2190
22406 1940.21 915.298 21.643 0.107 0.803 0.165 "" "" 1.662 0.116 116.21805343790393 -28.509936152715138 7.8986
22412 1963.49 1244.53 21.845 0.106 0.137 0.141 "" "" 0.842 0.152 116.21453825529872 -28.470090950105465 10.4262
22413 867.129 242.103 21.7 0.083 0.417 0.205 "" "" 1.714 0.102 116.36587074077427 -28.590456075901226 5.4546
22472 3920.29 3836.4 21.77 0.094 0.573 0.147 "" "" "" "" 115.94365126105268 -28.158059363876177 5.6818
22477 489.178 596.958 21.686 0.077 0.641 0.178 "" "" 1.703 0.093 116.41735347150436 -28.547135184521753 5.0224
22479 1273.0 177.056 21.989 0.112 -0.484 0.198 "" "" 1.877 0.122 116.31027515651479 -28.598709947118426 7.8720
22484 561.415 3280.17 21.974 0.1 -0.078 0.558 "" "" 2.079 0.107 116.40481750047924 -28.222291046021738 8.6984
22490 1588.41 897.829 21.489 0.105 1.182 0.193 "" "" 1.487 0.116 116.26631483769923 -28.51172444428733 5.3537
22511 1078.64 739.739 22.17 0.109 -0.277 0.148 "" "" 2.001 0.116 116.3363773541907 -28.530393742366282 5.6442
22517 3600.56 3092.67 20.307 0.381 1.03 0.443 "" "" -0.285 0.373 115.98822650461722 -28.247820723754877 6.4902
22551 1841.66 69.236 21.512 0.082 1.363 0.319 "" "" 1.468 0.104 116.23239733677782 -28.61229454966605 7.8585
22588 872.382 1409.6 22.108 0.14 0.118 0.193 "" "" "" "" 116.3640061493978 -28.449088247158873 9.3241
22591 1712.76 1703.62 21.763 0.094 1.0 0.198 "" "" 1.806 0.1 116.248472310219 -28.4142664639439 9.9493
22624 1648.51 48.335 21.781 0.097 0.078 0.238 "" "" 1.719 0.107 116.25890554846485 -28.61464590636191 6.4842
22669 1912.68 1799.17 21.705 0.106 1.292 0.233 "" "" 1.781 0.12 116.2209625304164 -28.40288212131779 5.1958
22678 2046.97 2395.05 21.744 0.08 0.712 0.157 "" "" 1.723 0.09 116.20196260139205 -28.330851594241306 7.4134
22679 499.597 678.799 22.134 0.103 -0.159 0.139 "" "" 1.875 0.113 116.41584444724367 -28.53723470838008 5.1501
22770 3994.9 362.331 21.646 0.082 1.263 0.212 "" "" 1.662 0.107 115.93682437926286 -28.578805225954337 5.1362
22800 3416.64 4033.74 21.716 0.069 0.559 0.166 "" "" 1.608 0.082 116.01252616497504 -28.133695180176467 8.8028
22809 3317.09 1398.11 21.992 0.112 0.958 0.252 "" "" 1.991 0.115 116.0287610854349 -28.452752203444994 6.2638
22818 2401.31 2529.7 21.708 0.082 1.249 0.227 "" "" 1.703 0.095 116.15323803280843 -28.3148761663802 7.4558
22834 137.195 2489.93 21.89 0.115 -0.172 0.53 "" "" 1.836 0.123 116.46376761811416 -28.317587186683973 5.4263
22897 728.935 239.609 21.941 0.105 -0.418 0.22 "" "" 1.745 0.116 116.38482449234336 -28.590629608777842 8.4608
22916 3690.51 244.648 21.729 0.079 1.105 0.216 "" "" 1.748 0.112 115.97868239947483 -28.592772546580942 11.2496
22980 3606.21 1065.76 21.663 0.084 1.326 0.253 "" "" 1.571 0.1 115.98943818460668 -28.493265376463352 7.3658
22985 1221.89 432.046 21.964 0.135 0.991 0.31 "" "" 1.931 0.142 116.31703424761223 -28.567785586343927 5.6701
22995 3223.59 2134.61 21.925 0.112 0.222 0.614 "" "" 1.831 0.113 116.04086144236699 -28.363482184242137 14.3398
23012 3247.2 1639.56 21.903 0.102 1.257 0.323 "" "" 1.901 0.114 116.03810885179507 -28.423449948979073 10.1320
23082 2947.75 1168.8 21.865 0.116 0.881 0.235 "" "" 1.777 0.128 116.0796354595414 -28.480176107102924 7.7458
23130 1273.65 1668.85 21.842 0.115 1.194 0.243 "" "" 1.733 0.119 116.30872396909035 -28.418068576689592 11.3162
23146 2963.36 97.281 21.886 0.096 0.765 0.333 "" "" 1.827 0.121 116.0785449280678 -28.609941313172556 5.7575
23166 2242.23 1420.01 21.739 0.093 1.433 0.28 "" "" 1.621 0.107 116.17614111681218 -28.449101121463332 6.8488
23265 3257.19 1602.15 21.837 0.079 1.449 0.366 "" "" 1.773 0.102 116.03677553194753 -28.42798922872194 7.3840
23284 2999.02 3161.93 22.024 0.098 0.184 0.594 "" "" 1.902 0.108 116.07065113170579 -28.23887480252257 6.1991
23300 3274.31 2186.25 21.742 0.092 1.331 0.233 "" "" 1.562 0.104 116.03385531797804 -28.357276224381078 11.3760
23308 1082.13 300.115 22.014 0.123 1.152 0.336 "" "" 1.914 0.134 116.33632960959373 -28.583631245242046 5.0745
23313 1107.3 1185.78 21.763 0.098 1.283 0.231 "" "" 1.587 0.11 116.33200990247751 -28.476409089202118 5.3510
23332 633.022 493.439 22.306 0.089 -0.405 0.149 "" "" 1.994 0.103 116.39772880341815 -28.559804063542163 5.4715
23353 2595.62 2706.29 20.29 0.466 0.092 0.707 "" "" 0.031 0.446 116.12641815916868 -28.293673440312133 6.7532
23384 3253.43 2639.77 21.912 0.087 -0.046 0.55 "" "" 1.659 0.114 116.03627423049494 -28.302339882977076 5.6975
23424 1736.25 108.492 20.0 0.481 1.606 0.584 "" "" -0.221 0.457 116.24681431961105 -28.607443033517825 5.5455
23447 558.173 1938.77 22.099 0.111 1.109 0.312 "" "" 1.972 0.121 116.40657674787957 -28.38471873299702 8.5403
23464 4092.25 3852.6 21.944 0.095 0.624 0.217 "" "" 1.69 0.115 115.9200535584929 -28.15625755482916 14.2762
23481 888.182 167.342 22.309 0.138 -0.147 0.207 "" "" 1.911 0.156 116.36305689683293 -28.599528488524204 5.7166
23598 1140.3 50.16 22.48 0.156 -0.076 0.28 "" "" 2.195 0.16 116.3285974070536 -28.613952478762233 9.8100
23631 2806.6 758.077 22.278 0.113 -0.392 0.418 "" "" 2.022 0.128 116.09939467311399 -28.529779516580906 10.4438
922 378.026 309.273 15.719 0.036 1.13 0.051 0.494 0.052 1.138 0.057 116.43287830871485 -28.58186775632792 9.9142
1934 1366.54 3962.07 17.145 0.165 0.872 0.201 -0.129 0.139 "" "" 116.29373795398921 -28.14046793583091 11.4038
4132 2505.71 3713.06 17.969 0.021 0.87 0.042 0.961 0.062 1.276 0.036 116.13776131842688 -28.17167964830502 5.9649
5317 3958.87 110.788 18.472 0.023 0.995 0.041 0.244 0.077 1.316 0.046 115.94201189989298 -28.60923118172592 6.1752
5385 81.8 3980.31 18.354 0.047 2.195 0.15 "" "" 1.427 0.053 116.46990357721977 -28.137064938076787 5.5926
5762 391.744 2592.77 18.71 0.158 0.861 0.253 "" "" "" "" 116.42875911685131 -28.30537087854935 8.9430
5270 33.623 178.032 18.326 0.043 1.394 0.075 0.354 0.099 1.538 0.053 116.48023682051823 -28.597439624462062 9.3891
6409 3710.86 44.813 18.742 0.021 1.315 0.05 "" "" 1.354 0.044 115.97608754197762 -28.61698956994016 6.7518
6506 431.7 1149.94 19.275 0.079 1.483 0.108 "" "" 2.17 0.078 116.42469379127087 -28.480120925018873 5.5858
6684 3979.35 1364.46 18.877 0.028 1.019 0.043 0.178 0.057 1.477 0.041 115.93797468904732 -28.45744254049415 5.5367
6201 3630.17 333.859 18.752 0.024 1.516 0.046 "" "" 2.113 0.041 115.98686972506106 -28.58191385564194 6.0569
7033 659.278 90.266 18.696 0.055 1.522 0.073 0.478 0.108 1.46 0.064 116.39452330715896 -28.608648862731403 8.2005
3779 140.364 428.558 17.746 0.04 1.195 0.059 0.201 0.075 1.345 0.051 116.46535330621818 -28.5672025513743 5.2693
7260 552.538 272.008 19.837 0.078 -0.351 0.094 0.531 0.076 1.783 0.084 116.40898303525395 -28.5865424194071 6.4132
7537 1122.36 47.74 19.032 0.048 1.753 0.075 "" "" 1.848 0.058 116.33105999019209 -28.614228840379198 6.3679
7585 154.768 693.785 18.914 0.045 1.308 0.08 0.406 0.1 1.354 0.055 116.46311806738187 -28.535099490413444 8.5284
3293 69.514 111.193 17.416 0.039 1.303 0.059 0.307 0.069 1.19 0.047 116.47538039555302 -28.605566552277452 11.2230
7631 436.06 149.875 18.834 0.058 1.476 0.073 0.81 0.102 1.528 0.067 116.42507600520987 -28.601223277488426 8.9440
7455 3599.0 630.822 19.06 0.033 1.021 0.048 0.337 0.077 1.514 0.045 115.99085319760366 -28.545925502754336 5.4639
7657 3600.94 48.488 19.089 0.028 1.075 0.05 0.363 0.09 1.438 0.048 115.99115787760216 -28.6164423797827 7.3132
3541 3472.75 158.634 17.696 0.023 1.483 0.047 1.08 0.093 1.949 0.044 116.00862933125201 -28.602985586622104 5.2565
323 2490.25 760.851 14.933 0.036 0.413 0.047 0.087 0.041 0.844 0.042 116.14277477902804 -28.529149529316474 5.1467
8812 3748.0 945.528 19.387 0.03 1.112 0.052 0.234 0.101 1.624 0.043 115.97011157265892 -28.507956130394245 5.0101
7933 961.177 328.916 19.127 0.056 1.491 0.083 "" "" 1.671 0.064 116.35288833649365 -28.58003128058107 7.6076
7625 94.877 787.346 19.3 0.052 1.695 0.095 "" "" 2.055 0.06 116.47123955584959 -28.523714473505823 5.0577
9147 197.341 869.592 19.383 0.052 1.243 0.085 0.491 0.147 1.528 0.058 116.45710749489604 -28.51385052177811 6.6587
5151 4037.68 803.132 18.43 0.018 1.306 0.038 "" "" 1.908 0.036 115.93052570940038 -28.525468212741696 6.7308
9528 517.933 524.969 19.468 0.06 1.256 0.101 0.523 0.154 1.557 0.067 116.41348069298907 -28.555879094340302 6.3370
4799 2133.74 4076.99 18.255 0.021 1.147 0.036 0.368 0.062 1.548 0.032 116.18841494750308 -28.127265421289955 5.6845
9814 4086.35 1751.73 20.766 0.237 -0.433 0.274 "" "" "" "" 115.92292163916451 -28.41064731862244 8.4195
10100 3620.8 108.752 19.623 0.027 1.102 0.056 0.198 0.125 1.467 0.048 115.98837530359131 -28.609163448273247 6.5048
10209 212.635 774.824 19.496 0.055 1.113 0.086 0.48 0.109 1.319 0.062 116.45510302254955 -28.52534023697454 8.0688
10473 1720.49 3832.95 20.378 0.038 0.464 0.165 0.937 0.28 2.465 0.042 116.24532537898921 -28.15643216774384 5.5961
9043 130.368 583.334 19.38 0.054 1.406 0.089 "" "" 1.593 0.063 116.46657242302295 -28.548451366823834 5.2137
2277 758.952 708.06 17.02 0.04 1.032 0.056 0.544 0.067 1.404 0.046 116.38024898454711 -28.533932580593284 6.4824
10818 4015.3 586.848 19.762 0.024 0.973 0.057 0.331 0.133 1.292 0.047 115.93380677408365 -28.551637330284333 5.8198
9349 921.511 596.468 19.531 0.056 1.421 0.081 "" "" 1.885 0.065 116.358065737069 -28.54759642031132 5.2188
11164 3694.44 291.203 19.835 0.033 1.227 0.088 0.611 0.228 1.636 0.056 115.97809783009936 -28.58713883505361 6.7964
11183 1261.6 4076.49 20.86 0.272 -0.2 0.299 "" "" 0.237 0.471 116.30801681780815 -28.126515215632942 9.7407
11263 3296.3 4026.53 19.901 0.031 1.04 0.075 "" "" 1.647 0.046 116.02903612077745 -28.13445637278727 5.3569
9025 991.704 434.828 19.48 0.05 1.568 0.09 "" "" 1.803 0.058 116.34859819996382 -28.56723472935172 5.5630
3740 3969.13 1017.39 17.775 0.021 1.057 0.034 0.444 0.039 1.377 0.037 115.93971636397424 -28.49945989488586 5.1468
11851 1246.83 390.144 19.967 0.066 1.509 0.101 "" "" 1.741 0.072 116.31365515404056 -28.572882701974876 5.6596
214 1120.81 2805.79 14.467 0.021 0.727 0.03 0.248 0.028 "" "" 116.32856949263062 -28.28025394319074 5.4310
7243 372.045 86.502 18.749 0.049 1.624 0.066 "" "" 1.535 0.061 116.43391684551445 -28.6088376321697 11.1112
12105 45.414 822.781 20.043 0.051 1.705 0.109 "" "" 1.769 0.059 116.47798796205468 -28.519377652827213 5.1452
12477 3570.67 97.265 20.03 0.037 1.355 0.131 "" "" 1.512 0.064 115.99526116562313 -28.610507812629667 6.1327
12512 4073.18 1751.02 20.532 0.094 -0.149 0.168 "" "" 2.05 0.223 115.92472840992504 -28.4107210498508 6.8889
12643 3074.32 56.887 20.045 0.033 1.465 0.089 "" "" 1.637 0.062 116.06336795835813 -28.61493578956903 5.1491
12759 20.717 813.036 20.217 0.06 1.8 0.162 "" "" 1.783 0.065 116.48138434891057 -28.52053472045184 9.6017
12761 198.873 315.347 20.13 0.056 1.436 0.094 "" "" 1.791 0.066 116.45744059725297 -28.580965710479415 9.6501
12763 498.914 136.669 19.993 0.07 1.623 0.112 "" "" 1.596 0.079 116.41646943135666 -28.602880827452054 11.6967
12778 1839.42 3813.8 20.392 0.036 0.919 0.092 "" "" 2.01 0.042 116.2290346186944 -28.158861608076577 5.5937
12834 540.851 166.609 19.984 0.063 1.465 0.113 "" "" 1.471 0.076 116.4106890356458 -28.599294365116442 7.8724
12976 85.851 15.15 20.024 0.06 1.446 0.109 -0.058 0.191 1.486 0.066 116.47323414042773 -28.617211627354397 7.0555
9132 55.065 621.578 19.189 0.05 2.785 0.162 "" "" 1.3 0.056 116.47686165830602 -28.543750381985326 6.0689
7310 1082.29 285.588 18.932 0.05 1.131 0.076 0.361 0.108 1.429 0.058 116.3363219052573 -28.58539047463444 6.1451
8743 3974.48 705.772 19.348 0.026 1.329 0.049 "" "" 1.682 0.039 115.93928809358682 -28.5371988254489 6.2567
11236 1143.06 188.372 19.708 0.066 1.251 0.1 "" "" 1.384 0.076 116.32808345678303 -28.597218894186188 6.7385
13734 440.283 313.696 20.329 0.076 1.777 0.193 "" "" 1.716 0.081 116.42433632727459 -28.581390048150013 5.6669
