id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
551 4105.48 3661.37 14.705 0.019 0.762 0.042 0.3 0.047 0.707 0.026 119.43690946793681 -28.381045759046536 12.8982
747 3.242 1281.42 15.064 0.016 0.68 0.03 0.667 0.033 0.776 0.021 120.00516342138044 -28.66487750241783 11.4414
838 7.491 699.423 15.194 0.018 1.94 0.033 1.622 0.044 2.102 0.023 120.00527333657169 -28.7352181769107 19.8685
1411 8.518 639.722 15.899 0.018 0.735 0.035 0.302 0.041 0.906 0.022 120.0052031351405 -28.742434239685476 12.4539
1458 4003.67 3.994 15.95 0.013 0.595 0.02 0.248 0.023 0.716 0.025 119.45531287759117 -28.8229605835012 17.5447
2345 3.641 1289.49 16.662 0.015 0.913 0.031 0.538 0.039 1.049 0.02 120.0050987828148 -28.66390257867515 11.5328
2447 6.908 1158.44 16.725 0.012 0.889 0.025 0.38 0.035 0.995 0.02 120.00480511339343 -28.67974353535038 5.9213
2773 4106.9 3532.12 16.914 0.015 1.158 0.042 0.897 0.05 "" "" 119.43686821849901 -28.39666746958705 19.4664
3229 6.844 387.076 17.13 0.02 0.321 0.038 0.902 0.046 1.066 0.024 120.00573580267998 -28.772966004681408 7.0936
3340 4101.83 3371.19 17.2 0.016 0.826 0.037 0.315 0.042 0.874 0.019 119.43775934410087 -28.416111835090604 9.1033
3365 5.395 577.673 17.208 0.019 0.798 0.034 0.361 0.039 1.008 0.025 120.0057077324941 -28.749930228728545 5.8566
3940 7.387 515.192 17.47 0.019 1.186 0.035 1.283 0.043 1.392 0.026 120.00550784795958 -28.75748315873577 5.8770
4689 9.308 824.846 17.783 0.017 0.925 0.035 0.551 0.047 1.309 0.026 120.00487300544027 -28.720061969749256 9.2202
4912 4105.81 3002.36 17.868 0.014 0.858 0.027 "" "" "" "" 119.43765157649935 -28.460690147456003 9.2229
6435 7.823 718.529 18.403 0.017 0.821 0.034 1.781 0.066 1.612 0.024 120.00520474330419 -28.73290944495772 15.7078
6605 4.219 1391.28 18.451 0.012 1.105 0.027 0.589 0.042 1.3 0.026 120.00489746664066 -28.65160137105124 5.2930
6885 2624.62 2472.63 18.54 0.013 1.074 0.037 0.549 0.042 1.243 0.026 119.64243642407438 -28.52333993268817 6.2278
7614 3541.97 3507.85 18.752 0.015 1.059 0.028 0.431 0.04 1.16 0.019 119.51476127484015 -28.399077972570623 6.7636
7629 2.461 1168.19 18.756 0.017 1.318 0.034 "" "" 1.585 0.027 120.00540638906271 -28.67856109354051 10.4020
8201 4106.83 2475.99 18.919 0.014 1.077 0.03 0.584 0.04 "" "" 119.4381400626994 -28.524305081808073 9.9667
9054 4.231 1092.38 19.147 0.017 1.093 0.038 0.826 0.057 1.355 0.027 120.00525303236888 -28.687724682929172 9.4935
9588 8.09 301.388 19.282 0.022 1.054 0.048 0.473 0.06 1.237 0.031 120.00566647401303 -28.783322906448035 9.8777
10391 7.826 592.354 19.465 0.021 1.198 0.048 1.124 0.092 1.412 0.034 120.00535512337018 -28.748158218142834 5.0797
11449 5.465 746.719 19.698 0.022 1.068 0.044 0.612 0.064 1.375 0.037 120.0054960551227 -28.72950038548055 10.4232
11833 4107.03 2369.8 19.782 0.022 1.21 0.047 "" "" "" "" 119.43823940598239 -28.53713876736514 7.0236
12443 4101.1 3129.29 19.91 0.024 1.139 0.043 "" "" "" "" 119.4381490578408 -28.44534577486942 6.9405
14806 4091.98 3946.53 20.599 0.033 0.84 0.056 "" "" "" "" 119.43842936812754 -28.34657050498514 14.2291
14952 5.581 61.725 20.687 0.045 1.326 0.084 "" "" "" "" 120.00629871306175 -28.81228484974341 12.2900
15127 6.685 136.464 20.826 0.036 0.255 0.06 "" "" 2.153 0.04 120.0060572275799 -28.80325335392157 10.3336
15192 930.108 2481.7 20.873 0.034 1.697 0.091 "" "" 2.653 0.037 119.8759794205173 -28.520676162295807 5.6534
15331 2280.02 2850.29 21.358 0.052 0.344 0.074 -0.623 0.076 "" "" 119.68948114208703 -28.477379364654734 8.1041
1376 3427.85 3865.25 15.856 0.012 0.863 0.035 0.448 0.038 0.823 0.018 119.53006324986636 -28.355779130475412 7.5041
4160 3866.99 3397.78 17.562 0.014 0.924 0.027 0.3 0.029 0.98 0.017 119.47009545887637 -28.412681068967462 5.0061
2163 150.426 3907.68 16.541 0.013 0.691 0.021 0.371 0.02 0.68 0.02 119.98173843500547 -28.34761928592407 6.1741
6837 3830.98 3288.66 18.525 0.017 1.187 0.026 0.73 0.037 1.221 0.02 119.47518911205724 -28.425835358618986 5.5359
