id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
876 2032.43 1158.48 15.187 0.02 0.652 0.031 0.338 0.029 1.192 0.028 119.37640514343356 -26.012774595225917 8.6033
2960 741.559 1480.63 16.987 0.14 0.33 0.232 "" "" 1.33 0.179 119.54945096898403 -25.972649492402287 5.3233
3574 -88.439 -2.007 17.131 0.059 0.921 0.071 0.192 0.063 1.4 0.063 119.66257757367764 -26.151164425658187 22.0828
6338 3362.58 1654.51 18.142 0.128 1.238 0.233 "" "" 1.619 0.2 119.19718124155442 -25.95400726060288 7.6712
6919 3953.8 2877.58 18.606 0.17 -0.282 0.232 "" "" 0.928 0.205 119.11641544125303 -25.806660200022307 8.9295
7112 3181.51 1363.83 18.616 0.23 0.389 0.642 "" "" 1.76 0.229 119.22182450331903 -25.988989527691498 10.3724
7457 4019.08 3422.39 18.598 0.023 0.607 0.171 "" "" "" "" 119.10704599050463 -25.740845224587577 9.5594
7890 1913.71 1711.79 19.336 0.122 0.677 0.289 "" "" 3.872 0.193 119.3917427864344 -25.945764642222702 8.5590
8968 1691.49 2119.91 18.177 0.231 1.114 0.276 "" "" 0.251 0.242 119.42114346528196 -25.896215903117636 5.0092
9413 4014.07 4055.94 19.016 0.019 0.907 0.07 "" "" "" "" 119.10702068937965 -25.66423659923375 18.0113
9709 -94.015 676.086 19.077 0.087 0.711 0.107 0.42 0.081 1.547 0.107 119.66257920804696 -26.06916948339351 10.0130
10077 4012.25 3963.75 19.096 0.02 0.909 0.049 "" "" 1.492 0.027 119.1073667775895 -25.675381862428114 10.3494
10462 997.319 1042.83 19.529 0.028 1.374 0.097 "" "" 2.641 0.041 119.51557762167324 -26.02581739417256 7.2616
11003 956.539 2094.44 19.362 0.192 0.796 0.238 "" "" "" "" 119.51989647634181 -25.89862760860564 7.7807
11159 418.095 1701.17 19.487 0.027 1.201 0.075 "" "" 2.137 0.041 119.59265835985308 -25.945689495533717 6.1342
11162 3176.07 1013.66 19.417 0.148 0.714 0.292 "" "" "" "" 119.22294120197205 -26.031324490550535 5.1215
11994 3391.05 1643.91 19.811 0.242 1.323 0.314 "" "" 3.164 0.289 119.1933685894577 -25.95531480634848 8.9648
12227 3423.76 1115.04 20.333 0.39 -0.07 0.438 "" "" "" "" 119.18955761196621 -26.019291492336105 5.8995
12657 675.701 2609.46 18.749 0.167 2.423 0.236 "" "" "" "" 119.55705340577497 -25.836100057474468 7.8527
12746 -89.981 323.924 19.676 0.092 1.021 0.127 0.205 0.126 1.75 0.095 119.66242547309547 -26.111753913929334 10.0668
13170 698.079 2627.13 20.178 0.381 0.259 0.415 "" "" 1.904 0.375 119.55402792482079 -25.833983872228828 7.2530
13179 3525.43 3925.78 19.661 0.038 1.088 0.066 "" "" 1.637 0.059 119.1728024762177 -25.679530478406704 5.2099
13561 1399.89 2793.0 20.535 0.045 1.597 0.121 "" "" 2.583 0.047 119.45957181719298 -25.81456594297328 8.6330
14065 913.106 364.478 19.993 0.042 1.1 0.085 0.597 0.202 2.037 0.054 119.52763750338384 -26.107762051204336 13.1147
14174 2011.69 1695.15 20.029 0.029 1.62 0.071 "" "" 2.173 0.038 119.37859961057018 -25.947865670768252 5.5511
14721 1080.99 465.036 19.841 0.104 1.162 0.17 "" "" "" "" 119.50497504757821 -26.09575591415307 8.0406
14928 1702.51 2157.26 20.27 0.136 0.31 0.21 "" "" "" "" 119.41962199761835 -25.891709838866202 6.3018
14975 1494.5 3295.32 20.115 0.118 0.595 0.215 "" "" "" "" 119.44630934033646 -25.753915192366435 6.5921
15350 3941.56 4037.26 20.524 0.161 0.061 0.224 "" "" "" "" 119.1167814448846 -25.666429345344156 8.1712
15684 1951.13 344.314 20.222 0.067 1.813 0.107 "" "" 2.143 0.074 119.38822341768058 -26.11114350086699 5.4295
15723 4013.54 4015.46 20.103 0.027 0.78 0.068 "" "" 1.498 0.039 119.10713649986484 -25.669130652866826 5.5303
15848 2710.42 412.236 21.133 0.074 1.389 0.169 "" "" 2.965 0.078 119.28615419300864 -26.10362094039376 8.0007
16546 2627.99 953.835 20.75 0.084 1.985 0.198 "" "" 2.381 0.088 119.29662995878938 -26.038059973779763 6.8109
16944 3385.61 1627.9 20.044 0.199 1.269 0.272 "" "" "" "" 119.1941169829725 -25.957245670456153 8.0967
17429 3377.55 1218.36 20.037 0.218 2.557 0.617 "" "" "" "" 119.19565105910158 -26.006756823393065 7.1466
17941 544.409 1794.49 21.225 0.067 1.182 0.121 "" "" 2.667 0.069 119.57558792151934 -25.934520743253064 7.3975
18251 2925.44 613.805 21.358 0.066 -0.077 0.097 -0.795 0.104 "" "" 119.25704869183366 -26.079444155414865 6.2124
19552 1149.57 195.13 20.716 0.062 1.158 0.104 "" "" 1.987 0.079 119.49606027776464 -26.128453231912044 10.2655
19887 2497.44 1475.66 21.402 0.086 0.055 0.122 -0.522 0.134 "" "" 119.31359141132194 -25.97484619746616 6.2981
19920 4001.91 775.857 20.088 0.377 2.65 0.718 "" "" "" "" 119.11226937360057 -26.060828365395306 11.3327
20051 1302.72 1299.0 20.935 0.052 1.13 0.115 "" "" 1.95 0.057 119.47427118711306 -25.99512080898793 6.6233
20156 3337.21 1464.89 21.544 0.072 -0.043 0.1 -0.829 0.116 "" "" 119.20079815387356 -25.976911619601697 5.7093
20681 3234.73 1610.18 21.286 0.061 0.203 0.1 -0.521 0.135 "" "" 119.21440401272054 -25.959251116831116 5.4794
20695 1880.01 1990.28 20.99 0.111 -0.331 0.494 "" "" "" "" 119.39596271356932 -25.91206111158813 9.8997
20763 834.207 2275.24 20.942 0.051 1.268 0.118 "" "" 1.886 0.061 119.53612988806186 -25.876655463537116 8.0228
20926 545.796 3240.71 21.051 0.071 1.438 0.121 "" "" 1.929 0.072 119.57380761009517 -25.75965602431938 9.2943
20946 0.573 2.897 21.448 0.228 -0.236 0.257 "" "" 1.869 0.225 119.65061531128408 -26.150652366488917 6.1324
21347 1263.56 175.035 21.296 0.076 0.303 0.289 "" "" 2.082 0.084 119.48077030906227 -26.130986563036632 10.5996
21542 1606.24 2893.26 21.465 0.073 1.495 0.219 "" "" 2.33 0.079 119.43174260593167 -25.80263079628916 5.4406
21937 3289.68 2512.96 21.374 0.082 0.24 0.105 -0.762 0.14 0.976 0.11 119.20602762831263 -25.850143729550606 6.4760
22250 1043.76 1287.32 20.882 0.129 1.141 0.165 "" "" 1.382 0.129 119.50906979470886 -25.996297719584238 5.8584
22347 2815.81 758.15 21.176 0.566 0.782 0.613 "" "" "" "" 119.27161604172859 -26.061891416869553 11.8600
22516 464.093 2974.44 21.142 0.069 1.247 0.148 "" "" 1.673 0.089 119.58507613765693 -25.791777125087528 8.1840
22537 721.836 3786.08 21.082 0.069 1.345 0.147 "" "" 1.541 0.078 119.54955930645131 -25.69387399822584 6.2728
22558 1604.39 768.844 21.072 0.228 1.635 0.298 "" "" 1.574 0.22 119.43433260692325 -26.05949742313686 9.1126
22615 1452.84 1786.79 21.523 0.074 1.269 0.199 "" "" 2.071 0.079 119.45356814440633 -25.936277364336515 6.9305
22637 1926.43 1272.82 21.846 0.125 -0.381 0.505 "" "" 2.281 0.124 119.39051795148355 -25.998853133242307 8.1212
