EDR3Name_1 _x_1 _y_1 RA_ICRS_1 DE_ICRS_1 Plx_1 e_Plx_1 pmRA_1 e_pmRA_1 pmDE_1 e_pmDE_1 Gmag_1 e_Gmag_1 BP-RP_1 e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select d_arcsec _r _x_2 _y_2 _p EDR3Name_2 RA_ICRS_2 e_RA_ICRS DE_ICRS_2 e_DE_ICRS Source SolID RandomI Epoch Plx_2 e_Plx_2 RPlx PM pmRA_2 e_pmRA_2 pmDE_2 e_pmDE_2 RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag_2 e_Gmag_2 o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP_2 BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000
"Gaia EDR3 5538151012973218304" 0.016017 -0.028508 118.6171235982 -38.24099011898 0.0711 0.0442 -1.296 0.044 2.204 0.049 16.45593 0.002809 0.751466 0.007741494041850061 16.603 0.022 0.356 0.027 -0.133 0.028 0.671 0.029 1.0 1 0.0000 0.008383 -0.004367 -0.007155 211.4 "Gaia EDR3 5538151012973218304" 118.61712359820 0.0320 -38.24099011898 0.0395 5538151012973218304 1636042515805110273 1315967625 2016.0 0.0711 0.0442 1.6063 2.557 -1.296 0.044 2.204 0.049 -0.0628 -0.1002 -0.1337 0.0069 0.2245 0.0440 -0.1115 0.1473 0.0413 -0.0156 384 0 383 1 2.2072 459.57 0.156 1.7 31 0 1.577 "" "" "" "" "" "" "" 44 26 0.067335 46 20 0 0.015 1.6e+02 1 0 1.080 0.18 0.19 0.19 0.29 -83.740 88.123 50.160 16.938 0 387 4927 2.482 1985.241 16.455930 0.002809 44 2759 12.81 215.301 16.736732 0.005763 43 3199 10.39 307.903 15.985267 0.005169 0 2 0 2 0 1.209 0.751466 0.280802 0.470664 "" "" 0 "" "" "" 253.5429439405 -5.3023439110 134.2347966406 -57.3677261040 "" "" 38098749 "" 16.455930 0.002809 4927 0.013 118.61713093423 0.7013 -38.24099991487 0.7819 -0.0180
"Gaia EDR3 5538151249186798848" 0.027661 0.022058 118.63192383596 -38.19042131281 0.0831 0.5877 -1.316 0.566 2.23 0.553 20.300295 0.006582 1.694696 0.08937224335329173 20.732 0.036 0.897 0.063 "" "" 1.421 0.047 0.94 1 0.0000 0.044016 0.007262 0.043413 9.5 "Gaia EDR3 5538151249186798848" 118.63192383596 0.4043 -38.19042131281 0.4595 5538151249186798848 1636042515805110273 336992308 2016.0 0.0831 0.5877 0.1414 2.589 -1.316 0.566 2.230 0.553 -0.0595 0.0183 -0.0056 -0.0364 0.2923 0.0449 -0.1013 0.2433 -0.0330 -0.0663 308 0 308 0 -0.0069 341.97 1.173 0.66 95 0 "" 1.0554 0.1392 -0.048 -0.186 -0.338 -0.113 0.213 36 21 0.80893 39 16 2 0.023 0.41 0 0 0.999 0.29 0.055 0.2 0.29 -90.179 86.022 47.701 20.081 0 316 142.8 0.7864 181.633 20.300295 0.006582 33 46.22 3.149 14.677 21.176435 0.074029 29 127.8 5.876 21.746 19.481739 0.050071 0 1 0 0 0 1.218 1.694696 0.876141 0.818556 "" "" 0 "" "" "" 253.5052166361 -5.2665507980 134.2218641073 -57.3163089790 "" "" "" "" 20.296457 0.006563 143.3 -0.076 118.63193127637 9.0690 -38.19043122397 8.9025 -0.0666
"Gaia EDR3 5538151012973220480" 0.014423 -0.028044 118.61509317329 -38.24052730335 0.1097 0.0174 -1.293 0.018 2.2 0.02 14.610277 0.002767 1.757859 0.004945121333192948 15.213 0.02 1.235 0.024 0.891 0.029 1.618 0.03 1.0 1 0.0000 0.008963 -0.005962 -0.006693 221.7 "Gaia EDR3 5538151012973220480" 118.61509317329 0.0130 -38.24052730335 0.0156 5538151012973220480 1636042515805110273 454750092 2016.0 0.1097 0.0174 6.3111 2.552 -1.293 0.018 2.200 0.020 -0.0080 -0.0695 -0.1582 0.0693 0.1511 0.0978 -0.1526 0.1808 -0.0107 0.0089 413 0 412 1 0.3758 410.61 0.000 0 31 0 1.377 "" "" "" "" "" "" "" 47 27 0.027456 49 21 0 0.013 1.6e+02 0 0 1.012 0.18 0.16 0.17 0.21 -80.672 -79.374 52.792 18.614 0 412 2.697e+04 6.297 4282.825 14.610277 0.002767 46 8952 11.95 748.997 15.458780 0.003144 47 2.623e+04 12.93 2028.292 13.700921 0.003817 0 1 0 1 0 1.305 1.757859 0.848503 0.909356 106.41 12.23 2 5500.0 3.5 -1.50 253.5417274378 -5.3034797469 134.2317267896 -57.3678565398 "" "" 38098748 "" 14.610277 0.002767 2.697e+04 0.002 118.61510049218 0.2875 -38.24053707949 0.3186 0.0008
"Gaia EDR3 5538151047332948608" 0.019566 -0.022622 118.6216400519 -38.23510353273 0.0767 0.032 -1.339 0.032 2.199 0.035 15.929303 0.002782 0.899624 0.005686205061374414 16.078 0.023 0.489 0.027 0.299 0.027 0.764 0.029 1.0 1 0.0000 0.001511 -0.000820 -0.001269 212.9 "Gaia EDR3 5538151047332948608" 118.62164005190 0.0239 -38.23510353273 0.0281 5538151047332948608 1636042515805110273 160732630 2016.0 0.0767 0.0320 2.3952 2.575 -1.339 0.032 2.199 0.035 -0.0362 -0.0915 -0.1555 0.0351 0.1963 0.0685 -0.1314 0.1681 0.0003 -0.0115 393 0 390 3 -0.1585 396.79 0.053 0.33 31 1 1.540 "" "" "" "" "" "" "" 45 27 0.048611 47 21 0 0.02 1.6e+02 0 0 0.993 0.14 0.14 0.16 0.23 -87.797 -85.305 50.691 18.772 0 395 8002 2.814 2844.007 15.929303 0.002782 44 4210 8.774 479.804 16.277903 0.003592 44 5596 11.69 478.568 15.378279 0.004408 0 44 0 44 0 1.225 0.899624 0.348599 0.551024 "" "" 0 "" "" "" 253.5396752621 -5.2962905613 134.2370939996 -57.3609658410 "" "" 38098765 "" 15.929303 0.002782 8002 0.017 118.62164762568 0.5167 -38.23511330755 0.5641 -0.0164
"Gaia EDR3 5538151008672648320" 0.014214 -0.026258 118.61482729297 -38.23874072777 0.1253 0.0363 -1.296 0.037 2.205 0.04 16.199411 0.002803 0.910419 0.006284786790337441 16.394 0.024 0.461 0.027 0.229 0.026 0.804 0.029 1.0 1 0.0000 0.007884 -0.006171 -0.004906 231.5 "Gaia EDR3 5538151008672648320" 118.61482729297 0.0269 -38.23874072777 0.0321 5538151008672648320 1636042515805110273 184870575 2016.0 0.1253 0.0363 3.4556 2.558 -1.296 0.037 2.205 0.040 -0.0368 -0.0847 -0.1570 0.0262 0.2009 0.0569 -0.1145 0.1410 0.0105 0.0042 390 0 389 1 0.4364 412.81 0.039 0.14 31 0 1.537 "" "" "" "" "" "" "" 45 27 0.055497 47 20 0 0.02 1.6e+02 0 0 1.015 0.19 0.16 0.18 0.26 -80.391 -87.495 52.578 17.121 0 394 6240 2.947 2117.602 16.199411 0.002803 47 3250 10.91 297.825 16.558865 0.004591 46 4363 8.174 533.790 15.648445 0.004292 0 1 0 1 0 1.220 0.910419 0.359453 0.550966 "" "" 0 "" "" "" 253.5400770200 -5.3027484114 134.2301940965 -57.3662589356 "" "" 38098761 "" 16.199411 0.002803 6240 0.011 118.61483462607 0.5901 -38.23875052776 0.6448 0.0000
"Gaia EDR3 5538150287113992704" 0.019825 -0.027256 118.62197101193 -38.2397376868 0.1203 0.0612 -1.339 0.061 2.208 0.067 17.138771 0.002854 0.773882 0.00852181412611188 17.267 0.025 0.409 0.029 0.187 0.031 0.682 0.033 1.0 1 0.0000 0.005929 -0.000560 -0.005903 185.4 "Gaia EDR3 5538150287113992704" 118.62197101193 0.0442 -38.23973768680 0.0548 5538150287113992704 1636042515805110273 294491184 2016.0 0.1203 0.0612 1.9644 2.583 -1.339 0.061 2.208 0.067 -0.0275 -0.0954 -0.1289 0.0057 0.1775 0.0327 -0.1256 0.1372 0.0235 -0.0083 383 0 383 0 2.4023 465.15 0.148 0.74 31 0 1.566 "" "" "" "" "" "" "" 44 25 0.092606 46 21 0 0.017 1.6e+02 0 0 1.088 0.15 0.19 0.19 0.24 -85.834 -86.368 45.617 18.317 0 387 2627 1.802 1458.004 17.138771 0.002854 45 1432 5.948 240.691 17.448969 0.005304 43 1695 8.579 197.547 16.675087 0.006670 0 2 0 6 0 1.190 0.773882 0.310198 0.463684 "" "" 0 "" "" "" 253.5438117754 -5.2984302030 134.2405808175 -57.3652092743 "" "" 38098754 "" 17.138771 0.002854 2627 -0.007 118.62197858907 0.9816 -38.23974750184 1.0756 -0.0102
"Gaia EDR3 5538150394494216320" 0.032722 -0.023004 118.638389136 -38.23548068894 0.0463 0.1314 -1.278 0.132 2.205 0.143 18.454517 0.003166 0.918953 0.03579746102728516 18.624 0.027 0.511 0.033 0.407 0.042 0.837 0.039 1.0 1 0.0000 0.012445 0.012336 -0.001647 97.6 "Gaia EDR3 5538150394494216320" 118.63838913600 0.0941 -38.23548068894 0.1186 5538150394494216320 1636042515805110273 1155600472 2016.0 0.0463 0.1314 0.3525 2.549 -1.278 0.132 2.205 0.143 -0.0110 -0.0421 -0.1335 -0.0162 0.2341 0.0159 -0.1575 0.1492 -0.0341 -0.0206 393 0 392 1 1.2773 440.90 0.218 0.35 31 0 1.513 "" "" "" "" "" "" "" 45 27 0.19926 48 21 1 0.013 1.6e+02 0 0 1.045 0.2 0.18 0.17 0.22 -68.191 -81.086 53.449 18.431 0 393 781.9 1.122 696.588 18.454517 0.003166 15 414.3 11.56 35.831 18.795172 0.030430 15 560.6 9.538 58.778 17.876219 0.018854 0 0 0 0 0 1.247 0.918953 0.340654 0.578299 "" "" 0 "" "" "" 253.5467398371 -5.2851667702 134.2601586651 -57.3566698205 "" "" "" "" 18.454517 0.003166 781.9 0.037 118.63839636927 2.1280 -38.23549048870 2.3086 -0.0204
"Gaia EDR3 5538150291418706304" 0.020998 -0.028744 118.62346501475 -38.24122529717 0.1349 0.0577 -1.328 0.057 2.196 0.062 17.055902 0.002839 0.766321 0.008368262065686041 17.183 0.025 0.404 0.029 0.201 0.034 0.698 0.033 1.0 1 0.0000 0.007416 0.000613 -0.007390 175.3 "Gaia EDR3 5538150291418706304" 118.62346501475 0.0417 -38.24122529717 0.0512 5538150291418706304 1636042515805110273 1207960760 2016.0 0.1349 0.0577 2.3390 2.566 -1.328 0.057 2.196 0.062 -0.0480 -0.0953 -0.1636 0.0262 0.2245 0.0656 -0.1297 0.1716 -0.0039 -0.0075 394 0 389 5 1.3792 439.76 0.088 0.29 31 0 1.565 "" "" "" "" "" "" "" 45 26 0.086552 47 21 0 0.019 1.6e+02 0 0 1.049 0.16 0.17 0.19 0.26 -90.484 -87.640 48.809 17.538 0 393 2835 1.783 1590.491 17.055902 0.002839 41 1551 7.88 196.763 17.362312 0.006183 40 1823 7.025 259.469 16.595991 0.005639 0 0 0 0 0 1.190 0.766321 0.306410 0.459911 "" "" 0 "" "" "" 253.5456978729 -5.2981794702 134.2435910946 -57.3661862984 "" "" 38098753 "" 17.055902 0.002839 2835 -0.007 118.62347252684 0.9203 -38.24123505763 1.0048 -0.0120
"Gaia EDR3 5538151287851135360" -0.003832 -0.007188 118.59185313767 -38.21967256097 0.0251 0.0553 -1.298 0.055 2.191 0.065 16.972763 0.002846 0.980539 0.009240108224474429 17.145 0.019 0.565 0.023 0.267 0.027 0.869 0.026 1.0 1 0.0000 0.028057 -0.024222 0.014158 300.3 "Gaia EDR3 5538151287851135360" 118.59185313767 0.0389 -38.21967256097 0.0509 5538151287851135360 1636042515805110273 1543923112 2016.0 0.0251 0.0553 0.4536 2.546 -1.298 0.055 2.191 0.065 0.0132 0.0141 -0.0953 0.0324 0.1624 0.0670 -0.1957 0.2074 0.0952 0.0210 384 0 382 2 -1.1331 360.32 0.000 0 31 0 1.518 "" "" "" "" "" "" "" 44 26 0.091193 46 20 0 0.018 1.8e+02 1 0 0.958 0.19 0.22 0.17 0.21 -83.908 -83.159 51.160 18.981 0 388 3061 2.007 1525.018 16.972763 0.002846 39 1559 8.973 173.740 17.356497 0.006844 43 2232 10.13 220.471 16.375957 0.006208 0 5 0 8 0 1.239 0.980539 0.383734 0.596806 "" "" 0 "" "" "" 253.5143621124 -5.3085529195 134.1864056259 -57.3547909313 "" "" 38098882 "" 16.972763 0.002846 3061 0.024 118.59186047854 0.8795 -38.21968229733 1.0567 0.0160
"Gaia EDR3 5538151184771866496" 0.033763 0.013598 118.63969327499 -38.19887842967 0.1136 0.1423 -1.25 0.147 2.187 0.155 18.546745 0.003252 1.313776 0.026430283407485437 18.805 0.026 0.751 0.032 0.555 0.051 1.091 0.044 0.99 1 0.0000 0.037424 0.013367 0.034955 20.9 "Gaia EDR3 5538151184771866496" 118.63969327499 0.1006 -38.19887842967 0.1241 5538151184771866496 1636042515805110273 715859497 2016.0 0.1136 0.1423 0.7986 2.518 -1.250 0.147 2.187 0.155 -0.0430 -0.0155 -0.1253 0.0162 0.2284 0.0639 -0.1457 0.2155 -0.0568 -0.0415 407 0 407 0 1.4051 468.39 0.229 0.31 95 0 "" 1.3698 0.0335 0.014 -0.084 -0.201 -0.063 0.131 46 27 0.21734 49 20 0 0.0047 1.4e+02 1 0 1.049 0.24 0.17 0.21 0.24 -73.549 -86.754 54.519 15.566 0 411 718.2 1.143 628.529 18.546745 0.003252 41 335.5 6.489 51.702 19.024273 0.021184 46 653.1 9.231 70.748 17.710497 0.015805 0 41 0 46 0 1.376 1.313776 0.477528 0.836248 "" "" 0 "" "" "" 253.5156495357 -5.2656132636 134.2379740094 -57.3220657553 "" "" 38098952 "" 18.547802 0.003253 717.5 0.128 118.63970034231 2.3613 -38.19888814764 2.4982 -0.0449
