EDR3Name_1 _x_1 _y_1 RA_ICRS_1 DE_ICRS_1 Plx_1 e_Plx_1 pmRA_1 e_pmRA_1 pmDE_1 e_pmDE_1 Gmag_1 e_Gmag_1 BP-RP_1 e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select d_arcsec _r _x_2 _y_2 _p EDR3Name_2 RA_ICRS_2 e_RA_ICRS DE_ICRS_2 e_DE_ICRS Source SolID RandomI Epoch Plx_2 e_Plx_2 RPlx PM pmRA_2 e_pmRA_2 pmDE_2 e_pmDE_2 RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag_2 e_Gmag_2 o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP_2 BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000
"Gaia EDR3 5599871479724092544" 0.018359 -0.074548 116.22172583054 -28.44757966141 0.2403 0.0433 -1.824 0.033 1.754 0.043 16.44166 0.00279 0.964617 0.00603442565618303 16.58 0.028 0.626 0.037 0.407 0.043 0.954 0.034 1.0 1 0.0000 0.055159 0.028825 -0.047028 148.5 "Gaia EDR3 5599871479724092544" 116.22172583054 0.0258 -28.44757966141 0.0340 5599871479724092544 1636042515805110273 523831938 2016.0 0.2403 0.0433 5.5500 2.531 -1.824 0.033 1.754 0.043 0.1116 0.0063 -0.0492 0.0043 0.1028 0.0175 -0.1726 0.1182 -0.0900 0.0985 510 0 506 4 1.5877 576.15 0.120 1.2 31 0 1.519 "" "" "" "" "" "" "" 59 26 0.060216 60 25 0 0.013 1.7e+02 0 0 1.050 0.17 0.28 0.044 0.38 -72.994 -78.274 48.830 23.602 0 509 4992 2.006 2488.922 16.441660 0.002790 55 2528 7.854 321.843 16.831694 0.004378 51 3567 5.655 630.837 15.867077 0.004153 0 7 0 6 0 1.221 0.964617 0.390034 0.574583 "" "" 0 "" "" "" 244.0596919114 -2.0839086846 126.0263953027 -48.6598394946 73861162217223192 "" 36770353 "" 16.441660 0.002790 4992 0.007 116.22173505208 0.5364 -28.44758745754 0.6937 0.0964
"Gaia EDR3 5599916830275449344" -0.113793 -0.00742 116.07150739821 -28.38039224495 0.2585 0.0996 -1.834 0.081 1.762 0.096 17.937151 0.002932 1.455244 0.014973664915444046 18.282 0.026 0.923 0.037 0.36 0.053 1.428 0.038 0.99 1 0.0000 0.105260 -0.103320 0.020113 281.0 "Gaia EDR3 5599916830275449344" 116.07150739821 0.0624 -28.38039224495 0.0762 5599916830275449344 1636042515805110273 1677321208 2016.0 0.2585 0.0996 2.5971 2.543 -1.834 0.081 1.762 0.096 0.1194 0.0849 -0.1714 -0.0923 0.1032 -0.0709 -0.2058 0.1435 -0.0677 0.0326 490 0 488 2 1.5484 555.76 0.273 1.2 31 0 1.433 "" "" "" "" "" "" "" 57 27 0.13507 60 27 0 0.02 81 1 0 1.050 0.14 0.24 0.082 0.39 -73.807 -75.549 53.458 27.676 0 507 1259 1.164 1082.159 17.937151 0.002932 55 499.3 5.9 84.630 18.592567 0.013129 52 1107 6.25 177.166 17.137323 0.007200 0 19 0 19 0 1.276 1.455244 0.655416 0.799828 "" "" 0 "" "" "" 243.9354784434 -2.1649184406 125.8066173582 -48.6301113264 73941160715253809 "" 36773392 "" 17.937151 0.002932 1259 0.011 116.07151666079 1.3101 -28.38040007801 1.5593 0.0400
"Gaia EDR3 5599922710095948160" -0.075745 0.016681 116.11477295443 -28.35632515691 0.2625 0.0349 -1.837 0.029 1.755 0.033 16.04467 0.00278 0.916445 0.005750825505959992 16.184 0.023 0.55 0.034 0.315 0.037 0.846 0.034 1.0 1 0.0000 0.078833 -0.065269 0.044210 304.1 "Gaia EDR3 5599922710095948160" 116.11477295443 0.0220 -28.35632515691 0.0269 5599922710095948160 1636042515805110273 1652402501 2016.0 0.2625 0.0349 7.5249 2.541 -1.837 0.029 1.755 0.033 0.1207 0.1011 -0.1259 -0.0947 0.0732 -0.0739 -0.1858 0.1413 -0.1160 0.0541 494 0 490 4 1.9701 572.42 0.086 0.9 31 0 1.533 "" "" "" "" "" "" "" 57 27 0.046958 60 26 0 0.0013 1.4e+02 0 0 1.063 0.17 0.22 0.1 0.37 -75.684 -76.710 57.653 26.014 0 512 7196 2.459 2925.955 16.044670 0.002780 51 3718 8.899 417.865 16.412613 0.003813 53 5020 9.532 526.652 15.496168 0.004305 0 0 0 2 0 1.214 0.916445 0.367943 0.548502 "" "" 0 "" "" "" 243.9335850698 -2.1199189098 125.8525139244 -48.5968278683 73971161147912693 "" 36773408 "" 16.044670 0.002780 7196 0.005 116.11478223061 0.4633 -28.35633295877 0.5401 0.0615
"Gaia EDR3 5599871101767201408" 0.031506 -0.094068 116.23668413915 -28.46709626185 0.2388 0.0183 -1.826 0.014 1.767 0.019 14.56913 0.002765 0.90767 0.00486409313233207 14.713 0.037 0.527 0.044 0.167 0.034 0.93 0.041 1.0 1 0.0000 0.078678 0.041970 -0.066549 147.8 "Gaia EDR3 5599871101767201408" 116.23668413915 0.0107 -28.46709626185 0.0143 5599871101767201408 1636042515805110273 1297998809 2016.0 0.2388 0.0183 13.0455 2.542 -1.826 0.014 1.767 0.019 0.1557 0.0644 -0.1268 -0.0593 0.1363 -0.0459 -0.2536 0.0581 -0.1515 0.1753 500 0 498 2 -0.4156 491.74 0.000 0 31 0 1.537 "" "" "" "" "" "" "" 58 26 0.026592 59 25 0 0.019 1.7e+02 1 0 0.986 0.14 0.28 0.07 0.44 -77.179 -76.519 57.599 22.779 0 501 2.801e+04 5.843 4793.974 14.569130 0.002765 54 1.459e+04 13.31 1096.012 14.928448 0.002961 52 1.954e+04 14.02 1393.606 14.020778 0.003859 0 0 0 0 0 1.218 0.907670 0.359318 0.548352 "" "" 0 "" "" "" 244.0831834088 -2.0822584484 126.0534560388 -48.6751512005 73831162366759774 "" 36770316 "" 14.569130 0.002765 2.801e+04 0.010 116.23669337296 0.2269 -28.46710411729 0.3011 0.1770
"Gaia EDR3 5599919892597367808" -0.046684 0.027529 116.14780089516 -28.34549385193 0.2697 0.0135 -1.831 0.011 1.749 0.013 12.972634 0.002761 1.931963 0.004790375768141785 13.614 0.023 1.567 0.038 1.217 0.038 1.846 0.058 1.0 1 0.0000 0.065895 -0.036208 0.055055 326.7 "Gaia EDR3 5599919892597367808" 116.14780089516 0.0084 -28.34549385193 0.0107 5599919892597367808 1636042515805110273 960092754 2016.0 0.2697 0.0135 19.9289 2.532 -1.831 0.011 1.749 0.013 0.1967 0.1290 -0.0676 -0.0822 0.0799 -0.0640 -0.1309 0.0915 -0.0870 0.1141 462 190 462 0 1.7403 803.63 0.081 8.3 31 0 1.351 "" "" "" "" "" "" "" 54 27 0.018606 57 23 0 0.0036 1.7e+02 0 0 1.057 "" "" "" "" "" "" "" "" 0 480 1.219e+05 19.77 6163.045 12.972634 0.002761 55 3.635e+04 29.04 1251.660 13.937281 0.002922 56 1.25e+05 40.88 3058.257 12.005318 0.003796 0 1 0 1 0 1.324 1.931963 0.964646 0.967317 71.75 0.98 7 5000.0 3.0 0.00 243.9386939075 -2.0893230038 125.8905498898 -48.5786850342 73981161479475736 "" 36773628 "" 12.972634 0.002761 1.219e+05 -0.001 116.14781014068 0.1764 -28.34550162539 0.2127 0.1203
"Gaia EDR3 5599919892597372032" -0.047852 0.022371 116.14647202969 -28.35065131299 0.2358 0.0848 -1.815 0.07 1.756 0.076 17.531689 0.002867 1.33551 0.012806356234308024 17.808 0.027 0.871 0.041 0.374 0.047 1.255 0.037 1.0 1 0.0000 0.062344 -0.037376 0.049897 323.2 "Gaia EDR3 5599919892597372032" 116.14647202969 0.0525 -28.35065131299 0.0627 5599919892597372032 1636042515805110273 1261930541 2016.0 0.2358 0.0848 2.7813 2.526 -1.815 0.070 1.756 0.076 0.0948 0.0423 -0.1428 -0.0274 0.0787 -0.0085 -0.1292 0.2035 -0.1276 0.0008 434 0 432 2 1.5451 493.74 0.226 1.2 31 0 1.447 "" "" "" "" "" "" "" 50 27 0.10571 53 23 0 0.0059 62 0 0 1.053 0.13 0.22 0.076 0.32 -65.665 -74.273 -56.130 24.451 0 451 1829 1.332 1372.791 17.531689 0.002867 48 770.4 7.14 107.900 18.121810 0.010442 51 1530 8.988 170.209 16.786300 0.007414 0 2 0 1 0 1.257 1.335510 0.590122 0.745388 "" "" 0 "" "" "" 243.9425833638 -2.0929090075 125.8909109467 -48.5839680349 73971161464959497 "" 36773587 "" 17.531689 0.002867 1829 0.006 116.14648119417 1.1355 -28.35065911964 1.2225 0.0027
"Gaia EDR3 5599918312049410432" 0.001228 -0.072139 116.20224136958 -28.44517229731 0.2319 0.0125 -1.819 0.01 1.758 0.013 13.66158 0.002761 0.755828 0.00475781136658443 13.815 0.029 0.358 0.037 0.111 0.033 0.826 0.036 1.0 1 0.0000 0.046125 0.011694 -0.044618 165.3 "Gaia EDR3 5599918312049410432" 116.20224136958 0.0075 -28.44517229731 0.0101 5599918312049410432 1636042515805110273 1802171333 2016.0 0.2319 0.0125 18.5509 2.530 -1.819 0.010 1.758 0.013 0.1920 0.0321 -0.0457 0.0212 0.0334 0.0293 -0.1873 0.1077 -0.0848 0.1700 520 0 518 2 -0.8791 487.32 0.000 0 31 0 1.570 "" "" "" "" "" "" "" 60 27 0.018297 62 26 0 0.0094 32 0 0 0.972 0.15 0.29 0.039 0.36 -64.491 -72.366 47.988 24.706 0 520 6.461e+04 10.3 6275.378 13.661580 0.002761 59 3.592e+04 21.17 1696.416 13.950179 0.002863 58 4.182e+04 15.11 2768.518 13.194351 0.003800 0 0 0 1 0 1.203 0.755828 0.288599 0.467229 "" "" 0 "" "" "" 244.0490471330 -2.0975519744 126.0004229003 -48.6620759389 73861162022486077 "" 36766594 "" 13.661580 0.002761 6.461e+04 0.007 116.20225056522 0.1554 -28.44518010879 0.2090 0.1657
"Gaia EDR3 5599919205402556544" 0.009498 0.002984 116.21163913291 -28.37004815296 0.2298 0.0275 -1.821 0.024 1.764 0.026 15.528647 0.002772 0.939075 0.005158145112344165 15.716 0.019 0.519 0.026 0.356 0.032 0.925 0.027 1.0 1 0.0000 0.036461 0.019971 0.030505 33.2 "Gaia EDR3 5599919205402556544" 116.21163913291 0.0173 -28.37004815296 0.0208 5599919205402556544 1636042515805110273 410377838 2016.0 0.2298 0.0275 8.3567 2.536 -1.821 0.024 1.764 0.026 0.1084 0.0196 -0.0828 0.0351 0.1142 0.0661 -0.1027 0.2232 -0.1335 0.0532 462 0 460 2 0.0349 475.35 0.000 0 31 0 1.527 "" "" "" "" "" "" "" 53 27 0.036321 56 24 0 0.0082 76 0 0 1.000 0.11 0.2 0.041 0.32 -80.016 -73.277 33.088 25.205 0 473 1.157e+04 3.235 3577.962 15.528647 0.002772 53 5927 9.3 637.293 15.906452 0.003269 47 8170 9.636 847.805 14.967377 0.003990 0 0 0 0 0 1.218 0.939075 0.377805 0.561271 "" "" 0 "" "" "" 243.9880368765 -2.0528910774 125.9822740834 -48.5874565131 73951162116626220 "" 36771138 "" 15.528647 0.002772 1.157e+04 0.007 116.21164833300 0.3801 -28.37005599478 0.4191 0.0480
"Gaia EDR3 5599923878327068160" -0.119897 0.068122 116.06466587975 -28.30484360778 0.2646 0.0305 -1.822 0.026 1.77 0.031 15.693503 0.002776 0.98143 0.0055466390724473865 15.883 0.019 0.653 0.026 0.261 0.025 0.879 0.027 0.99 1 0.0000 0.145334 -0.109417 0.095655 311.2 "Gaia EDR3 5599923878327068160" 116.06466587975 0.0195 -28.30484360778 0.0246 5599923878327068160 1636042515805110273 193996990 2016.0 0.2646 0.0305 8.6772 2.540 -1.822 0.026 1.770 0.031 0.0921 0.0836 -0.0931 -0.1221 0.0345 -0.1085 -0.2586 0.1447 -0.0811 0.0318 489 0 489 0 3.4727 625.98 0.130 3 31 1 1.520 "" "" "" "" "" "" "" 56 27 0.043412 59 25 0 0.0055 77 1 0 1.113 0.15 0.2 0.025 0.32 -76.691 -80.786 -55.392 27.182 0 507 9944 3.126 3180.996 15.693503 0.002776 52 5007 11.01 454.985 16.089594 0.003671 53 7176 11.45 626.540 15.108164 0.004158 0 21 0 21 0 1.225 0.981430 0.396091 0.585340 "" "" 0 "" "" "" 243.8669256351 -2.1324997338 125.7676472326 -48.5588404105 74031160646764482 "" 36773952 "" 15.693503 0.002776 9944 0.010 116.06467507861 0.4184 -28.30485147263 0.4991 0.0423
"Gaia EDR3 5599922984973859968" -0.090158 0.034413 116.09841103885 -28.33858191951 0.2301 0.0219 -1.841 0.019 1.77 0.022 15.055313 0.002769 0.814973 0.005251952208464962 15.18 0.033 0.517 0.039 0.193 0.027 0.766 0.04 0.99 1 0.0000 0.100926 -0.079681 0.061944 307.9 "Gaia EDR3 5599922984973859968" 116.09841103885 0.0140 -28.33858191951 0.0172 5599922984973859968 1636042515805110273 904830548 2016.0 0.2301 0.0219 10.5220 2.554 -1.841 0.019 1.770 0.022 0.0684 0.0534 -0.1031 -0.1009 0.0533 -0.0875 -0.2328 0.1660 -0.1251 0.0157 458 0 457 1 -0.8735 443.33 0.000 0 31 0 1.554 "" "" "" "" "" "" "" 53 26 0.030375 56 24 0 0.0057 78 0 0 0.970 0.13 0.19 0.01 0.32 -82.088 -85.892 45.656 26.966 0 463 1.79e+04 4.525 3955.799 15.055313 0.002769 52 9677 16.82 575.289 15.374237 0.003369 49 1.19e+04 15.31 776.905 14.559264 0.004029 0 2 0 2 0 1.205 0.814973 0.318924 0.496049 "" "" 0 "" "" "" 243.9110099088 -2.1235574932 125.8244207765 -48.5835278688 73991160984253990 "" 36773487 "" 15.055313 0.002769 1.79e+04 0.004 116.09842033741 0.3049 -28.33858978783 0.3499 0.0244
